"","1 Y 2017-08-16 to 2018-08-17","1 Y 2017-09-18 to 2018-09-17","1 Y 2017-10-16 to 2018-10-17","1 Y 2017-11-16 to 2018-11-17","1 Y 2017-12-18 to 2018-12-17","1 Y 2018-01-16 to 2019-01-17","1 Y 2018-02-16 to 2019-02-17","1 Y 2018-03-16 to 2019-03-17","1 Y 2018-04-16 to 2019-04-17","1 Y 2018-05-16 to 2019-05-17","1 Y 2018-06-18 to 2019-06-17","1 Y 2018-07-16 to 2019-07-17","1 Y 2018-08-16 to 2019-08-17","1 Y 2018-09-17 to 2019-09-17","1 Y 2018-10-16 to 2019-10-17","1 Y 2018-11-16 to 2019-11-17","1 Y 2018-12-17 to 2019-12-17","1 Y 2019-01-16 to 2020-01-17","1 Y 2019-02-18 to 2020-02-17","1 Y 2019-03-18 to 2020-03-17","1 Y 2019-04-16 to 2020-04-17","1 Y 2019-05-16 to 2020-05-17","1 Y 2019-06-17 to 2020-06-17","1 Y 2019-07-16 to 2020-07-17","1 Y 2019-08-16 to 2020-08-17","1 Y 2019-09-16 to 2020-09-17","1 Y 2019-10-16 to 2020-10-17","1 Y 2019-11-18 to 2020-11-17","1 Y 2019-12-16 to 2020-12-17","1 Y 2020-01-16 to 2021-01-17","1 Y 2020-02-17 to 2021-02-17","1 Y 2020-03-16 to 2021-03-17","1 Y 2020-04-16 to 2021-04-17","1 Y 2020-05-18 to 2021-05-17","1 Y 2020-06-16 to 2021-06-17","1 Y 2020-07-16 to 2021-07-17","1 Y 2020-08-17 to 2021-08-17","1 Y 2020-09-16 to 2021-09-17","1 Y 2020-10-16 to 2021-10-17","1 Y 2020-11-17 to 2021-11-17","1 Y 2020-12-16 to 2021-12-17","1 Y 2021-01-18 to 2022-01-17","1 Y 2021-02-16 to 2022-02-17","1 Y 2021-03-16 to 2022-03-17","1 Y 2021-04-16 to 2022-04-17","1 Y 2021-05-17 to 2022-05-17","1 Y 2021-06-16 to 2022-06-17","1 Y 2021-07-16 to 2022-07-17","1 Y 2021-08-16 to 2022-08-17","1 Y 2021-09-16 to 2022-09-17"
"P Information Ratio",0.71,0.84,0.11,0.01,-0.54,-0.72,-1.17,-0.75,-1.27,-0.8,-1.14,-0.74,-0.92,1.01,1.24,0.07,-0.29,-1.13,0.06,-0.68,-0.17,-0.79,-0.56,-0.71,-0.38,-0.18,-0.18,-0.1,0.35,0.12,0.52,2.02,3.04,3.25,2.57,2.07,0.95,0.94,2.91,1.41,-0.14,-0.26,0.17,0,0.35,0.27,-0.42,0.04,-0.13,-0.54
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.62,0.65,0.19,0.27,-0.6,-0.48,-0.8,-0.41,-0.87,0.02,-0.43,-0.51,-0.47,0.72,0.01,0.11,-0.61,-0.87,-0.57,-0.99,-0.6,-0.66,-0.36,-0.41,-0.96,0.69,0.2,0.25,0.53,0.29,1.04,-0.52,1.79,0.68,0.58,0.71,-0.36,-0.69,0.92,0.72,0.16,-0.01,0.33,-0.16,0.27,0.04,-0.19,-0.08,0.17,-0.23
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.59,0.84,0.8,0.82,0.68,0.71,0.59,0.51,0.67,0.73,0.77,0.93,1.09,0.97,1.31,1.41,1.4,1.41,1.46,1.78,1.17,1.35,1.43,1.42,1.56,1.5,1.42,1.39,1.34,1.26,1.24,1.69,1.4,1.55,1.56,1.65,1.54,1.39,1.34,1.09,1.19,1.02,0.88,1.08,1.01,0.85,0.7,0.67,0.78,0.6
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",31.34,41.72,47.54,48.07,41.44,41.64,38.23,22.92,62.02,74.13,63.56,85.09,87.59,73.99,75.47,78.56,72.05,76.39,79.47,77.51,85.2,83.87,85.05,89.84,87.33,84.55,82.92,81.35,80.89,77.44,84.28,64.1,51.24,54.61,49.68,68.47,68.08,67.66,56.48,41.65,48.6,48.63,35.7,56.46,58.22,46.47,50.86,57.21,50.71,56.64
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-8.8071,-10.849,-11.2013,-14.0176,-13.9657,-14.6903,-13.417,-12.9845,-16.0112,-16.2667,-16.7346,-15.6148,-16.352,-13.5741,-16.6065,-15.1894,-20.442,-23.229,-21.5314,-31.3469,-42.8253,-48.338,-48.5331,-48.5601,-52.9245,-50.0073,-48.4103,-47.9769,-46.436,-45.7833,-40.7292,-18.7829,-13.3842,-15.2163,-14.6948,-14.1869,-14.7055,-10.48,-9.5601,-9.1902,-11.1409,-11.1781,-12.0517,-18.0946,-16.6801,-14.234,-18.2865,-16.4233,-17.934,-16.5175
"B Max Drawdown",-9.3683,-9.3683,-13.0962,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-7.3471,-6.9017,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.2939,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",0.561199999999999,-1.4807,1.8949,-0.0387000000000004,0.0131999999999994,-0.711400000000001,0.5619,0.994399999999999,-2.0323,-2.2878,-2.7557,-1.6359,-2.3731,-2.2836,-5.329,-3.9119,-9.1645,-11.9515,-10.2539,-6.0128,-4.5198,-10.0325,-10.2276,-10.2546,-14.619,-11.7018,-10.1048,-9.6714,-8.1305,-7.47779999999999,-3.5674,-1.4104,-6.0371,-8.3146,-7.793,-7.2851,-7.8037,-3.5782,-3.2226,-2.8527,-2.847,-0.9359,-1.8095,-3.7612,-2.3467,0.0993999999999993,-1.5964,0.769600000000001,-0.741099999999999,0.675400000000003
