"","1 Y 2017-05-16 to 2018-05-17","1 Y 2017-06-16 to 2018-06-17","1 Y 2017-07-17 to 2018-07-17","1 Y 2017-08-16 to 2018-08-17","1 Y 2017-09-18 to 2018-09-17","1 Y 2017-10-16 to 2018-10-17","1 Y 2017-11-16 to 2018-11-17","1 Y 2017-12-18 to 2018-12-17","1 Y 2018-01-16 to 2019-01-17","1 Y 2018-02-16 to 2019-02-17","1 Y 2018-03-16 to 2019-03-17","1 Y 2018-04-16 to 2019-04-17","1 Y 2018-05-16 to 2019-05-17","1 Y 2018-06-18 to 2019-06-17","1 Y 2018-07-16 to 2019-07-17","1 Y 2018-08-16 to 2019-08-17","1 Y 2018-09-17 to 2019-09-17","1 Y 2018-10-16 to 2019-10-17","1 Y 2018-11-16 to 2019-11-17","1 Y 2018-12-17 to 2019-12-17","1 Y 2019-01-16 to 2020-01-17","1 Y 2019-02-18 to 2020-02-17","1 Y 2019-03-18 to 2020-03-17","1 Y 2019-04-16 to 2020-04-17","1 Y 2019-05-16 to 2020-05-17","1 Y 2019-06-17 to 2020-06-17","1 Y 2019-07-16 to 2020-07-17","1 Y 2019-08-16 to 2020-08-17","1 Y 2019-09-16 to 2020-09-17","1 Y 2019-10-16 to 2020-10-17","1 Y 2019-11-18 to 2020-11-17","1 Y 2019-12-16 to 2020-12-17","1 Y 2020-01-16 to 2021-01-17","1 Y 2020-02-17 to 2021-02-17","1 Y 2020-03-16 to 2021-03-17","1 Y 2020-04-16 to 2021-04-17","1 Y 2020-05-18 to 2021-05-17","1 Y 2020-06-16 to 2021-06-17","1 Y 2020-07-16 to 2021-07-17","1 Y 2020-08-17 to 2021-08-17","1 Y 2020-09-16 to 2021-09-17","1 Y 2020-10-16 to 2021-10-17","1 Y 2020-11-17 to 2021-11-17","1 Y 2020-12-16 to 2021-12-17","1 Y 2021-01-18 to 2022-01-17","1 Y 2021-02-16 to 2022-02-17","1 Y 2021-03-16 to 2022-03-17","1 Y 2021-04-16 to 2022-04-17","1 Y 2021-05-17 to 2022-05-17","1 Y 2021-06-16 to 2022-06-17","1 Y 2021-07-16 to 2022-07-17","1 Y 2021-08-16 to 2022-08-17","1 Y 2021-09-16 to 2022-09-17"
"P Information Ratio",0.11,0.62,-0.03,0.57,0.33,-0.13,-0.03,-0.4,-0.63,-0.46,-0.5,-0.7,-0.4,-0.86,-0.01,0.26,-0.17,2.35,0.7,0.44,0.4,0.76,0.65,0.56,-0.12,0.06,1.21,0.12,0.35,1,1.55,1.54,0.87,1.89,2.62,2.57,3.44,2.39,2.39,2.02,2.36,3.43,2.77,1.6,1.44,1.99,4.07,2.18,1.53,0.49,2.19,2.23,0.55
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.68,0.28,0.1,0.14,0.18,-0.25,0.16,-0.41,-0.15,-0.14,-0.27,-0.47,-0.1,-0.16,-0.03,-0.2,0.07,0.44,0.5,0.27,0.03,0.08,0.48,0.19,0.83,1.02,2.17,-0.05,0.82,1.94,2.1,1.88,1.16,1.52,0.22,1.77,1.89,1.42,1.82,0.67,1.17,1.32,1.79,1.78,1.87,2.28,1.08,0.93,1.01,0.46,0.99,1.13,0.86
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.99,0.99,1.01,0.97,1.01,1.04,0.92,0.82,0.92,0.97,0.91,0.94,0.93,0.98,0.9,0.98,0.89,1.06,1,1.02,1.14,1.13,1.26,1.11,1.32,1.34,1.21,1.18,1.16,1.19,1.22,1.15,1.2,1.12,1.38,1.05,1.09,1.06,1.03,1.2,1.15,1,1.03,0.82,0.79,0.63,0.97,0.93,0.82,0.89,0.97,1.04,1
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",70.35,59.05,53.13,55.58,53.4,62.03,51.87,49.71,71.56,64.09,52.47,80.18,87.79,90.63,89.2,88.13,77.4,79.96,63.3,65.83,67.63,68.43,65.25,90.83,93.48,90.75,88.91,89.21,86.71,84.63,85.1,86.17,86.45,91.53,72.49,61.49,53.92,59.59,62.54,78.1,61.95,75.09,42.46,46.34,45.53,23.78,82.94,83.01,77.03,79.51,79.06,83.02,86.71
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-10.3676,-9.9996,-11.4598,-10.5356,-11.1816,-14.5894,-14.8743,-14.6242,-14.6378,-14.7338,-14.966,-16.5974,-16.9788,-16.9666,-14.7875,-15.5505,-13.234,-11.2024,-10.4523,-11.6224,-13.8887,-14.1706,-25.3198,-39.2646,-42.1538,-41.8034,-38.9323,-41.3093,-40.0219,-41.5502,-40.8013,-40.0417,-41.6817,-38.0039,-15.7788,-8.8448,-8.9903,-8.7356,-8.4819,-8.5127,-8.4966,-7.186,-8.585,-7.0549,-6.9146,-7.9171,-13.0115,-11.5762,-13.0464,-16.8134,-16.6948,-16.2984,-16.0584
"B Max Drawdown",-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.0962,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-7.3471,-6.9017,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.2939,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-0.9993,-0.6313,-2.0915,-1.1673,-1.8133,-1.4932,-0.8954,-0.645300000000001,-0.658900000000001,-0.754900000000001,-0.9871,-2.6185,-2.9999,-2.9877,-0.8086,-1.5716,-1.9435,0.0750999999999991,0.825200000000001,-0.344900000000001,-2.6112,-2.8931,0.0142999999999986,-0.959099999999999,-3.84829999999999,-3.4979,-0.626799999999996,-3.0038,-1.7164,-3.24469999999999,-2.4958,-1.7362,-3.3762,-0.842100000000002,1.5937,-1.4977,-2.0886,-1.8338,-1.5801,-1.6109,-1.5948,-0.8485,-2.2475,1.239,3.3276,2.3251,1.3219,2.7572,1.287,-0.1233,0.498100000000001,0.894500000000001,1.1345
