"","1 Y 2017-08-16 to 2018-08-17","1 Y 2017-09-18 to 2018-09-17","1 Y 2017-10-16 to 2018-10-17","1 Y 2017-11-16 to 2018-11-17","1 Y 2017-12-18 to 2018-12-17","1 Y 2018-01-16 to 2019-01-17","1 Y 2018-02-16 to 2019-02-17","1 Y 2018-03-16 to 2019-03-17","1 Y 2018-04-16 to 2019-04-17","1 Y 2018-05-16 to 2019-05-17","1 Y 2018-06-18 to 2019-06-17","1 Y 2018-07-16 to 2019-07-17","1 Y 2018-08-16 to 2019-08-17","1 Y 2018-09-17 to 2019-09-17","1 Y 2018-10-16 to 2019-10-17","1 Y 2018-11-16 to 2019-11-17","1 Y 2018-12-17 to 2019-12-17","1 Y 2019-01-16 to 2020-01-17","1 Y 2019-02-18 to 2020-02-17","1 Y 2019-03-18 to 2020-03-17","1 Y 2019-04-16 to 2020-04-17","1 Y 2019-05-16 to 2020-05-17","1 Y 2019-06-17 to 2020-06-17","1 Y 2019-07-16 to 2020-07-17","1 Y 2019-08-16 to 2020-08-17","1 Y 2019-09-16 to 2020-09-17","1 Y 2019-10-16 to 2020-10-17","1 Y 2019-11-18 to 2020-11-17","1 Y 2019-12-16 to 2020-12-17","1 Y 2020-01-16 to 2021-01-17","1 Y 2020-02-17 to 2021-02-17","1 Y 2020-03-16 to 2021-03-17","1 Y 2020-04-16 to 2021-04-17","1 Y 2020-05-18 to 2021-05-17","1 Y 2020-06-16 to 2021-06-17","1 Y 2020-07-16 to 2021-07-17","1 Y 2020-08-17 to 2021-08-17","1 Y 2020-09-16 to 2021-09-17","1 Y 2020-10-16 to 2021-10-17","1 Y 2020-11-17 to 2021-11-17","1 Y 2020-12-16 to 2021-12-17","1 Y 2021-01-18 to 2022-01-17","1 Y 2021-02-16 to 2022-02-17","1 Y 2021-03-16 to 2022-03-17","1 Y 2021-04-16 to 2022-04-17","1 Y 2021-05-17 to 2022-05-17","1 Y 2021-06-16 to 2022-06-17","1 Y 2021-07-16 to 2022-07-17","1 Y 2021-08-16 to 2022-08-17","1 Y 2021-09-16 to 2022-09-17"
"P Information Ratio",0.43,-0.22,0.03,-0.15,0.2,-0.38,-0.48,-0.62,-0.42,-0.26,-0.21,0.28,-0.17,-0.55,0.83,-0.11,-0.03,1.1,1.33,0.76,1.52,1.31,1.21,1.1,0.4,0.26,0.17,0.26,0.34,0.97,0.68,3.89,2.68,3.34,3.28,2.74,1.88,2.77,2.82,1.75,0.82,0.51,0.58,0.29,-0.47,-0.79,-1.07,-1.22,-0.95,-1.51
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.02,0.18,-0.11,-0.14,0.01,0.13,-0.13,-0.12,-0.22,-0.02,-0.01,0.2,-0.29,-0.04,-0.16,-0.04,-0.14,0.54,0.53,0.24,0.17,1.32,1.45,0.92,0.24,0.38,0.43,0.46,0.16,0.43,0.64,1.42,3.59,3.43,4.04,3.09,1.79,2.37,2.22,2.09,1.75,1.41,1.47,0.1,0.42,-0.35,-0.51,-0.93,-0.35,-0.27
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.99,0.93,1.01,0.91,0.92,0.95,1.01,1.01,0.93,0.96,0.88,0.98,0.98,0.91,0.98,0.92,1.03,0.89,0.88,0.92,0.99,1.08,1.04,0.97,0.96,1.02,1.03,1.02,0.98,1.03,0.98,0.99,0.65,0.6,0.62,0.81,0.88,0.88,0.87,0.54,0.51,0.62,0.51,0.75,0.73,0.74,0.74,0.77,0.9,0.99
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",75.03,71.22,75.86,76.31,79.3,88.57,85.91,88.97,83.23,82.91,83.05,76.07,82.73,77.99,84.83,79.45,87.44,75.42,77.29,63.77,95.57,94.67,93.17,89.72,91.75,93.62,94.47,95.03,94.3,96.48,95.36,81.51,38,34.4,29.38,34.4,64.4,49,44.88,52.48,47.83,49.42,35.91,67.12,79.38,78.13,85.76,94.37,88.65,92.57
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-9.3204,-8.6157,-14.7846,-15.5554,-15.2936,-15.7926,-14.9556,-15.2051,-15.0081,-14.5851,-14.7496,-14.0991,-14.8531,-11.3924,-10.4536,-10.6128,-10.8493,-9.2869,-8.9467,-25.1485,-36.2358,-36.1115,-34.817,-34.8617,-34.3295,-35.2329,-35.3574,-34.5736,-34.6006,-35.1262,-34.7546,-13.926,-8.279,-6.6338,-7.1833,-8.2573,-7.3865,-7.2469,-7.6014,-6.3945,-7.9387,-9.2314,-8.8677,-13.7462,-15.9703,-18.5722,-20.7586,-21.122,-20.1608,-21.0495
"B Max Drawdown",-9.3683,-9.3683,-13.0962,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-7.3471,-6.9017,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.2939,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",0.0479000000000003,0.752599999999999,-1.6884,-1.5765,-1.3147,-1.8137,-0.976700000000001,-1.2262,-1.0292,-0.606200000000001,-0.7707,-0.120200000000001,-0.8742,-0.101900000000001,0.8239,0.6647,0.4282,1.9906,2.3308,0.185600000000001,2.0697,2.194,3.4885,3.4438,3.976,3.0726,2.9481,3.7319,3.7049,3.1793,2.4072,3.4465,-0.9319,0.2679,-0.2815,-1.3555,-0.4847,-0.3451,-1.2639,-0.0569999999999995,0.355200000000001,1.0108,1.3745,0.587199999999999,-1.6369,-4.2388,-4.0685,-3.9291,-2.9679,-3.8566
