"","1 Y 2018-05-15 to 2019-05-16","1 Y 2018-06-15 to 2019-06-16","1 Y 2018-07-16 to 2019-07-16","1 Y 2018-08-16 to 2019-08-16","1 Y 2018-09-17 to 2019-09-16","1 Y 2018-10-15 to 2019-10-16","1 Y 2018-11-15 to 2019-11-16","1 Y 2018-12-17 to 2019-12-16","1 Y 2019-01-15 to 2020-01-16","1 Y 2019-02-15 to 2020-02-16","1 Y 2019-03-15 to 2020-03-16","1 Y 2019-04-15 to 2020-04-16","1 Y 2019-05-15 to 2020-05-16","1 Y 2019-06-17 to 2020-06-16","1 Y 2019-07-15 to 2020-07-16","1 Y 2019-08-16 to 2020-08-16","1 Y 2019-09-16 to 2020-09-16","1 Y 2019-10-15 to 2020-10-16","1 Y 2019-11-15 to 2020-11-16","1 Y 2019-12-16 to 2020-12-16","1 Y 2020-01-15 to 2021-01-16","1 Y 2020-02-17 to 2021-02-16","1 Y 2020-03-16 to 2021-03-16","1 Y 2020-04-15 to 2021-04-16","1 Y 2020-05-15 to 2021-05-16","1 Y 2020-06-15 to 2021-06-16","1 Y 2020-07-15 to 2021-07-16","1 Y 2020-08-17 to 2021-08-16","1 Y 2020-09-15 to 2021-09-16","1 Y 2020-10-15 to 2021-10-16","1 Y 2020-11-17 to 2021-11-16","1 Y 2020-12-15 to 2021-12-16","1 Y 2021-01-15 to 2022-01-16","1 Y 2021-02-15 to 2022-02-16","1 Y 2021-03-15 to 2022-03-16","1 Y 2021-04-15 to 2022-04-16","1 Y 2021-05-17 to 2022-05-16","1 Y 2021-06-15 to 2022-06-16","1 Y 2021-07-15 to 2022-07-16","1 Y 2021-08-16 to 2022-08-16","1 Y 2021-09-15 to 2022-09-16"
"P Information Ratio",-0.31,-0.23,0.24,0.48,0.74,0.18,-0.16,-0.28,0.12,0.92,0.9,1.03,0.33,0.45,0.28,0.08,0.19,-0.43,0.01,0.42,0.28,0.87,1.29,0.91,1.02,0.85,1.56,1.32,1.43,1.84,0.79,0.91,0.58,0.44,0.91,-0.19,-0.41,-0.85,0.06,-0.86,-0.71
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.24,-0.01,0.2,0.05,0.38,-0.13,0.08,-0.16,0.17,0.31,-0.19,0.04,0.72,0.86,0.48,-0.01,0.16,0,0.31,0.25,0.17,0.82,0.62,1.73,1.12,1.19,1.15,1.6,1.72,1.69,1.79,1.46,1.47,1.54,0.42,0.44,0.15,-0.21,-0.33,-0.29,0.16
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.01,0.97,1.01,1.01,0.88,0.86,0.98,0.91,0.83,0.9,1.07,1.01,1.11,1.1,1.03,1.06,1.09,1.1,1.07,1,1.02,0.97,0.96,0.71,0.77,0.8,0.87,0.8,0.71,0.74,0.52,0.56,0.56,0.41,0.79,0.76,0.7,0.77,0.78,0.9,0.95
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",85.61,86,84.24,89.91,82.44,73.18,86.46,73.31,74.09,77.94,79.83,95.91,94.72,93.89,92.45,92.67,93.09,93.91,93.21,93.31,92.56,91.85,73.67,75.42,72.98,70.48,72.31,68.76,67.27,69.01,51.62,59.5,58.35,20.31,84.72,80.68,84.65,86.82,93.27,88.7,90.94
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.9684,-15.2988,-15.0173,-15.0247,-11.6618,-10.0683,-10.9613,-10.414,-10.0015,-10.455,-21.6696,-36.9382,-36.9503,-36.6486,-36.5551,-37.5591,-38.1367,-38.2422,-37.1088,-35.8259,-36.3419,-34.767,-14.1102,-7.6366,-7.7974,-7.3858,-7.3915,-8.0761,-7.1388,-6.2674,-6.0791,-7.72,-8.8815,-8.2118,-14.33,-15.3734,-15.2093,-17.8501,-18.4341,-18.9462,-18.1498
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-22.2918,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-7.3471,-6.9017,-6.9018,-6.9017,-6.9018,-6.9018,-6.3375,-6.3375,-8.294,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-14.9277,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-1.9895,-1.3199,-1.0384,-1.0458,-0.3713,1.2092,0.3162,0.8635,1.276,0.8225,0.622199999999999,1.3673,1.3552,1.6569,1.7504,0.746400000000001,0.168800000000005,0.0633000000000052,1.1967,2.4796,1.9636,2.3948,3.2623,-0.289499999999999,-0.8957,-0.484,-0.4898,-1.1743,-0.237,0.0701000000000001,0.2584,0.574000000000001,1.3607,2.0304,0.00339999999999918,-1.04,-0.875900000000001,-2.9224,-1.2412,-1.7533,-0.956899999999997
