"","3 Y 2017-02-14 to 2020-02-15","3 Y 2017-03-14 to 2020-03-15","3 Y 2017-04-17 to 2020-04-15","3 Y 2017-05-15 to 2020-05-15","3 Y 2017-06-14 to 2020-06-15","3 Y 2017-07-14 to 2020-07-15","3 Y 2017-08-14 to 2020-08-15","3 Y 2017-09-14 to 2020-09-15","3 Y 2017-10-16 to 2020-10-15","3 Y 2017-11-14 to 2020-11-15","3 Y 2017-12-14 to 2020-12-15","3 Y 2018-01-15 to 2021-01-15","3 Y 2018-02-14 to 2021-02-15","3 Y 2018-03-14 to 2021-03-15","3 Y 2018-04-16 to 2021-04-15","3 Y 2018-05-14 to 2021-05-15","3 Y 2018-06-14 to 2021-06-15","3 Y 2018-07-16 to 2021-07-15","3 Y 2018-08-14 to 2021-08-15","3 Y 2018-09-14 to 2021-09-15","3 Y 2018-10-15 to 2021-10-15","3 Y 2018-11-14 to 2021-11-15","3 Y 2018-12-14 to 2021-12-15","3 Y 2019-01-14 to 2022-01-15","3 Y 2019-02-14 to 2022-02-15","3 Y 2019-03-14 to 2022-03-15","3 Y 2019-04-15 to 2022-04-15","3 Y 2019-05-14 to 2022-05-15","3 Y 2019-06-14 to 2022-06-15","3 Y 2019-07-15 to 2022-07-15","3 Y 2019-08-14 to 2022-08-15","3 Y 2019-09-16 to 2022-09-15"
"P Information Ratio",0.3,0.18,0.49,0.61,0.67,0.38,0.66,0.56,-0.06,-0.13,-0.15,-0.59,-0.16,-0.28,-0.22,-0.05,-0.03,0.53,0.52,0.81,1.21,0.34,0.36,0.06,0.25,0.21,0.21,1.37,1.17,0.24,0.51,0.39
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.39,0.25,0.16,0.74,0.7,0.52,0.73,0.61,0.1,-0.04,-0.11,-0.36,-0.06,-0.23,-0.2,-0.11,-0.11,0.52,0.5,0.58,0.78,0.1,0.27,-0.05,-0.05,0.43,0.37,4.05,3.17,0.42,0.52,0.55
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.72,0.56,0.85,0.9,0.91,0.87,0.88,0.91,0.91,0.88,0.85,0.9,0.94,1,1.02,1.09,1.11,1.2,1.23,1,1.18,1.16,1.14,1.3,1.16,1.25,1.05,1.21,1.24,1.11,1.27,1.27
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",49.57,38.88,71.34,70.33,72.05,64.35,60.09,61.5,71.79,72.98,60.51,80.11,85.73,81.65,83.57,86.49,83.52,75.77,76.89,83.21,77.86,78.6,80.92,80.9,75.78,79.29,70.61,33.88,36.44,69.57,73.36,72.94
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-14.1022,-18.6333,-32.8366,-30.7937,-31.331,-30.6019,-30.0297,-29.2342,-35.138,-36.6127,-38.4961,-40.5874,-32.8963,-38.3098,-39.6425,-40.7465,-46.1772,-42.58,-42.7624,-38.8425,-42.1741,-42.9197,-43.1463,-49.9278,-45.8095,-46.0581,-42.0671,-45.4992,-43.3884,-43.2486,-48.373,-50.2089
"B Max Drawdown",-13.9789,-22.2918,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-0.1233,3.6585,5.4689,7.5118,6.9745,7.7036,8.2758,9.0713,3.1675,1.69280000000001,-0.190599999999996,-2.2819,5.40920000000001,-0.00430000000000064,-1.337,-2.441,-7.8717,-4.2745,-4.4569,-0.536999999999999,-3.8686,-4.6142,-4.84079999999999,-11.6223,-7.504,-7.7526,-3.7616,-7.1937,-5.0829,-4.9431,-10.0675,-11.9034
