"","1 Y 2017-11-14 to 2018-11-15","1 Y 2017-12-14 to 2018-12-15","1 Y 2018-01-15 to 2019-01-15","1 Y 2018-02-14 to 2019-02-15","1 Y 2018-03-14 to 2019-03-15","1 Y 2018-04-16 to 2019-04-15","1 Y 2018-05-14 to 2019-05-15","1 Y 2018-06-14 to 2019-06-15","1 Y 2018-07-16 to 2019-07-15","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-15 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15","1 Y 2020-10-14 to 2021-10-15","1 Y 2020-11-14 to 2021-11-15","1 Y 2020-12-14 to 2021-12-15","1 Y 2021-01-14 to 2022-01-15","1 Y 2021-02-15 to 2022-02-15","1 Y 2021-03-15 to 2022-03-15","1 Y 2021-04-15 to 2022-04-15","1 Y 2021-05-14 to 2022-05-15","1 Y 2021-06-14 to 2022-06-15","1 Y 2021-07-14 to 2022-07-15","1 Y 2021-08-16 to 2022-08-15","1 Y 2021-09-14 to 2022-09-15"
"P Information Ratio",0.19,-0.14,-0.18,-0.77,-0.43,-0.67,-0.34,-1.14,-1.05,-0.8,-0.53,0.81,-0.14,-0.4,-1,0.05,-0.6,-1.02,-0.68,-0.1,-0.77,-0.47,-0.36,-0.54,-0.2,0.12,0.01,0.26,2.99,3.64,4.2,3.51,3.17,1.4,0.86,4.27,2.51,1.18,0.51,0.65,-0.14,0.08,0.05,-0.07,-0.15,0.09,-0.04
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.5,-0.1,-0.32,-0.39,0.03,-0.59,0.45,-0.35,-0.46,-0.4,-0.71,0.12,-0.04,-0.65,-0.29,-0.58,-1.24,-1.44,-0.28,0.71,-0.2,-1.13,-0.2,-0.34,-0.05,0.22,-0.11,0.65,-0.01,1.93,1.92,1.53,1.85,-0.64,-0.77,1.44,2.12,1.67,0.61,0.65,0.06,0.24,-0.08,0.18,0,0.57,-0.17
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.69,0.59,0.77,0.81,0.74,0.75,0.71,0.65,0.79,0.99,0.91,1.31,1.22,1.33,1.25,1.41,1.88,1.15,1.36,1.37,1.38,1.32,1.39,1.51,1.47,1.39,1.3,1.26,1.7,1.36,1.48,1.46,1.56,1.67,1.43,1.33,0.95,1.06,1.1,0.83,1.09,0.96,0.94,0.75,0.86,1.01,0.88
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",37.24,32.3,49.15,46.42,45.81,55.57,73.49,49.44,68.83,80.29,69.45,78.01,63.26,71.09,73.08,88.39,79.1,92.07,92.39,86.58,86.71,82.49,83.12,85.72,81.74,84.72,79.97,85.42,65.71,53.24,51.9,47.87,61.41,73.97,62.94,54.37,27.53,40.49,43.15,23.18,51.23,49.56,57.61,38.66,47.56,60.68,68.87
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-13.2983,-13.3643,-14.2384,-13.7127,-13.515,-14.4116,-13.9406,-13.7248,-15.7976,-15.3527,-16.6768,-16.0672,-15.9515,-19.5695,-18.7416,-17.1819,-31.5343,-45.4624,-46.2848,-44.8833,-47.8392,-47.9235,-50.0087,-52.9765,-50.6949,-47.6067,-47.0275,-41.6793,-18.7101,-12.652,-13.5946,-14.3061,-14.4385,-14.2127,-10.4897,-8.9362,-10.1383,-10.0431,-10.4178,-11.6638,-17.8479,-15.5289,-15.6181,-15.1736,-19.6311,-18.5084,-18.5281
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-22.2918,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.2939,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-14.816,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",0.6806,0.614599999999999,-0.259500000000001,0.2662,0.463899999999999,-0.432700000000001,0.0382999999999996,0.254099999999999,-1.8187,-1.3738,-5.3863,-4.7897,-4.674,-8.292,-7.4641,-5.9044,-9.2425,-7.1569,-7.97929999999999,-6.5778,-9.5337,-9.61799999999999,-11.7032,-14.671,-12.3894,-9.30119999999999,-8.722,-4.5175,-1.3376,-5.3049,-6.6928,-7.4043,-7.5367,-7.3109,-3.5879,-2.5987,-3.8008,-1.7492,-0.175599999999999,-1.4216,-3.5145,-1.1955,-1.2847,-0.3576,-2.4382,-1.3155,-1.3352
