"","1 Y 2019-05-07 to 2020-05-08","1 Y 2019-06-07 to 2020-06-08","1 Y 2019-07-08 to 2020-07-08","1 Y 2019-08-07 to 2020-08-08","1 Y 2019-09-09 to 2020-09-08","1 Y 2019-10-07 to 2020-10-08","1 Y 2019-11-07 to 2020-11-08","1 Y 2019-12-09 to 2020-12-08","1 Y 2020-01-07 to 2021-01-08","1 Y 2020-02-07 to 2021-02-08","1 Y 2020-03-09 to 2021-03-08","1 Y 2020-04-07 to 2021-04-08","1 Y 2020-05-07 to 2021-05-08","1 Y 2020-06-08 to 2021-06-08","1 Y 2020-07-07 to 2021-07-08","1 Y 2020-08-07 to 2021-08-08","1 Y 2020-09-07 to 2021-09-08","1 Y 2020-10-07 to 2021-10-08","1 Y 2020-11-09 to 2021-11-08","1 Y 2020-12-07 to 2021-12-08","1 Y 2021-01-07 to 2022-01-08","1 Y 2021-02-08 to 2022-02-08","1 Y 2021-03-08 to 2022-03-08","1 Y 2021-04-07 to 2022-04-08","1 Y 2021-05-07 to 2022-05-08","1 Y 2021-06-07 to 2022-06-08","1 Y 2021-07-07 to 2022-07-08","1 Y 2021-08-09 to 2022-08-08","1 Y 2021-09-07 to 2022-09-08"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.83,1.31,1.18,1.25,2.13,1.67,1.79,1.57,0.86,1.21,0.6,2.26,1.71,2.07,1.99,1.14,1.32,1.64,2.27,2.24,2.22,1.87,0.67,0.75,0.5,0.15,0.46,0.5,0.67
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.21,1.18,1.14,1.21,1.13,1.08,1.01,1.05,1,1.05,1.22,1.01,1.05,1.03,1.05,1.06,1.15,1,0.86,0.9,0.91,0.73,0.91,0.86,0.81,0.84,0.96,1,1.06
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",91.42,92.25,91.43,89.94,87.23,84.49,84.91,88.35,90.33,92.55,68.6,57.23,62.07,58.68,68.05,74.18,59.83,60.53,50.04,52.59,48.17,28.52,76.78,84.38,88.82,88.43,86.24,87.79,89.22
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-38.4531,-38.1148,-38.7475,-40.4144,-38.5077,-38.9318,-36.9932,-37.3837,-37.1071,-37.2105,-21.3426,-8.2382,-8.6332,-8.6805,-8.4698,-8.3714,-8.1403,-8.8982,-7.5052,-7.3162,-8.2398,-8.8864,-12.0561,-12.1659,-12.4602,-13.6532,-17.1667,-16.1396,-16.5267
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-27.1726,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.294,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-14.3334,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-0.147599999999997,0.1907,-0.442,-2.1089,-0.202199999999998,-0.626300000000001,1.3123,0.921800000000005,1.1984,0.396299999999997,5.83,-0.891100000000001,-1.7314,-1.7787,-1.568,-1.4696,-1.2385,-2.5607,-1.1677,0.9778,2.0024,1.3558,2.2773,2.1675,1.8732,0.680199999999999,0.0262000000000029,1.0533,0.6662
