"","1 Y 2017-11-14 to 2018-11-15","1 Y 2017-12-14 to 2018-12-15","1 Y 2018-01-15 to 2019-01-15","1 Y 2018-02-14 to 2019-02-15","1 Y 2018-03-14 to 2019-03-15","1 Y 2018-04-16 to 2019-04-15","1 Y 2018-05-14 to 2019-05-15","1 Y 2018-06-14 to 2019-06-15","1 Y 2018-07-16 to 2019-07-15","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-15 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15","1 Y 2020-10-14 to 2021-10-15","1 Y 2020-11-14 to 2021-11-15","1 Y 2020-12-14 to 2021-12-15","1 Y 2021-01-14 to 2022-01-15","1 Y 2021-02-15 to 2022-02-15","1 Y 2021-03-15 to 2022-03-15","1 Y 2021-04-15 to 2022-04-15","1 Y 2021-05-14 to 2022-05-15","1 Y 2021-06-14 to 2022-06-15","1 Y 2021-07-14 to 2022-07-15","1 Y 2021-08-16 to 2022-08-15","1 Y 2021-09-14 to 2022-09-15"
"P Information Ratio",-0.06,-0.56,-0.47,-0.51,-0.59,0.19,0.28,0.22,0.17,0.8,0.89,1.37,1.36,1.47,1.49,2.15,1.93,2.63,1.84,1.56,1.64,1.88,2.73,1.44,1.58,1.86,2.32,2.3,2.25,1.23,2.06,2.03,1.18,2.41,2.84,1.61,1.99,1.9,1.8,1.71,1.47,1.39,0.29,0.08,0.95,0.78,0.53
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.09,-0.7,-0.15,-0.12,-0.4,0.1,0.16,0.03,0.35,0.18,1.05,0.78,1.31,1.23,0.88,1.65,1.46,1.77,1.99,1.74,1.57,1.35,2.02,1.56,1.39,1.63,2.49,2.45,1.7,2.6,5.06,4.52,3.23,3.68,3.57,2.87,1.96,3.14,3.87,3.17,1.25,1.17,1.4,0.22,0.85,0.77,1.68
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.07,1.04,1.16,1.12,1.06,1.11,1.22,1.26,1.25,1.13,0.85,0.75,1,0.88,0.91,0.83,1.03,1.03,1.09,1.08,1.02,0.89,0.97,0.96,1,1.07,1.07,1.01,1.01,0.64,0.3,0.46,0.6,0.77,0.88,0.82,1.32,0.98,0.79,0.71,1.07,0.89,0.79,1.07,1.13,1.18,1.28
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",59.99,58.59,65.17,71.05,67.08,71.25,75.57,78.66,78.82,78.9,54.79,48.3,46.82,46.02,49.87,33.69,47.63,91.47,94.21,92.85,90.68,88.67,88.51,90.82,90.91,91.45,85.71,81.93,42.61,32.94,-4.83,4.66,6.81,15.15,23.19,8.77,18.19,12.15,4.74,2.87,44.74,52.8,36.52,51.31,49.53,49.97,65.11
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-18.526,-19.4493,-19.5118,-16.8522,-16.6228,-17.725,-19.0727,-18.8156,-18.3644,-16.5928,-12.5074,-8.0541,-8.1792,-8.1293,-8.1141,-8.4001,-19.959,-34.2539,-34.8534,-34.4261,-33.2283,-30.4013,-31.9976,-33.346,-35.2019,-36.1828,-36.3141,-34.6331,-12.6652,-8.2929,-7.6471,-7.9983,-11.5905,-13.6571,-9.9263,-11.5221,-13.3996,-10.5579,-10.9399,-10.4187,-13.59,-12.2644,-16.9333,-19.462,-22.2596,-24.1282,-25.1263
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-22.2918,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.2939,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-14.816,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-4.5471,-5.4704,-5.5329,-2.8733,-2.6439,-3.7461,-5.0938,-4.8367,-4.3855,-2.6139,-1.2169,3.2234,3.0983,3.1482,3.1634,2.8774,2.3328,4.0516,3.4521,3.8794,5.0772,7.9042,6.3079,4.95950000000001,3.1036,2.1227,1.9914,2.5287,4.7073,-0.945799999999999,-0.7453,-1.0965,-4.6887,-6.7553,-3.0245,-5.1846,-7.0621,-2.264,-0.697699999999999,-0.176499999999999,0.743399999999999,2.069,-2.5999,-4.646,-5.0667,-6.9353,-7.9334
