"","2 Y 2018-05-15 to 2020-05-16","2 Y 2018-06-15 to 2020-06-16","2 Y 2018-07-16 to 2020-07-16","2 Y 2018-08-16 to 2020-08-16","2 Y 2018-09-17 to 2020-09-16","2 Y 2018-10-15 to 2020-10-16","2 Y 2018-11-15 to 2020-11-16","2 Y 2018-12-17 to 2020-12-16","2 Y 2019-01-15 to 2021-01-16","2 Y 2019-02-15 to 2021-02-16","2 Y 2019-03-15 to 2021-03-16","2 Y 2019-04-15 to 2021-04-16","2 Y 2019-05-15 to 2021-05-16","2 Y 2019-06-17 to 2021-06-16","2 Y 2019-07-15 to 2021-07-16","2 Y 2019-08-16 to 2021-08-16","2 Y 2019-09-16 to 2021-09-16","2 Y 2019-10-15 to 2021-10-16","2 Y 2019-11-15 to 2021-11-16","2 Y 2019-12-16 to 2021-12-16","2 Y 2020-01-15 to 2022-01-16","2 Y 2020-02-17 to 2022-02-16","2 Y 2020-03-16 to 2022-03-16","2 Y 2020-04-15 to 2022-04-16","2 Y 2020-05-15 to 2022-05-16","2 Y 2020-06-15 to 2022-06-16","2 Y 2020-07-15 to 2022-07-16","2 Y 2020-08-17 to 2022-08-16","2 Y 2020-09-15 to 2022-09-16"
"P Information Ratio",0.56,0.33,0.36,0.66,0.27,0.01,-0.18,0,-0.46,-0.25,0.12,-0.42,0.11,0.31,-0.06,0.66,0.65,0.81,0.79,0.63,0.47,0.92,1.87,2.25,2.16,1.59,1.3,1.07,0.41
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.75,0.54,0.42,0.67,0.21,0.08,0.04,-0.07,-0.51,-0.61,0.07,-0.47,-0.13,0.1,0.1,0.61,0.64,0.35,0.73,0.73,0.61,1.34,1.98,1.79,2.08,1.75,1.29,0.87,0.55
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.87,0.93,1.01,0.99,1.03,1,1,1.01,1.02,1.11,1.09,1.13,1.22,1.18,1.13,1.31,1.22,1.18,1.19,1.26,1.25,1.28,1.29,1.19,1.16,1.15,1.2,1.23,1.16
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",65.13,73.13,77.85,76.43,79.45,84.91,69.6,75.69,75.49,79.03,77.11,80.14,80.21,80.86,76.21,79.38,74.79,74.17,74.76,74.11,74.41,78.49,54.58,48.01,45.77,49.36,55.79,58.56,60.13
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-30.0383,-32.6568,-33.5423,-32.7341,-35.4591,-36.5058,-35.6671,-37.0609,-41.3674,-42.4582,-39.5755,-44.8053,-44.8248,-43.2654,-43.7966,-47.1901,-46.5188,-46.1324,-46.2909,-48.2067,-47.9057,-43.6585,-19.6434,-14.7628,-18.6579,-19.4152,-24.4309,-21.8208,-21.579
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-14.9277,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",8.2672,5.64870000000001,4.7632,5.5714,2.8464,1.7997,2.6384,1.24460000000001,-3.0619,-4.1527,-1.27,-6.4998,-6.5193,-4.9599,-5.4911,-8.8846,-8.2133,-7.82689999999999,-7.9854,-9.9012,-9.6002,-6.4967,-2.2709,-0.429400000000001,-4.3245,-4.4875,-7.238,-4.6279,-4.3861
