"","2 Y 2016-11-16 to 2018-11-17","2 Y 2016-12-16 to 2018-12-17","2 Y 2017-01-16 to 2019-01-17","2 Y 2017-02-16 to 2019-02-17","2 Y 2017-03-16 to 2019-03-17","2 Y 2017-04-17 to 2019-04-17","2 Y 2017-05-16 to 2019-05-17","2 Y 2017-06-16 to 2019-06-17","2 Y 2017-07-17 to 2019-07-17","2 Y 2017-08-16 to 2019-08-17","2 Y 2017-09-18 to 2019-09-17","2 Y 2017-10-16 to 2019-10-17","2 Y 2017-11-16 to 2019-11-17","2 Y 2017-12-18 to 2019-12-17","2 Y 2018-01-16 to 2020-01-17","2 Y 2018-02-16 to 2020-02-17","2 Y 2018-03-16 to 2020-03-17","2 Y 2018-04-16 to 2020-04-17","2 Y 2018-05-16 to 2020-05-17","2 Y 2018-06-18 to 2020-06-17","2 Y 2018-07-16 to 2020-07-17","2 Y 2018-08-16 to 2020-08-17","2 Y 2018-09-17 to 2020-09-17","2 Y 2018-10-16 to 2020-10-17","2 Y 2018-11-16 to 2020-11-17","2 Y 2018-12-17 to 2020-12-17","2 Y 2019-01-16 to 2021-01-17","2 Y 2019-02-18 to 2021-02-17","2 Y 2019-03-18 to 2021-03-17","2 Y 2019-04-16 to 2021-04-17","2 Y 2019-05-16 to 2021-05-17","2 Y 2019-06-17 to 2021-06-17","2 Y 2019-07-16 to 2021-07-17","2 Y 2019-08-16 to 2021-08-17","2 Y 2019-09-16 to 2021-09-17","2 Y 2019-10-16 to 2021-10-17","2 Y 2019-11-18 to 2021-11-17","2 Y 2019-12-16 to 2021-12-17","2 Y 2020-01-16 to 2022-01-17","2 Y 2020-02-17 to 2022-02-17","2 Y 2020-03-16 to 2022-03-17","2 Y 2020-04-16 to 2022-04-17","2 Y 2020-05-18 to 2022-05-17","2 Y 2020-06-16 to 2022-06-17","2 Y 2020-07-16 to 2022-07-17","2 Y 2020-08-17 to 2022-08-17","2 Y 2020-09-16 to 2022-09-17"
"P Information Ratio",0.92,0.68,0.4,-0.13,0.13,0.36,0.38,0.17,0.93,0.34,0.09,-0.21,0.34,-0.32,0.01,-0.04,0.09,0.74,0.75,0.53,0.84,0.38,0.68,0.86,0.41,1.03,1.66,2.08,1.84,1.58,2.2,0.96,1.32,1.98,1.74,1.78,2.17,1.94,1.34,1.65,2.04,1.64,1.86,1.22,2.4,2.01,2.16
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.56,0.3,0.24,0.02,0.13,0.31,0.5,0.27,0.73,0.18,0.1,-0.3,0.41,-0.17,0.13,-0.08,0.1,0.07,0.57,0.39,0.5,0.17,0.55,0.55,0.34,0.82,2.23,2.6,2.33,1.31,2.79,0.86,1.91,2.08,1.94,1.12,2.02,1.74,1.04,1.47,1.34,1.14,1.22,0.61,1.6,1.23,1.37
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.09,1.11,0.99,1.05,0.99,1,0.92,0.86,0.92,0.93,0.93,0.84,1,0.8,0.87,1.03,1.14,0.91,1.01,1.05,1.11,1.04,1.03,1.06,1.17,1.05,1.16,1.09,1.15,1.12,1.26,1.18,1.15,1.18,1.14,1.1,1.07,0.97,1.03,1.02,1.06,0.94,1.01,1.2,1.1,1.15,1.22
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",65.35,72.91,59.37,63.06,61.9,63.04,63.92,67.31,70.72,64.66,68.02,64.62,60.22,60.87,58.91,70.22,73.92,85.92,90.19,92.36,93.96,93.39,88.36,89.04,88.31,87.35,73.19,65.64,70.88,84.35,72.69,85.3,70.24,74.24,74.3,83.21,72.98,80.06,81.09,83.98,70.3,67.8,68.48,71.62,72.15,72.89,75.82
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-16.53,-18.5155,-18.3907,-16.7059,-15.8456,-16.3367,-15.7128,-13.8967,-14.5823,-15.9246,-15.8403,-14.9236,-17.1526,-15.7027,-14.2704,-16.0697,-27.8834,-33.6181,-34.0682,-35.6774,-36.5445,-35.3117,-35.349,-35.665,-40.1374,-36.556,-37.5884,-38.0969,-37.9776,-37.7864,-41.0979,-41.2302,-39.8663,-39.7636,-39.9859,-40,-38.0369,-36.0559,-38.0305,-35.2109,-12.9293,-11.6859,-15.2633,-20.6632,-17.481,-18.9666,-18.8578
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-2.5511,-4.5366,-4.4118,-2.727,-1.8667,-2.3578,-1.7339,0.0822000000000003,-0.603400000000001,-1.9457,-1.8614,-0.944700000000001,-3.1737,-1.7238,-0.291500000000001,-2.0908,-2.5493,4.6874,4.2373,2.6281,1.761,2.9938,2.95650000000001,2.6405,-1.8319,1.7495,0.717100000000002,0.208600000000004,0.3279,0.519100000000002,-2.7924,-2.9247,-1.5608,-1.45809999999999,-1.6804,-1.6945,0.268599999999999,2.2496,0.274999999999999,1.9509,4.4432,2.6475,-0.9299,-3.9731,-0.2881,-1.7737,-1.6649
