"","1 Y 2017-11-14 to 2018-11-15","1 Y 2017-12-14 to 2018-12-15","1 Y 2018-01-15 to 2019-01-15","1 Y 2018-02-14 to 2019-02-15","1 Y 2018-03-14 to 2019-03-15","1 Y 2018-04-16 to 2019-04-15","1 Y 2018-05-14 to 2019-05-15","1 Y 2018-06-14 to 2019-06-15","1 Y 2018-07-16 to 2019-07-15","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-15 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15","1 Y 2020-10-14 to 2021-10-15","1 Y 2020-11-14 to 2021-11-15","1 Y 2020-12-14 to 2021-12-15","1 Y 2021-01-14 to 2022-01-15","1 Y 2021-02-15 to 2022-02-15","1 Y 2021-03-15 to 2022-03-15","1 Y 2021-04-15 to 2022-04-15","1 Y 2021-05-14 to 2022-05-15","1 Y 2021-06-14 to 2022-06-15","1 Y 2021-07-14 to 2022-07-15","1 Y 2021-08-16 to 2022-08-15","1 Y 2021-09-14 to 2022-09-15"
"P Information Ratio",-0.01,-0.09,0.21,-0.29,0.17,-0.65,-0.61,-0.09,0.24,-0.15,0.71,-0.01,-0.65,-0.29,0.08,0.9,1.28,1.19,0.9,0.97,0.79,0.57,0.63,0.06,0.25,0.37,0.52,0.83,2.41,2.3,2.95,3.02,3.07,1.84,2.49,3.14,1.36,0.63,0.88,0.57,-0.42,-0.33,-0.78,-0.94,-0.32,-0.32,-0.77
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.15,-0.19,0.28,-0.06,0.03,-0.27,-0.09,0.07,0.13,-0.32,0.34,-0.2,-0.06,-0.21,0.1,0.19,0.1,0.28,1.2,1.15,0.91,0.38,0.46,0.53,0.45,0.18,0.25,0.58,0.92,2.27,2.33,2.73,2.28,2.03,1.99,1.65,1.85,1.4,1.39,1.34,0.2,0.4,-0.06,-0.35,-0.53,-0.03,0.01
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.93,0.92,0.94,1,1.04,0.94,0.89,0.91,0.98,0.96,0.9,0.95,1.01,1,0.96,0.93,0.94,0.98,1.06,1.06,1,1.07,1.04,1.02,0.99,0.97,1.01,1.01,0.98,0.72,0.71,0.72,0.83,0.79,0.78,0.84,0.53,0.52,0.57,0.47,0.75,0.78,0.72,0.78,0.78,0.91,0.92
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",71.13,74.86,83.81,84.75,84.85,81.38,85.67,85.43,77.1,83.36,81.12,80.18,88.52,81.93,87.18,79.65,72.85,93.18,92.01,93.2,91.16,92.74,92.62,90.87,93.59,93.85,96.51,96.57,79.01,73.9,59.64,51.3,57.63,57.75,59.78,66.91,48.3,50.54,54.11,26.59,81.7,79.83,81.98,86.75,92.04,91,89.53
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-16.0609,-15.7533,-15.1084,-15.6669,-15.968,-14.8215,-14.6271,-14.913,-15.1042,-15.2724,-11.2582,-10.5578,-11.1147,-10.7168,-11.1077,-11.6035,-20.1952,-36.5936,-35.9506,-35.6999,-35.4154,-37.6092,-36.5364,-35.0218,-34.3056,-34.94,-35.3429,-35.3002,-14.5179,-8.0845,-6.9957,-6.7147,-6.5709,-7.4496,-7.3944,-6.1984,-6.0637,-7.8308,-9.8362,-7.9906,-13.0274,-15.1503,-17.6317,-18.1807,-20.4787,-19.3657,-18.5007
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-22.2918,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.2939,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-14.816,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-2.082,-1.7744,-1.1295,-1.688,-1.9891,-0.842600000000001,-0.648200000000001,-0.934100000000001,-1.1253,-1.2935,0.0322999999999993,0.7197,0.162800000000001,0.560700000000001,0.1698,-0.326000000000001,2.0966,1.7119,2.3549,2.6056,2.8901,0.696300000000001,1.7691,3.2837,3.9999,3.3655,2.9626,1.8616,2.8546,-0.7374,-0.0939000000000005,0.1871,0.3309,-0.547800000000001,-0.4926,0.1391,0.2738,0.463100000000001,0.406000000000001,2.2516,1.306,-0.8169,-3.2983,-3.3647,-3.2858,-2.1728,-1.3078
