"","3 Y 2017-02-14 to 2020-02-15","3 Y 2017-03-14 to 2020-03-15","3 Y 2017-04-17 to 2020-04-15","3 Y 2017-05-15 to 2020-05-15","3 Y 2017-06-14 to 2020-06-15","3 Y 2017-07-14 to 2020-07-15","3 Y 2017-08-14 to 2020-08-15","3 Y 2017-09-14 to 2020-09-15","3 Y 2017-10-16 to 2020-10-15","3 Y 2017-11-14 to 2020-11-15","3 Y 2017-12-14 to 2020-12-15","3 Y 2018-01-15 to 2021-01-15","3 Y 2018-02-14 to 2021-02-15","3 Y 2018-03-14 to 2021-03-15","3 Y 2018-04-16 to 2021-04-15","3 Y 2018-05-14 to 2021-05-15","3 Y 2018-06-14 to 2021-06-15","3 Y 2018-07-16 to 2021-07-15","3 Y 2018-08-14 to 2021-08-15","3 Y 2018-09-14 to 2021-09-15","3 Y 2018-10-15 to 2021-10-15","3 Y 2018-11-14 to 2021-11-15","3 Y 2018-12-14 to 2021-12-15","3 Y 2019-01-14 to 2022-01-15","3 Y 2019-02-14 to 2022-02-15","3 Y 2019-03-14 to 2022-03-15","3 Y 2019-04-15 to 2022-04-15","3 Y 2019-05-14 to 2022-05-15","3 Y 2019-06-14 to 2022-06-15","3 Y 2019-07-15 to 2022-07-15","3 Y 2019-08-14 to 2022-08-15","3 Y 2019-09-16 to 2022-09-15"
"P Information Ratio",1.13,1.14,1.01,0.78,0.89,0.44,0.01,0.18,0.46,0.23,0.06,0.3,0.05,1.13,1.04,1.24,1.6,0.82,0.69,1.07,0.2,0.87,0.58,0.33,0.78,0.22,1.96,1.33,0.95,1.08,1.51,1.47
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.55,0.4,0.27,0.57,0.53,0.3,0.01,0.11,0.4,0.18,0.03,0.23,0.03,0.37,0.57,0.64,1.04,0.47,0.52,0.58,0.12,0.42,0.36,0.45,0.41,0.31,1.51,0.86,0.67,0.74,1.81,1
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.96,1.04,0.92,1.02,1.02,0.97,1,0.95,1,1.03,1.02,1.05,1.05,1.02,1.02,1.05,1.05,1.02,1.02,1.03,0.99,1.05,1.04,0.93,0.99,0.89,0.96,0.95,0.92,0.92,1,1.01
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",74.72,78.5,90.17,90.36,90.76,87.82,91.59,89.63,86.79,89.47,91.55,93.26,92.42,93.33,90.31,90.25,86.2,88.83,87.44,89.16,86.73,88.89,87.38,84.89,87.52,87.71,71.71,86.78,85.61,85.47,63.87,84.35
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.3947,-19.5129,-34.245,-34.9605,-34.9581,-34.9449,-35.4215,-34.4762,-35.2084,-36.1899,-36.0991,-36.5111,-36.4571,-35.052,-35.7554,-37.0966,-35.9665,-37.4332,-36.9716,-36.4031,-36.5902,-37.7034,-37.9338,-35.6648,-36.457,-33.8505,-34.9041,-34.7012,-33.8516,-34.7651,-34.9744,-34.7486
"B Max Drawdown",-13.9789,-22.2918,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-1.4158,2.7789,4.0605,3.345,3.3474,3.36060000000001,2.884,3.8293,3.0971,2.1156,2.2064,1.7944,1.84840000000001,3.2535,2.5501,1.2089,2.339,0.872300000000003,1.3339,1.9024,1.7153,0.6021,0.371700000000004,2.6407,1.8485,4.45500000000001,3.4014,3.6043,4.4539,3.54040000000001,3.3311,3.5569
