"","2 Y 2016-08-17 to 2018-08-18","2 Y 2016-09-19 to 2018-09-18","2 Y 2016-10-17 to 2018-10-18","2 Y 2016-11-17 to 2018-11-18","2 Y 2016-12-19 to 2018-12-18","2 Y 2017-01-17 to 2019-01-18","2 Y 2017-02-17 to 2019-02-18","2 Y 2017-03-17 to 2019-03-18","2 Y 2017-04-17 to 2019-04-18","2 Y 2017-05-17 to 2019-05-18","2 Y 2017-06-19 to 2019-06-18","2 Y 2017-07-17 to 2019-07-18","2 Y 2017-08-17 to 2019-08-18","2 Y 2017-09-18 to 2019-09-18","2 Y 2017-10-17 to 2019-10-18","2 Y 2017-11-17 to 2019-11-18","2 Y 2017-12-18 to 2019-12-18","2 Y 2018-01-17 to 2020-01-18","2 Y 2018-02-19 to 2020-02-18","2 Y 2018-03-19 to 2020-03-18","2 Y 2018-04-17 to 2020-04-18","2 Y 2018-05-17 to 2020-05-18","2 Y 2018-06-18 to 2020-06-18","2 Y 2018-07-17 to 2020-07-18","2 Y 2018-08-17 to 2020-08-18","2 Y 2018-09-17 to 2020-09-18","2 Y 2018-10-17 to 2020-10-18","2 Y 2018-11-19 to 2020-11-18","2 Y 2018-12-17 to 2020-12-18","2 Y 2019-01-17 to 2021-01-18","2 Y 2019-02-18 to 2021-02-18","2 Y 2019-03-18 to 2021-03-18","2 Y 2019-04-18 to 2021-04-18","2 Y 2019-05-17 to 2021-05-18","2 Y 2019-06-17 to 2021-06-18","2 Y 2019-07-17 to 2021-07-18","2 Y 2019-08-19 to 2021-08-18","2 Y 2019-09-17 to 2021-09-18","2 Y 2019-10-17 to 2021-10-18","2 Y 2019-11-18 to 2021-11-18","2 Y 2019-12-17 to 2021-12-18","2 Y 2020-01-17 to 2022-01-18","2 Y 2020-02-17 to 2022-02-18","2 Y 2020-03-17 to 2022-03-18","2 Y 2020-04-17 to 2022-04-18","2 Y 2020-05-18 to 2022-05-18","2 Y 2020-06-17 to 2022-06-18","2 Y 2020-07-17 to 2022-07-18","2 Y 2020-08-17 to 2022-08-18","2 Y 2020-09-17 to 2022-09-18"
"P Information Ratio",0.39,1.44,0.53,0.81,1.04,0.75,0.24,0.7,0.47,0.32,0.46,0.05,0.18,0.32,0.51,0.58,0.26,0.85,0.53,-0.11,0.85,0.84,0.94,0.2,0.2,0.72,1.61,2.07,1.6,0.46,2.41,2.34,2.51,2.59,1.29,1.59,2.18,1.8,1.85,1.99,2.01,1.68,1.6,3.37,3.53,2.88,0.82,2.35,2.23,2.24
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.27,0.56,0.28,0.38,0.62,0.61,0.37,0.43,0.48,0.36,0.38,0.25,-0.05,0.14,0.23,0.47,0.22,0.45,0.26,0,0.45,0.76,0.53,0.13,0.08,0.56,1.85,2.14,2.15,0.31,2.6,2.44,2.87,2.51,1.04,1.95,2.48,2.14,1.65,1.92,1.73,1.16,1.51,2.29,2.16,2.11,0.54,1.42,1.39,1.61
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.05,1.1,1.25,1.13,1.11,1,1,0.94,0.87,0.92,0.91,0.97,0.98,0.89,0.96,0.94,1,0.9,0.98,0.93,1.11,1.06,1.01,1.14,1.14,1.08,1.11,1.23,1.07,1.23,1.16,1.22,1.11,1.03,1.19,1.25,1.04,1,1.11,1.09,1.12,1.12,1.01,1.1,1.16,1,1.07,1.09,1.14,1.17
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",62.14,78.92,74.52,68.78,66.33,61.17,57.63,73.55,61.22,63.86,64.96,62.62,70.58,73.32,65.39,65.85,67.36,79.69,72.16,78.76,91.45,91.06,93.01,95.2,92.4,91.52,75.71,78.54,73.54,92.67,71.01,78.82,74.18,70.63,86.29,76.89,68.01,68.89,73.73,71.48,83.9,85,84.29,64.43,57.52,64.6,76.01,72,75.24,74.89
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-13.9609,-11.3405,-19.695,-18.6916,-17.9632,-16.3032,-18.1591,-15.1014,-14.5065,-14.7921,-14.7898,-17.404,-16.1698,-15.6573,-15.0919,-15.3363,-16.0284,-14.3959,-15.4803,-28.7058,-36.5783,-34.6369,-34.7354,-37.5441,-38.6877,-38.507,-37.7481,-40.2578,-34.8164,-40.3681,-38.9987,-39.2093,-37.9938,-35.4996,-41.4118,-41.0661,-37.1916,-35.5969,-40.3761,-37.6858,-39.3967,-38.7631,-36.0628,-11.3754,-12.5724,-13.3443,-19.7055,-18.1137,-18.9969,-17.7044
"B Max Drawdown",-12.0518,-11.1021,-13.0962,-13.9789,-13.9789,-13.9789,-13.979,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-27.0129,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.7074,-37.1618,-15.472,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-1.9091,-0.2384,-6.5988,-4.7127,-3.9843,-2.3243,-4.1801,-1.1225,-0.527600000000001,-0.8132,-0.8109,-3.4251,-2.1909,-1.6784,-1.113,-1.3574,-2.0495,-0.417,-1.5014,-1.6929,1.7272,3.6686,3.5701,0.761400000000002,-0.382199999999997,-0.201499999999996,0.557400000000001,-1.9523,3.4891,-2.0626,-0.693199999999997,-0.903799999999997,0.311700000000002,2.8059,-3.1063,-2.7606,1.1139,2.7086,-2.0706,0.619700000000002,-1.0912,-1.0557,1.099,4.0966,1.761,0.989099999999999,-3.0154,-0.9208,-1.804,-0.511499999999998
