"","2 Y 2016-08-17 to 2018-08-18","2 Y 2016-09-19 to 2018-09-18","2 Y 2016-10-17 to 2018-10-18","2 Y 2016-11-17 to 2018-11-18","2 Y 2016-12-19 to 2018-12-18","2 Y 2017-01-17 to 2019-01-18","2 Y 2017-02-17 to 2019-02-18","2 Y 2017-03-17 to 2019-03-18","2 Y 2017-04-17 to 2019-04-18","2 Y 2017-05-17 to 2019-05-18","2 Y 2017-06-19 to 2019-06-18","2 Y 2017-07-17 to 2019-07-18","2 Y 2017-08-17 to 2019-08-18","2 Y 2017-09-18 to 2019-09-18","2 Y 2017-10-17 to 2019-10-18","2 Y 2017-11-17 to 2019-11-18","2 Y 2017-12-18 to 2019-12-18","2 Y 2018-01-17 to 2020-01-18","2 Y 2018-02-19 to 2020-02-18","2 Y 2018-03-19 to 2020-03-18","2 Y 2018-04-17 to 2020-04-18","2 Y 2018-05-17 to 2020-05-18","2 Y 2018-06-18 to 2020-06-18","2 Y 2018-07-17 to 2020-07-18","2 Y 2018-08-17 to 2020-08-18","2 Y 2018-09-17 to 2020-09-18","2 Y 2018-10-17 to 2020-10-18","2 Y 2018-11-19 to 2020-11-18","2 Y 2018-12-17 to 2020-12-18","2 Y 2019-01-17 to 2021-01-18","2 Y 2019-02-18 to 2021-02-18","2 Y 2019-03-18 to 2021-03-18","2 Y 2019-04-18 to 2021-04-18","2 Y 2019-05-17 to 2021-05-18","2 Y 2019-06-17 to 2021-06-18","2 Y 2019-07-17 to 2021-07-18","2 Y 2019-08-19 to 2021-08-18","2 Y 2019-09-17 to 2021-09-18","2 Y 2019-10-17 to 2021-10-18","2 Y 2019-11-18 to 2021-11-18","2 Y 2019-12-17 to 2021-12-18","2 Y 2020-01-17 to 2022-01-18","2 Y 2020-02-17 to 2022-02-18","2 Y 2020-03-17 to 2022-03-18","2 Y 2020-04-17 to 2022-04-18","2 Y 2020-05-18 to 2022-05-18","2 Y 2020-06-17 to 2022-06-18","2 Y 2020-07-17 to 2022-07-18","2 Y 2020-08-17 to 2022-08-18","2 Y 2020-09-17 to 2022-09-18"
"P Information Ratio",0.54,-0.03,-0.56,0.65,0.24,-0.08,0.32,0.36,0.31,0.5,0.15,0.23,0.55,0.27,0.27,-0.24,-0.37,0.04,0.38,0.24,0.5,0.41,0.44,0.81,0.81,0.55,0.72,0.37,0.68,1.83,0.75,0.72,0.91,1.82,2.17,1.62,0.85,1.54,1.14,0.65,0.86,0.92,1.09,1.52,1.51,1.7,1.8,2.24,1.84,1.02
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.4,0.2,-0.1,0.46,0.21,0.11,0.3,0.27,0.17,0.26,0.12,0.22,0.08,0.18,0.02,0,-0.15,0.01,0.21,0.23,-0.22,0.37,0.5,0.62,0.41,0.42,0.37,0.27,0.37,1.73,0.18,0.41,0.55,1.01,2.24,1.32,0.47,0.95,0.65,0.47,0.84,0.99,1.17,1.16,1.21,1.43,1.6,1.21,1.05,0.75
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.86,0.89,0.91,0.87,0.87,0.88,0.91,0.95,0.95,0.9,0.91,0.88,0.96,0.99,0.9,0.94,0.87,0.99,0.97,1.05,0.89,1.05,1.09,1.01,0.98,1,1.02,0.94,1.08,0.96,1.01,0.96,0.99,1.06,0.98,0.9,1.09,1.15,1.06,1.03,0.96,0.97,1.02,0.96,0.76,0.91,0.98,1,1.02,0.98
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",72.93,63.12,79.15,76.32,79.02,81.11,80.65,69.78,79.97,78.48,78.68,81.74,83.47,77.12,79.08,80.67,79.9,77.38,78.09,74.73,91.22,90.34,89.67,87.44,90.55,90.49,93.99,90.85,94.64,81.37,92.59,89.56,90.74,89.6,78.37,82.64,89.67,90.5,88.99,88.42,80.64,83.79,87.4,69.13,73.1,57.35,59.46,75.97,76.83,77.4
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-12.9764,-11.4228,-12.2518,-13.6829,-14.9054,-15.0035,-14.7088,-15.7262,-15.8688,-15.1565,-15.1995,-13.33,-14.218,-14.9584,-14.9505,-15.263,-14.6475,-16.0549,-15.3243,-29.1146,-35.335,-37.3266,-37.0681,-35.7649,-34.8606,-34.7643,-35.941,-33.7408,-37.8104,-34.6737,-35.6038,-34.8701,-35.3085,-37.8578,-33.5149,-33.9551,-37.2737,-38.9945,-35.745,-36.667,-35.7518,-36.3561,-36.9393,-13.5687,-14.0114,-13.1261,-16.4167,-17.2178,-16.37,-17.9935
"B Max Drawdown",-12.0518,-11.1021,-13.0962,-13.9789,-13.9789,-13.9789,-13.979,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-27.0129,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.7074,-37.1618,-15.472,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-0.9246,-0.3207,0.8444,0.295999999999999,-0.926500000000001,-1.0246,-0.729800000000001,-1.7473,-1.8899,-1.1776,-1.2206,0.648899999999999,-0.239100000000001,-0.9795,-0.9716,-1.2841,-0.668600000000001,-2.076,-1.3454,-2.1017,2.9705,0.978900000000003,1.2374,2.5406,3.4449,3.5412,2.3645,4.5647,0.495100000000001,3.63180000000001,2.7017,3.4354,2.997,0.447700000000005,4.7906,4.3504,1.0318,-0.689,2.5605,1.6385,2.5537,1.3513,0.222499999999997,1.9033,0.321999999999999,1.2073,0.273400000000002,-0.0248999999999988,0.822900000000001,-0.800599999999999
