"","3 Y 2017-02-14 to 2020-02-15","3 Y 2017-03-14 to 2020-03-15","3 Y 2017-04-17 to 2020-04-15","3 Y 2017-05-15 to 2020-05-15","3 Y 2017-06-14 to 2020-06-15","3 Y 2017-07-14 to 2020-07-15","3 Y 2017-08-14 to 2020-08-15","3 Y 2017-09-14 to 2020-09-15","3 Y 2017-10-16 to 2020-10-15","3 Y 2017-11-14 to 2020-11-15","3 Y 2017-12-14 to 2020-12-15","3 Y 2018-01-15 to 2021-01-15","3 Y 2018-02-14 to 2021-02-15","3 Y 2018-03-14 to 2021-03-15","3 Y 2018-04-16 to 2021-04-15","3 Y 2018-05-14 to 2021-05-15","3 Y 2018-06-14 to 2021-06-15","3 Y 2018-07-16 to 2021-07-15","3 Y 2018-08-14 to 2021-08-15","3 Y 2018-09-14 to 2021-09-15","3 Y 2018-10-15 to 2021-10-15","3 Y 2018-11-14 to 2021-11-15","3 Y 2018-12-14 to 2021-12-15","3 Y 2019-01-14 to 2022-01-15","3 Y 2019-02-14 to 2022-02-15","3 Y 2019-03-14 to 2022-03-15","3 Y 2019-04-15 to 2022-04-15","3 Y 2019-05-14 to 2022-05-15","3 Y 2019-06-14 to 2022-06-15","3 Y 2019-07-15 to 2022-07-15","3 Y 2019-08-14 to 2022-08-15","3 Y 2019-09-16 to 2022-09-15"
"P Alpha Stat",0.03,0.13,0.4,0.05,-0.01,0.58,0.75,0.92,0.76,1.11,1.16,1.47,1.3,0.73,1.11,1.42,0.61,1.8,1.45,1.57,1.48,1.37,1.74,1.73,1.76,1.82,1.86,1.04,0.66,3.18,1.42,3.41
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.25,1.27,1.27,1.21,1.21,1.29,1.18,1.28,1.13,1.06,1.1,0.99,1,1.06,1,0.88,0.88,0.95,0.89,0.96,0.94,0.85,0.83,1.05,1,1.16,1.13,1.03,1.21,1.21,1.13,1.11
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",68.04,63.5,81.62,80.55,83.25,87.49,81.82,82.33,86.74,77.38,79.17,73.72,76.11,81.95,73.18,70.87,76.32,73.79,74.74,80.69,78.33,71.48,74.62,77.77,71.66,74.94,73.42,75.15,78.73,43.36,71.43,47.14
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-24.6352,-29.5977,-42.0476,-42.7019,-41.7963,-42.1551,-39.5408,-42.11,-38.7725,-36.6152,-36.5356,-33.3942,-33.9422,-35.7285,-34.9769,-31.5731,-32.8886,-31.7948,-31.0701,-33.4758,-32.3863,-30.7594,-29.9235,-33.8496,-34.7993,-38.5716,-38.6835,-35.8549,-39.5891,-38.8177,-36.5808,-36.6312
"B Max Drawdown",-13.9789,-22.2918,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-10.6563,-7.3059,-3.7421,-4.3964,-3.4908,-3.8496,-1.2353,-3.8045,-0.466999999999999,1.6903,1.7699,4.9113,4.3633,2.57700000000001,3.3286,6.7324,5.41690000000001,6.5107,7.2354,4.8297,5.9192,7.5461,8.382,4.4559,3.5062,-0.266099999999994,-0.378,2.4506,-1.2836,-0.5122,1.7247,1.6743
