"","3 Y 2016-08-17 to 2019-08-18","3 Y 2016-09-19 to 2019-09-18","3 Y 2016-10-17 to 2019-10-18","3 Y 2016-11-17 to 2019-11-18","3 Y 2016-12-19 to 2019-12-18","3 Y 2017-01-17 to 2020-01-18","3 Y 2017-02-17 to 2020-02-18","3 Y 2017-03-17 to 2020-03-18","3 Y 2017-04-17 to 2020-04-18","3 Y 2017-05-17 to 2020-05-18","3 Y 2017-06-19 to 2020-06-18","3 Y 2017-07-17 to 2020-07-18","3 Y 2017-08-17 to 2020-08-18","3 Y 2017-09-18 to 2020-09-18","3 Y 2017-10-17 to 2020-10-18","3 Y 2017-11-17 to 2020-11-18","3 Y 2017-12-18 to 2020-12-18","3 Y 2018-01-17 to 2021-01-18","3 Y 2018-02-19 to 2021-02-18","3 Y 2018-03-19 to 2021-03-18","3 Y 2018-04-17 to 2021-04-18","3 Y 2018-05-17 to 2021-05-18","3 Y 2018-06-18 to 2021-06-18","3 Y 2018-07-17 to 2021-07-18","3 Y 2018-08-17 to 2021-08-18","3 Y 2018-09-17 to 2021-09-18","3 Y 2018-10-17 to 2021-10-18","3 Y 2018-11-19 to 2021-11-18","3 Y 2018-12-17 to 2021-12-18","3 Y 2019-01-17 to 2022-01-18","3 Y 2019-02-18 to 2022-02-18","3 Y 2019-03-18 to 2022-03-18","3 Y 2019-04-18 to 2022-04-18","3 Y 2019-05-17 to 2022-05-18","3 Y 2019-06-17 to 2022-06-18","3 Y 2019-07-17 to 2022-07-18","3 Y 2019-08-19 to 2022-08-18","3 Y 2019-09-17 to 2022-09-18"
"P Information Ratio",0.48,0.35,0.69,0.51,0.47,0.54,0.96,0.81,0.6,0.76,0.58,0.85,1.18,1.12,0.69,1.18,1.11,1.37,1.26,0.75,0.78,0.78,0.63,0.47,1.74,1.96,1.82,1.53,1.01,0.89,1.15,1.07,2.34,2.04,1.02,1.76,2.41,1.27
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.32,0.04,0.59,0.38,0.37,0.36,0.82,0.69,0.74,0.77,0.58,0.94,0.63,0.88,0.81,1.31,1.07,1.31,0.98,0.48,0.55,0.63,0.45,0.36,1.55,1.74,2.43,1.37,1.37,0.76,1.62,1.11,3.14,4.12,1.2,3.24,4.07,2.98
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.4,1.21,1.23,1.15,1.12,1.11,1.33,1.28,1.25,1.16,1.13,1.09,1.02,1.09,1.08,1.08,1.16,1.09,0.98,0.93,1.05,0.96,0.94,0.98,1.1,1.12,1.04,1.12,0.85,1.23,1.02,1.27,1.25,1.16,1.17,1.22,0.98,0.79
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",63.74,70.49,58.49,59.33,53.02,51.1,60.61,76.74,85.08,85.3,82.73,79.33,84.54,84.58,81.31,70.43,77.45,79.86,78.6,83.32,84.98,79.24,81.53,84.76,77.98,79.33,51.3,72.65,63.31,79.49,61.47,75.38,54.15,42.17,74.99,48.28,39.52,30.76
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-24.4806,-20.3424,-24.8836,-23.0358,-18.017,-18.507,-22.7555,-33.8286,-42.5419,-37.9671,-38.1947,-36.5686,-37.2548,-37.8624,-37.2306,-36.8991,-37.3556,-37.9296,-34.0062,-32.6654,-35.0722,-33.579,-32.242,-33.9232,-34.8101,-37.4301,-34.6613,-37.6993,-30.4891,-39.4854,-37.2509,-42.9466,-41.891,-38.1954,-39.1221,-37.851,-32.6131,-30.688
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.979,-27.0129,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-10.5017,-6.3635,-10.9047,-9.0569,-4.0381,-4.5281,-8.7765,-6.8157,-4.2364,0.3384,0.110800000000005,1.7369,1.0507,0.443100000000001,1.0749,1.4064,0.9499,0.375900000000001,4.2993,5.6401,3.2333,4.7265,6.0635,4.3823,3.4954,0.875399999999999,3.6442,0.606200000000001,7.8164,-1.1799,1.0546,-4.64109999999999,-3.5855,0.110100000000003,-0.816600000000001,0.454500000000003,5.6924,7.6175
