"","2 Y 2018-05-15 to 2020-05-16","2 Y 2018-06-15 to 2020-06-16","2 Y 2018-07-16 to 2020-07-16","2 Y 2018-08-16 to 2020-08-16","2 Y 2018-09-17 to 2020-09-16","2 Y 2018-10-15 to 2020-10-16","2 Y 2018-11-15 to 2020-11-16","2 Y 2018-12-17 to 2020-12-16","2 Y 2019-01-15 to 2021-01-16","2 Y 2019-02-15 to 2021-02-16","2 Y 2019-03-15 to 2021-03-16","2 Y 2019-04-15 to 2021-04-16","2 Y 2019-05-15 to 2021-05-16","2 Y 2019-06-17 to 2021-06-16","2 Y 2019-07-15 to 2021-07-16","2 Y 2019-08-16 to 2021-08-16","2 Y 2019-09-16 to 2021-09-16","2 Y 2019-10-15 to 2021-10-16","2 Y 2019-11-15 to 2021-11-16","2 Y 2019-12-16 to 2021-12-16","2 Y 2020-01-15 to 2022-01-16","2 Y 2020-02-17 to 2022-02-16","2 Y 2020-03-16 to 2022-03-16","2 Y 2020-04-15 to 2022-04-16","2 Y 2020-05-15 to 2022-05-16","2 Y 2020-06-15 to 2022-06-16","2 Y 2020-07-15 to 2022-07-16","2 Y 2020-08-17 to 2022-08-16","2 Y 2020-09-15 to 2022-09-16"
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.82,0.67,0.89,0.5,1.02,1.32,1.2,1.36,1.65,1.43,1.52,2.39,2.72,2.67,2.63,2.75,3.05,2,1.71,2.22,2.03,0.98,1.51,2.05,2.44,1.78,2.56,2.57,2.11
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.28,1.21,1.23,1.12,1.1,1.16,1.04,1.07,1.04,1,1.06,0.97,0.95,1.01,1.07,0.94,0.95,0.87,0.91,0.98,0.98,0.96,0.91,0.84,0.85,1.09,1.05,1.08,1.13
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",88.88,88.19,91.1,86.88,88.49,90.26,85.92,89.74,88.6,88.67,89.25,78.41,76.37,81.17,83.35,75.64,74.45,68.7,75.29,74.18,72.84,74.72,42.92,30.15,30.38,39.83,36.1,40.17,42.5
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-42.1422,-41.0229,-40.2723,-38.4465,-37.9806,-37.5894,-34.1479,-34.4099,-33.0682,-32.4768,-33.5252,-32.5731,-32.7637,-33.8349,-35.1296,-31.708,-30.9682,-31.4593,-32.3357,-33.371,-32.8448,-33.5813,-17.9888,-14.2153,-15.853,-16.4075,-20.2853,-21.3612,-20.3613
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-14.9277,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-3.8367,-2.7174,-1.9668,-0.140999999999998,0.3249,0.716100000000004,4.1576,3.8956,5.2373,5.8287,4.7803,5.73240000000001,5.5418,4.4706,3.1759,6.5975,7.3373,6.8462,5.9698,4.9345,5.4607,3.5805,-0.616300000000003,0.1181,-1.5196,-1.4798,-3.0924,-4.1683,-3.1684
