"","2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","2022-01-03_to_2024-11-04_^BSESN"
"2022-06-17",-21.5921546348673,-16.2268196943559
"2022-06-20",-21.912257504386,-15.8395686295747
"2022-06-21",-20.2209038057012,-14.3157594367349
"2022-06-22",-21.9097032985107,-15.4730817745937
"2022-06-23",-20.9227580424292,-14.7502053977099
"2022-06-24",-20.2252632562695,-13.9962164926132
"2022-06-27",-19.2670969051179,-13.2894707501208
"2022-06-28",-19.1443950309724,-13.2630979834197
"2022-06-29",-19.4947956467213,-13.5085423341308
"2022-06-30",-20.2442383836774,-13.5216321846603
"2022-07-01",-19.3016784381191,-13.7027084503191
"2022-07-04",-19.3591476254161,-13.1696059462673
"2022-07-05",-19.2551443652777,-13.3333931836824
"2022-07-06",-18.0083342804196,-12.3276370280981
"2022-07-07",-16.9676602471953,-11.6303611553473
"2022-07-08",-16.6444616441106,-11.1355242615456
"2022-07-11",-16.8249580193344,-11.276790391818
"2022-07-12",-17.4959838217877,-12.1063934556153
"2022-07-13",-17.4756565967136,-12.713913111387
"2022-07-14",-17.7093224697899,-12.8737618097047
"2022-07-15",-17.3446258866088,-12.3116318863739
"2022-07-18",-15.8544928581567,-11.0714071618279
"2022-07-19",-15.6037817065989,-10.6693865754316
"2022-07-20",-14.8312100562607,-9.64195880152958
"2022-07-21",-14.1481892458045,-9.17804137029885
"2022-07-22",-14.0528009785926,-8.54146533540184
"2022-07-25",-14.207384884221,-9.04059793973863
"2022-07-26",-14.3883899551904,-9.85243896446927
"2022-07-27",-13.61652573598,-8.95887325346788
"2022-07-28",-10.9766707630563,-7.26014658895002
"2022-07-29",-9.3798189947852,-6.09806518301513
"2022-08-01",-8.10858719386692,-5.20871795629207
"2022-08-02",-7.74573592912313,-5.17469013688451
"2022-08-03",-7.79766981285847,-4.8253668174799
"2022-08-04",-7.62901475484379,-4.90973650304644
"2022-08-05",-7.58926432812073,-4.76435807459884
"2022-08-08",-7.01000763204059,-4.00567767440079
"2022-08-10",-7.11732681183287,-4.06404141798606
"2022-08-11",-6.66904476744344,-3.22352049213205
"2022-08-12",-6.3143915183173,-3.0111868990289
"2022-08-16",-5.69213105282529,-2.39230533022383
"2022-08-17",-4.56317203718536,-1.71064846791312
"2022-08-18",-4.45294540697045,-1.64887711574604
"2022-08-19",-5.93973081448482,-2.71209925968015
"2022-08-22",-7.93067489213309,-4.13485789548218
"2022-08-23",-7.02375674019955,-3.71496908391609
"2022-08-24",-6.9509882478235,-3.62668016581635
"2022-08-25",-7.53610761375213,-4.13347747614168
"2022-08-26",-6.78125434438472,-4.03699292153784
"2022-08-29",-8.33494333382175,-5.4417674927849
"2022-08-30",-5.46282616646736,-2.89001890209168
"2022-09-01",-6.20941620903421,-4.14673143246694
"2022-09-02",-6.28787272734513,-4.08681351046335
"2022-09-05",-5.58016772773046,-3.36480592896865
"2022-09-06",-5.69748465097407,-3.44471579820432
"2022-09-07",-6.03279309237726,-3.71886900988506
"2022-09-08",-5.35277954569381,-2.64348373050315
"2022-09-09",-5.12869935719059,-2.47234069212682
"2022-09-12",-4.52672896112554,-1.94715387939828
"2022-09-13",-3.58676326984546,-1.20346502630375
"2022-09-14",-3.47473671641115,-1.56900585963877
"2022-09-15",-4.27676522392676,-2.24257327154846
"2022-09-16",-5.91320808680526,-4.02570823476127
"2022-09-19",-5.61173433611266,-3.53566902216403
"2022-09-20",-4.32278332164866,-2.59207035003091
"2022-09-21",-4.86074191008861,-3.02097532707974
"2022-09-22",-5.01914509401991,-3.57074904932065
"2022-09-23",-6.54464259787111,-5.23575679945818
"2022-09-26",-8.9104643235025,-6.79132529041175
"2022-09-27",-9.11066872788249,-6.85281669739789
"2022-09-28",-9.8777717612678,-7.68343335581583
"2022-09-29",-9.92282000806668,-7.99060079228349
"2022-09-30",-8.40701950210601,-6.33184836894768
"2022-10-03",-9.6422147751673,-7.37266524512435
"2022-10-04",-7.41646463497844,-5.2903268031776
"2022-10-06",-6.72536183389137,-5.03484303908103
"2022-10-07",-7.01386268626079,-5.0850980257011
"2022-10-10",-7.56302358329522,-5.41161063950002
"2022-10-11",-9.16063175029038,-6.78789837526574
"2022-10-12",-8.23469697776354,-6.00727606485114
"2022-10-13",-8.48175442107705,-6.64435407041742
"2022-10-14",-8.06934975306097,-5.52764309035926
"2022-10-17",-7.68126550874092,-4.72676819409584
