"","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"P Information Ratio",-0.09,0.25,-0.25,0.08,0.57,0.86,0.36,0.53,0.27,0.31,0.23,0.49,0.24,0.51,0.81,0.83,1.67,1.75,0.78,1.48,1.6,1.53,2.36,2.75,2.63,2.38,2.09,2.04,1.99,3.34,3.55
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.14,0.38,-0.26,0.04,0.45,0.7,0.59,0.87,0.24,0.57,-0.01,0.65,0.32,0.65,0.55,0.54,0.87,1.24,0.75,1.86,1.62,2.38,3.02,4.8,3.23,2.88,3.09,2.13,2.33,3.1,2.98
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.89,1.1,0.78,0.88,1.12,1.17,1.18,1.09,1.04,0.99,1.19,1.28,1.05,1.02,1.1,1.06,1.07,1.21,1.13,1.32,1.23,1.37,1.35,1.38,1.36,1.33,1.32,1.38,1.15,1.04,0.97
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",42.34,53.93,33.38,31.86,60.69,63.92,88.39,82.83,77.49,78.64,90.82,85.76,84.7,81.3,86.43,83.77,84.92,87.54,83.48,78.14,79.32,71.33,71.75,57.44,64.93,64.61,67.41,76.62,75.15,53.52,42.5
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-16.9269,-17.0984,-18.5548,-18.0215,-15.8655,-37.8248,-38.9116,-34.8943,-34.5513,-32.5476,-39.0855,-40.3786,-36.8581,-36.1235,-37.6409,-36.4017,-37.3212,-39.5113,-38.5944,-40.5619,-40.7673,-44.0073,-43.9645,-44.0326,-43.9764,-44.922,-45.7816,-43.1222,-36.0777,-11.9789,-11.0763
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-2.948,-3.1195,-4.5759,-4.0426,-1.8866,0.480699999999999,-0.606099999999998,3.4112,3.7542,5.7579,-0.780000000000001,-2.0731,1.4474,2.182,0.6646,1.9038,0.984300000000005,-1.2058,-0.288899999999998,-2.2564,-2.4618,-5.7018,-5.659,-5.7271,-5.6709,-6.61649999999999,-7.4761,-5.5154,-0.6252,2.3545,3.2571
