"","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"P Information Ratio",-0.16,0.71,0.86,0.16,0.41,0.13,0.21,0.06,-0.16,1.2,1.2,1.26,0.23,0.58,0.76,0.68,0.65,1,1.01,0.65,0.91,0.54,0.88,1.3,3,1.37,2.92,2.01,2.25,2.5,1.85,1.42,1.18,1.23,1.38,2.51,2.85
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.21,0.35,0.46,0.12,-0.01,0.1,0.04,0.13,-0.11,0.66,0.62,0.26,0.4,0.92,0.84,0.89,0.55,0.7,0.67,0.52,0.57,0.37,0.2,0.34,3.69,1.17,3.94,2.86,3.11,3.51,1.64,1.2,1.64,1.6,2.24,2.15,3.1
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.89,0.95,1,0.88,0.97,0.9,0.87,0.91,1.01,1.19,1.07,1.02,1.12,1.1,1.12,1.08,1.09,0.99,1.07,1.13,1.11,1.11,1.05,1.06,1.03,0.88,0.9,0.96,1.07,1.08,1.04,0.95,0.94,0.99,0.97,1.12,1.18
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",72.7,73.14,72.6,72.56,73.23,64.87,66.9,67.39,75.41,75.1,71.17,77.09,88.61,86.81,86.85,85.49,86.67,87.95,89.54,89.18,91.04,92.71,93.97,96.33,68.22,83.81,58.25,61.49,55.44,59.87,79.39,75.94,63.78,69.38,58.91,60.42,36.51
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.4972,-16.3714,-16.8956,-15.6384,-16.3296,-15.387,-15.6516,-15.2142,-16.9082,-18.862,-18.1101,-31.6052,-36.9672,-36.0179,-35.1768,-35.659,-37.4035,-35.6108,-36.7528,-38.3646,-37.6531,-37.9183,-36.2799,-35.9741,-35.097,-32.5509,-31.662,-34.332,-34.6288,-33.4961,-35.4454,-33.3296,-32.7492,-35.3652,-30.2922,-12.9503,-16.751
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-1.5183,-2.3925,-2.9167,-1.6595,-2.3507,-1.4081,-1.6727,-1.2353,-2.9293,-4.8831,-4.1312,6.7003,1.3383,2.2876,3.1287,2.6465,0.902000000000001,2.6947,1.5527,-0.0591000000000008,0.6524,0.3872,2.0256,2.3314,3.2085,5.7546,6.6435,3.9735,3.6767,4.8094,2.8601,4.9759,5.5563,2.2416,5.1603,1.3831,-2.4176
