"","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"P Information Ratio",-0.49,-0.73,-1.08,-0.57,-1.08,-1.2,-1.12,-0.91,-1.09,-0.37,-2.01,-1.42,-1.16,-0.59,-0.42,-0.09,-0.3,-0.23,-1.01,-0.68,-0.36,-0.49,0.05,-0.01,0.13,-0.16,-0.01,0.43,1.81,5.23,5.86,4.99,4.93,4.16,2.26,4.02,6.03,4.25,1.94,-0.3,-0.75,-1.89,-1.36
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.87,-1.34,-1.7,-1.26,-1.34,-1.03,-1.11,-0.27,-1.67,-0.74,-2.19,-1.26,-1.51,-0.71,-0.84,-0.8,-0.82,-0.61,-2.05,-0.52,-0.19,0.37,-0.44,1.53,0.33,-0.28,0.33,0.8,2.21,3.12,4.03,3.06,4.3,3.98,1.64,2.44,3,1.73,1.54,-0.3,-0.4,-1.2,-0.56
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.83,0.75,0.53,0.66,0.6,0.68,0.76,0.62,0.44,0.79,1.06,0.53,1.01,1.63,1.62,1.4,1.75,2.19,1.36,1.53,1.37,1.55,1.57,1.63,1.57,1.41,1.61,1.44,1.32,1.58,1.64,1.87,1.43,1.54,1.72,1.35,1.71,1.31,1.13,1.17,0.92,1.14,1.07
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",23.43,27.03,14.34,10.48,13.41,24.81,53.25,16.53,0.32,18.84,66.32,10.32,41.88,63.06,61.35,32.02,55.86,64.13,75.68,80.93,79.73,83.87,80.39,78.12,83.2,79.34,84.63,82.4,82.61,46.04,42.71,46.75,34.44,43.58,48.1,47.19,56.09,54.35,63.82,63.96,22.22,72.74,76.87
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.9412,-24.6626,-24.5312,-23.1843,-23.9511,-19.1736,-21.1078,-19.2111,-21.3311,-17.0226,-32.4816,-20.5036,-28.9065,-27.0703,-27.2848,-30.7231,-28.0258,-45.7195,-53.0902,-51.0315,-49.4667,-51.8016,-54.8511,-56.2318,-56.1257,-55.0715,-56.1213,-46.6863,-37.515,-11.0985,-10.9578,-11.8409,-12.1797,-11.9426,-10.6894,-8.0447,-8.9101,-11.0937,-11.4752,-12.3361,-23.5803,-25.3392,-22.3806
"B Max Drawdown",-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",-2.1919,-10.6837,-10.5523,-9.2054,-9.9722,-5.1947,-7.1289,-5.2322,-7.3522,-3.0437,-18.5027,-9.2261,-17.629,-15.7928,-16.0073,-19.4456,-16.7483,-7.41399999999999,-14.7847,-12.726,-11.1612,-13.4961,-16.5456,-17.9263,-17.8202,-16.766,-17.8158,-9.0795,-2.0625,-3.7514,-3.6107,-4.9391,-5.2779,-5.0408,-3.7876,-1.7072,-2.5726,-4.7562,-1.233,-2.0939,-11.0803,-11.0058,-8.0473
