"","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"P Information Ratio",-0.09,0.31,0.08,0.71,0.13,0.08,0.68,0.39,0.84,0.56,0.49,0.74,0.3,0.5,0.98,0.93,0.7,0.92,0.65,2.07,1.5,1.35,1.1,1.22,2.78,2.23,2.32,1.8,1.9,1.74,1.13,1.13,2.43,2.93
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.06,-0.11,0.08,0.35,0.24,0.06,0.24,0.23,0.06,0.33,0.75,0.81,0.61,0.35,0.88,0.66,0.5,0.69,0.52,0.74,0.67,1.01,0.97,0.98,3.44,2.91,3.2,1.32,2.34,1.52,0.9,1.2,2.83,2.99
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.92,1.13,0.98,0.96,0.99,0.96,0.98,1.05,1.09,1,1.07,1.08,1.15,1.08,1.1,1.1,1.06,1.13,1.04,1.16,1.14,0.95,0.87,0.86,1.05,1.06,1.13,0.98,1.02,0.98,0.98,0.88,1.2,1.26
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",69,82.48,74.28,69.41,68.21,70.77,70.33,70.87,79.41,85.55,82.08,86.49,89.66,88.6,90.39,88.36,88.98,89.61,87.5,90.77,93.54,84.29,83.84,85.72,67.04,60.22,62.32,84.95,56.9,83.95,89.05,79.37,38.55,40.09
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.6775,-15.8913,-17.6454,-17.5881,-17.2829,-16.5404,-16.5616,-18.2151,-34.253,-34.6752,-36.953,-36.4701,-37.5876,-35.832,-36.5017,-37.1669,-37.0946,-37.8212,-37.1184,-39.6818,-37.4433,-34.8727,-33.3486,-32.4375,-35.6559,-34.5844,-35.0295,-35.4144,-33.8959,-34.9249,-35.3275,-29.4429,-17.7413,-17.2795
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-1.6986,-1.9124,-3.6665,-3.6092,-3.304,-2.5615,-2.5827,-4.2362,4.0525,3.63030000000001,1.3525,1.8354,0.7179,2.4735,1.8038,1.1386,1.2109,0.484300000000005,1.1871,-1.3763,0.862200000000001,3.4328,4.9569,5.868,2.6496,3.7211,3.276,2.8911,4.4096,3.3806,2.2793,6.0096,-3.4079,-2.9461
