"","2 Y 2018-01-23 to 2020-01-24","2 Y 2018-02-23 to 2020-02-24","2 Y 2018-03-23 to 2020-03-24","2 Y 2018-04-23 to 2020-04-24","2 Y 2018-05-23 to 2020-05-24","2 Y 2018-06-25 to 2020-06-24","2 Y 2018-07-23 to 2020-07-24","2 Y 2018-08-23 to 2020-08-24","2 Y 2018-09-24 to 2020-09-24","2 Y 2018-10-23 to 2020-10-24","2 Y 2018-11-26 to 2020-11-24","2 Y 2018-12-24 to 2020-12-24","2 Y 2019-01-23 to 2021-01-24","2 Y 2019-02-25 to 2021-02-24","2 Y 2019-03-25 to 2021-03-24","2 Y 2019-04-23 to 2021-04-24","2 Y 2019-05-23 to 2021-05-24","2 Y 2019-06-24 to 2021-06-24","2 Y 2019-07-23 to 2021-07-24","2 Y 2019-08-23 to 2021-08-24","2 Y 2019-09-23 to 2021-09-24","2 Y 2019-10-23 to 2021-10-24","2 Y 2019-11-25 to 2021-11-24","2 Y 2019-12-23 to 2021-12-24","2 Y 2020-01-23 to 2022-01-24","2 Y 2020-02-24 to 2022-02-24","2 Y 2020-03-23 to 2022-03-24","2 Y 2020-04-23 to 2022-04-24"
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.61,0.52,0.7,0.81,1.02,1.06,1.06,1.17,1.41,1.24,1.34,1.34,1.2,1.28,1.33,1.26,1.55,1.4,1.55,1.58,1.45,1.48,1.49,1.38,1.19,1.13,1.28,1.2
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",17.23,12.13,19.4,60.41,61.22,64.07,59.99,69.69,79.94,79.5,72.83,66.59,66.1,68.43,59.7,73.56,70.08,71.84,70.01,67.72,66.96,68.99,67.32,61.6,60.06,62.36,43.76,34.82
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-18.8759,-18.0608,-34.6385,-34.5696,-33.818,-34.6621,-41.7848,-48.4428,-46.0275,-49.0922,-57.3068,-61.2459,-46.1637,-45.2804,-56.1948,-43.3424,-55.827,-48.2252,-53.903,-56.1804,-56.0157,-56.17,-53.6017,-53.9558,-51.825,-44.6553,-14.2466,-18.191
"B Max Drawdown",-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-14.3334,-14.3334
"MD DIFF(P-B)",-4.897,-4.0819,3.667,3.7359,4.4875,3.6434,-3.47929999999999,-10.1373,-7.722,-10.7867,-19.0013,-22.9404,-7.8582,-6.9749,-17.8893,-5.0369,-17.5215,-9.9197,-15.5975,-17.8749,-17.7102,-17.8645,-15.2962,-15.6503,-14.2182,-8.997,0.0867999999999984,-3.8576
