"","1 Y 2018-01-23 to 2019-01-24","1 Y 2018-02-23 to 2019-02-24","1 Y 2018-03-23 to 2019-03-24","1 Y 2018-04-23 to 2019-04-24","1 Y 2018-05-23 to 2019-05-24","1 Y 2018-06-25 to 2019-06-24","1 Y 2018-07-23 to 2019-07-24","1 Y 2018-08-23 to 2019-08-24","1 Y 2018-09-24 to 2019-09-24","1 Y 2018-10-23 to 2019-10-24","1 Y 2018-11-26 to 2019-11-24","1 Y 2018-12-24 to 2019-12-24","1 Y 2019-01-23 to 2020-01-24","1 Y 2019-02-25 to 2020-02-24","1 Y 2019-03-25 to 2020-03-24","1 Y 2019-04-23 to 2020-04-24","1 Y 2019-05-23 to 2020-05-24","1 Y 2019-06-24 to 2020-06-24","1 Y 2019-07-23 to 2020-07-24","1 Y 2019-08-23 to 2020-08-24","1 Y 2019-09-23 to 2020-09-24","1 Y 2019-10-23 to 2020-10-24","1 Y 2019-11-25 to 2020-11-24","1 Y 2019-12-23 to 2020-12-24","1 Y 2020-01-23 to 2021-01-24","1 Y 2020-02-24 to 2021-02-24","1 Y 2020-03-23 to 2021-03-24","1 Y 2020-04-23 to 2021-04-24","1 Y 2020-05-26 to 2021-05-24","1 Y 2020-06-23 to 2021-06-24","1 Y 2020-07-23 to 2021-07-24","1 Y 2020-08-24 to 2021-08-24","1 Y 2020-09-23 to 2021-09-24","1 Y 2020-10-23 to 2021-10-24","1 Y 2020-11-23 to 2021-11-24","1 Y 2020-12-23 to 2021-12-24","1 Y 2021-01-25 to 2022-01-24","1 Y 2021-02-23 to 2022-02-24","1 Y 2021-03-23 to 2022-03-24","1 Y 2021-04-23 to 2022-04-24"
"P Information Ratio",-0.16,-0.73,-0.75,-0.16,0.42,-0.37,-0.42,-0.86,-0.43,0.55,-0.28,-0.12,0.78,1.4,0.41,0.84,0.08,0.49,0.42,0.44,0.33,0.31,0.66,1.67,1.39,2.96,5.34,5.47,5.1,4.48,3.49,3.73,4.66,4.89,4.28,3.04,2.38,0.91,2,0.8
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.05,-0.39,-0.2,-0.2,0.42,-0.16,-0.07,-1.02,-0.18,-0.29,-0.06,-0.19,0.24,0.9,0.46,1.27,0.92,1.29,1.03,0.12,1.13,0.5,0.41,3.15,2.04,2.93,2.85,3.92,3.28,5.41,4.2,3.71,3.55,2.52,3.74,4.23,3.13,2.93,1.03,0.43
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.95,1,0.92,0.89,0.97,0.99,1.01,1.1,0.81,1.06,1.23,1.19,1.08,1.23,1.57,1.15,1.21,1.2,1.13,1.14,1.18,1.2,1.21,1.33,1.14,1.18,1.23,0.99,1.16,0.86,1.08,1.18,1.23,1.19,1.14,1.07,1.22,0.77,1.19,1.1
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",49.72,64.5,55.13,55.23,61.87,69.78,59.68,81.35,54.58,73.97,59.13,55.25,47.32,51.94,65.95,92.75,92.56,89.66,91.63,89.82,88.13,89.69,87.42,81.15,78.14,82.95,52.35,43.07,44.48,21.54,29.85,34.06,40.51,56.43,26.92,25.43,26.76,9.37,67.33,69.08
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.7954,-14.7387,-14.6261,-15.857,-16.3963,-16.1653,-15.822,-19.6488,-12.4011,-14.7862,-16.4598,-16.6791,-13.6274,-13.1911,-39.4797,-37.9615,-39.1968,-38.601,-38.1827,-40.5029,-41.1557,-42.6529,-42.3003,-43.0403,-40.8336,-39.1722,-8.1765,-8.9663,-8.5642,-8.8327,-15.5784,-13.7629,-12.7586,-6.5632,-13.1293,-13.137,-13.1415,-13.0625,-13.2581,-12.9763
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-10.2422,-14.3334,-14.3333
"MD DIFF(P-B)",-1.8165,-0.7598,-0.6472,-1.8781,-2.4174,-2.1864,-1.8431,-5.6699,-1.1236,-3.5087,-5.1823,-5.4016,-2.3499,-1.9136,-1.1742,0.344000000000001,-0.891300000000001,-0.295499999999997,0.122800000000005,-2.19739999999999,-2.8502,-4.3474,-3.9948,-4.7348,-3.2268,-3.5139,-0.829400000000001,-1.6192,-1.6624,-1.9309,-8.6766,-6.8611,-6.4211,-0.2257,-6.7918,-2.8948,-2.8993,-2.8203,1.0753,1.357
