"","1 Y 2018-01-23 to 2019-01-24","1 Y 2018-02-23 to 2019-02-24","1 Y 2018-03-23 to 2019-03-24","1 Y 2018-04-23 to 2019-04-24","1 Y 2018-05-23 to 2019-05-24","1 Y 2018-06-25 to 2019-06-24","1 Y 2018-07-23 to 2019-07-24","1 Y 2018-08-23 to 2019-08-24","1 Y 2018-09-24 to 2019-09-24","1 Y 2018-10-23 to 2019-10-24","1 Y 2018-11-26 to 2019-11-24","1 Y 2018-12-24 to 2019-12-24","1 Y 2019-01-23 to 2020-01-24","1 Y 2019-02-25 to 2020-02-24","1 Y 2019-03-25 to 2020-03-24","1 Y 2019-04-23 to 2020-04-24","1 Y 2019-05-23 to 2020-05-24","1 Y 2019-06-24 to 2020-06-24","1 Y 2019-07-23 to 2020-07-24","1 Y 2019-08-23 to 2020-08-24","1 Y 2019-09-23 to 2020-09-24","1 Y 2019-10-23 to 2020-10-24","1 Y 2019-11-25 to 2020-11-24","1 Y 2019-12-23 to 2020-12-24","1 Y 2020-01-23 to 2021-01-24","1 Y 2020-02-24 to 2021-02-24","1 Y 2020-03-23 to 2021-03-24","1 Y 2020-04-23 to 2021-04-24","1 Y 2020-05-26 to 2021-05-24","1 Y 2020-06-23 to 2021-06-24","1 Y 2020-07-23 to 2021-07-24","1 Y 2020-08-24 to 2021-08-24","1 Y 2020-09-23 to 2021-09-24","1 Y 2020-10-23 to 2021-10-24","1 Y 2020-11-23 to 2021-11-24","1 Y 2020-12-23 to 2021-12-24","1 Y 2021-01-25 to 2022-01-24","1 Y 2021-02-23 to 2022-02-24","1 Y 2021-03-23 to 2022-03-24","1 Y 2021-04-23 to 2022-04-24"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.12,1.24,1.28,1.16,1.04,1.05,1.19,1.1,0.95,0.92,0.98,1.01,1.08,0.78,0.97,1,1.06,1.07,1.08,1.08,1.07,1.05,0.97,0.93,1.06,0.97,1.37,1.03,0.65,0.86,1.06,1,1.07,1.12,0.55,0.6,0.42,0.28,0.62,0.65
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",85.11,75.95,78.13,80.61,73.95,73.12,81.43,77.32,76.52,75.91,77.14,77.54,84.79,58.56,63.17,88.96,90.01,93.21,91.43,91.59,92.28,89.84,92.97,93.51,97.81,93.67,85.67,48.55,8.4,33.74,39.79,48.25,47.12,22.17,25.94,38.48,23.94,-0.58,51.78,70.9
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-18.2733,-19.0816,-19.2645,-18.909,-17.9424,-17.728,-17.9207,-17.2178,-10.1424,-10.5383,-10.1093,-8.9019,-11.0821,-10.2735,-34.7898,-36.2559,-34.7474,-35.6851,-36.6247,-36.7236,-35.1277,-34.4217,-33.1636,-32.1496,-34.5541,-30.0117,-7.835,-7.8538,-7.7899,-6.8941,-8.7447,-8.2694,-8.2473,-15.5687,-7.2571,-10.8149,-10.2247,-13.4962,-14.0575,-13.9319
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-10.2422,-14.3334,-14.3333
"MD DIFF(P-B)",-4.2944,-5.1027,-5.2856,-4.9301,-3.9635,-3.7491,-3.9418,-3.2389,1.1351,0.7392,1.1682,2.3756,0.195399999999999,1.004,3.5157,2.04960000000001,3.5581,2.6204,1.6808,1.5819,3.1778,3.8838,5.1419,6.1559,3.0527,5.6466,-0.4879,-0.506699999999999,-0.888100000000001,0.00769999999999982,-1.8429,-1.3676,-1.9098,-9.2312,-0.9196,-0.572699999999999,0.0175000000000001,-3.254,0.2759,0.401399999999999
