"","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"P Information Ratio",-0.01,0.23,-0.17,0.24,0.59,0.85,0.41,0.54,0.37,0.32,0.33,0.59,0.38,0.52,0.82,0.91,1.79,1.82,1.19,1.67,1.75,1.69,2.33,2.68,2.56,2.41,2.11,2.1,2.21,3.49,3.88
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.11,0.32,-0.15,0.12,0.39,0.55,0.48,0.8,0.35,0.56,0.08,0.62,0.37,0.56,0.52,0.54,0.79,1.14,1,1.73,1.61,2.16,2.59,4.16,2.8,2.52,2.72,1.96,2.4,2.98,2.92
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.92,1.07,0.86,0.94,1.11,1.14,1.12,1.09,1.05,1.02,1.14,1.18,1.07,1.05,1.11,1.08,1.08,1.18,1.11,1.23,1.17,1.27,1.28,1.31,1.29,1.26,1.24,1.28,1.12,1.07,1.03
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",51.63,58.78,46.95,47.24,66.32,67.49,88.64,85.41,82.31,83.43,90.78,87.61,87.99,85.5,88.75,87.52,88.2,89.62,85.46,81.49,81.91,76.01,75.51,61.91,68.98,69.26,71.41,78.36,77,56.96,49.37
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-16.5985,-16.0404,-15.1679,-14.0347,-15.982,-36.9693,-37.7726,-35.2584,-35.0336,-33.6521,-37.9477,-38.6919,-37.0029,-36.4707,-37.5216,-36.7987,-37.3323,-38.7044,-38.0079,-39.1401,-39.4351,-41.6984,-42.0086,-42.1258,-42.1463,-42.4558,-43.0635,-41.2384,-35.2475,-11.8047,-11.2349
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-2.6196,-2.0615,-1.189,-0.0558000000000014,-2.0031,1.33620000000001,0.532900000000005,3.0471,3.2719,4.6534,0.357800000000005,-0.386399999999995,1.30260000000001,1.8348,0.783900000000003,1.50680000000001,0.973200000000006,-0.398899999999998,0.297600000000003,-0.834599999999995,-1.1296,-3.3929,-3.7031,-3.8203,-3.84079999999999,-4.1503,-4.758,-3.6316,0.204999999999998,2.5287,3.0985
