"","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.07,1.03,0.79,0.87,1.04,1.06,1.02,0.98,0.89,1.08,1.07,0.78,0.92,1.18,1.22,1.15,1.14,1.53,1.11,1.22,1.19,1.24,1.24,1.32,1.28,1.22,1.31,1.31,1.18,1.25,1.05,1.16,0.88,1.09,1.22,1.11,1.44,1.26,1.11,0.89,0.74,1.17,1.08
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",51.27,50.9,45,43.41,67.55,68.61,73.12,61.04,53.58,59.52,81.99,50.08,62.15,57.27,61.06,55.18,52.7,72.46,90.15,92.03,91.07,90.72,86.56,75.55,77.67,78.47,83.57,86.24,85.77,58.93,40.66,44.48,23.4,51.48,53.58,56.64,56.22,28.89,24.29,23.76,3.98,59.18,71.03
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-16.5985,-16.0404,-15.1679,-13.8189,-15.982,-16.1463,-16.5468,-17.6342,-16.743,-16.8418,-19.5045,-12.6236,-14.6715,-13.0248,-13.7338,-15.3504,-13.3608,-38.7044,-38.0079,-39.1401,-39.4351,-41.6984,-42.0086,-42.1258,-42.1463,-42.4558,-43.0635,-41.2384,-35.2475,-8.3586,-8.607,-8.5642,-8.8202,-8.8072,-8.6846,-6.5023,-9.9324,-12.4753,-11.8889,-10.6267,-12.1562,-12.5958,-12.0685
"B Max Drawdown",-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",-2.8492,-2.0615,-1.189,0.16,-2.0031,-2.1674,-2.5679,-3.6553,-2.7641,-2.8629,-5.5256,-1.3461,-3.394,-1.7473,-2.4563,-4.0729,-2.0833,-0.398899999999998,0.297600000000003,-0.834599999999995,-1.1296,-3.3929,-3.7031,-3.8203,-3.84079999999999,-4.1503,-4.758,-3.6316,0.204999999999998,-1.0115,-1.2599,-1.6624,-1.9184,-1.9054,-1.7828,-0.1648,-3.5949,-6.1378,-1.6467,-0.384499999999999,0.3438,1.7376,2.2648
