"","2 Y 2018-01-23 to 2020-01-24","2 Y 2018-02-23 to 2020-02-24","2 Y 2018-03-23 to 2020-03-24","2 Y 2018-04-23 to 2020-04-24","2 Y 2018-05-23 to 2020-05-24","2 Y 2018-06-25 to 2020-06-24","2 Y 2018-07-23 to 2020-07-24","2 Y 2018-08-23 to 2020-08-24","2 Y 2018-09-24 to 2020-09-24","2 Y 2018-10-23 to 2020-10-24","2 Y 2018-11-26 to 2020-11-24","2 Y 2018-12-24 to 2020-12-24","2 Y 2019-01-23 to 2021-01-24","2 Y 2019-02-25 to 2021-02-24","2 Y 2019-03-25 to 2021-03-24","2 Y 2019-04-23 to 2021-04-24","2 Y 2019-05-23 to 2021-05-24","2 Y 2019-06-24 to 2021-06-24","2 Y 2019-07-23 to 2021-07-24","2 Y 2019-08-23 to 2021-08-24","2 Y 2019-09-23 to 2021-09-24","2 Y 2019-10-23 to 2021-10-24","2 Y 2019-11-25 to 2021-11-24","2 Y 2019-12-23 to 2021-12-24","2 Y 2020-01-23 to 2022-01-24","2 Y 2020-02-24 to 2022-02-24","2 Y 2020-03-23 to 2022-03-24","2 Y 2020-04-23 to 2022-04-24"
"P Information Ratio",1,0.9,1.06,0.37,0.36,0.31,0.09,0.45,0.3,0.5,0.84,0.81,0.54,0.97,1.18,1.47,1.8,1.63,1.97,2.08,1.55,0.34,0.95,0.81,0.85,0.61,2.42,3.02
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.33,0.41,0.43,0.09,0.41,0.45,0.35,0.31,0.61,0.51,0.48,0.6,0.44,0.16,0.49,1.27,1.21,1.49,2.03,1.75,1.36,0.44,0.65,0.81,0.74,1.04,1.77,1.96
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.09,1.17,1.11,0.97,0.98,0.98,1.07,0.94,0.93,1.02,0.99,1,1.17,1.08,1,1.02,0.96,0.99,1.05,1.08,1.04,0.98,0.9,0.87,0.99,0.91,1.11,1.11
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",81.61,75.78,71.95,89.33,85.38,85.35,89.72,81.56,85.29,88.46,88.01,88.02,93.63,92.43,93.39,82.24,84.33,84.3,76.48,79.79,84.53,82.39,86.67,85.49,88.23,87.28,65.89,59.24
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-18.2733,-19.0816,-32.2417,-33.8885,-34.356,-34.3286,-36.3431,-33.966,-34.7191,-35.1588,-34.4817,-33.8961,-38.5785,-37.1617,-34.7898,-36.2559,-34.7474,-35.6851,-36.6247,-36.7236,-35.1277,-34.4217,-33.1636,-32.1496,-34.5541,-30.0117,-12.5403,-11.1748
"B Max Drawdown",-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-14.3334,-14.3334
"MD DIFF(P-B)",-4.2944,-5.1027,6.0638,4.417,3.9495,3.9769,1.9624,4.3395,3.5864,3.1467,3.82380000000001,4.40940000000001,-0.272999999999996,1.1438,3.5157,2.04960000000001,3.5581,2.6204,1.6808,1.5819,3.1778,3.8838,5.1419,6.1559,3.0527,5.6466,1.7931,3.1586
