"","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"P Information Ratio",0.6,0.74,0.74,0.36,1.63,0.96,0.52,0.4,0.37,-0.05,0.37,-0.25,0.63,0.88,0.6,0.55,0.67,0.88,0.92,0.72,1.78,1.63,1.8,3.64,1.96,1.27,1.59,1.11,1.34,1.28,2.43,2.75,2.19,2.26,2.71,2.22,2.26,1.74,0.95,0.86
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.83,1.01,1.14,0.64,1.15,0.89,0.84,0.14,0.35,-0.07,0.73,-0.47,0.79,1.29,0.94,0.96,0.67,0.72,0.93,0.82,1.61,1.48,1.75,6.86,2.15,1.46,1.31,1.6,2.47,2.59,5.44,5.14,4.55,3.98,3.33,4.03,3.25,2.93,2.52,1.86
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.16,1.41,1.38,1.38,1.28,1.4,1.49,1.37,1.22,1.04,1.36,1.11,1.17,1.27,1.39,1.1,0.78,0.99,0.92,0.94,0.85,0.84,1.11,1.08,0.87,0.74,1,1.45,1.26,1.19,1.15,1.25,0.98,1.09,0.95,0.98,1.23,1.31,0.75,0.48
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",40.88,43.28,39.21,49.18,59.19,57.95,57.29,63.96,52.71,42.15,45.38,54.74,35.68,39.68,47.46,68.6,75.55,84.43,82.94,83.04,76.55,78.84,80.03,42.59,69.87,62.3,79.56,79.02,57.75,58.84,39.59,40.92,32.98,47.52,47.64,42.93,54.26,61.16,21.76,6.25
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-19.3955,-24.519,-23.9123,-21.6755,-20.8009,-22.5854,-22.9453,-23.6677,-23.4502,-20.2959,-19.0049,-22.844,-16.343,-16.7917,-40.771,-37.2711,-28.3673,-33.1875,-30.3508,-30.8403,-31.6186,-30.8764,-33.868,-33.5982,-30.8425,-31.4503,-35.9443,-44.3061,-42.38,-39.5983,-36.344,-37.8198,-31.0399,-34.9547,-32.2071,-33.8043,-38.6465,-39.0366,-14.4235,-19.8135
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-5.4166,-10.5401,-9.9334,-7.6966,-6.822,-8.6065,-8.9664,-9.6888,-9.4713,-6.317,-5.026,-8.8651,-2.3641,-2.8128,-2.4655,1.03440000000001,9.9382,5.118,7.9547,7.4652,6.6869,7.4291,4.4375,4.7073,7.463,6.8552,2.3612,-6.0006,-4.0745,-1.2928,1.9615,0.485700000000001,7.2656,3.3508,6.09840000000001,4.5012,-1.0397,-3.5841,-0.0901000000000014,-5.4801
