"","2 Y 2016-10-24 to 2018-10-25","2 Y 2016-11-24 to 2018-11-25","2 Y 2016-12-26 to 2018-12-25","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"P Information Ratio",1.6,1.25,1.52,1.08,0.54,-0.13,-0.24,-0.04,-0.69,-0.13,0.01,-0.14,-0.48,0.4,1.03,1.79,-0.01,-0.25,0.11,0.33,0.84,0.31,0.26,2.18,0.64,0.77,0.73,0.95,2.98,3.16,2.69,2.73,1.44,1.92,1.63,2.42,2.4,2.88,2.9,1.93,2.18,3.36,2.86
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.66,1.3,1.34,1.26,0.62,0.11,-0.2,-0.1,-0.81,0.02,-0.19,-0.21,-0.85,0.39,0.89,1.11,-0.11,-0.39,0.61,1.01,0.87,0.67,-0.01,2.67,0.78,0.63,0.63,0.84,4.58,4.9,4.31,4.09,1.67,3.83,2.16,4.23,2.87,3.27,3.46,1.79,2.59,3.63,2.42
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.22,1.38,1.27,1.04,1.16,0.98,1.12,0.99,1.14,1.26,0.9,1.11,0.94,1.05,1.04,1.13,1.17,1.3,1.29,1.2,1.09,1.22,1.08,1.18,1.23,1.22,1.16,1.21,1.18,1.23,1.15,1.23,1.31,1.23,1.07,1.1,1.28,1.31,1.09,1.02,1.04,1.29,1.06
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",76.88,57.02,57.45,45.31,47.87,64.38,50.72,39.04,55.19,56.94,47.38,59.17,39.76,55.32,59.27,72.56,64.24,69.28,82.94,83.5,83.68,86.53,82.96,70.69,85.46,86.8,82.55,88.98,51.79,54.7,59.7,58.51,81.47,53.25,62.61,47.9,63.88,65.81,68.63,71.8,72.06,42.87,44
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.2497,-20.4373,-19.7848,-17.0829,-19.6904,-15.5906,-18.5533,-17.9013,-23.7826,-20.4436,-15.5192,-18.29,-21.5835,-15.9934,-15.6675,-17.926,-19.0164,-42.004,-40.9857,-39.2414,-36.0145,-37.5693,-37.1254,-38.2861,-39.5342,-41.5733,-37.5075,-40.0053,-38.5197,-39.1762,-37.0845,-38.8781,-43.1247,-40.0525,-40.5099,-37.6031,-43.113,-40.3369,-37.9737,-36.6553,-34.3933,-19.729,-11.2197
"B Max Drawdown",-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-1.5004,-6.4584,-5.8059,-3.104,-5.7115,-1.6117,-4.5744,-3.9224,-9.8037,-6.4647,-1.5403,-4.3111,-7.6046,-2.0145,-1.6886,-3.9471,-5.0375,-3.6985,-2.6802,-0.935899999999997,2.291,0.736200000000004,1.1801,0.0194000000000045,-1.2287,-3.2678,0.798000000000002,-1.6998,-0.214199999999998,-0.870699999999999,1.221,-0.572600000000001,-4.8192,-1.747,-2.2044,0.702400000000004,-4.8075,-2.0314,0.331800000000001,0.951500000000003,1.0592,-5.3956,3.1137
