"","1 Y 2016-10-24 to 2017-10-25","1 Y 2016-11-24 to 2017-11-25","1 Y 2016-12-26 to 2017-12-25","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"P Information Ratio",2.57,4.17,5.37,2.47,1.29,-0.44,-0.51,-0.6,-0.79,-0.26,0.12,0.08,-0.41,0.24,0.49,0.79,-1.77,-1.64,-0.24,0.2,-0.05,-0.52,-0.84,-0.29,0.48,0.43,0.12,1.48,3.06,1.92,2.23,1.57,0.08,1.25,0.34,3.14,1.61,2.96,2.55,1.99,3.28,5.83,3.63,5.07,3.72,1.89,2.83,3.53,4.62,5.09,1.64,2.53,1.85,0.94,1.1
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.89,2.15,1.65,2.13,1.18,0.57,-0.03,-0.12,-1.35,-0.38,-0.09,-0.28,-1.11,0.56,0.64,0.85,-1.46,-0.94,-0.31,0.4,-0.22,-0.02,-1.25,0.26,-0.22,0.42,-0.11,0.66,2.96,2.45,2.26,3.05,0.66,3.59,0.05,4.56,3.55,3.76,3.51,2.13,2.95,2.45,2.64,3.71,5.33,3.56,2.34,2.59,4.32,4.01,2.58,3.64,3.85,0.68,0.81
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.88,1.33,1.27,0.87,0.95,0.78,1.11,0.97,1.2,1.17,0.76,1.27,1.27,1.06,0.97,1.15,1.04,1.17,1.14,1.05,1.02,0.99,0.91,0.89,0.89,1.26,1.29,1.35,1.14,1.63,1.08,1.26,1.36,1.3,1.05,1.1,1.23,1.28,1.14,1.04,1.09,1.49,1.31,1.26,1.02,0.85,1.29,0.95,1.05,0.98,1.31,1.18,0.72,1.09,1.05
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",79.69,72.11,66.19,36.31,22.75,64.97,50.46,46.82,46.55,44.62,28.06,65.18,48.88,55.16,53.41,77.2,70.63,77.63,61.35,54.19,66.88,54.73,56.19,55.37,63.43,56.74,44.66,69.3,39.52,59.27,87.79,86.95,94.79,80.96,81.1,70.18,70.83,80.94,80.91,84.33,85.02,53.06,48.72,40.62,18.84,11.64,46.02,51.29,26.43,25.79,24.41,22.6,1.23,38.27,63.7
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-7.35,-8.1586,-6.7686,-6.7189,-9.9366,-12.0194,-14.4482,-17.2832,-18.8783,-17.4284,-11.2778,-14.9661,-20.229,-15.9934,-15.6675,-17.926,-19.0164,-21.4643,-18.714,-17.5772,-18.8925,-17.3838,-19.6871,-13.5022,-13.8459,-14.7703,-16.545,-14.6083,-11.0027,-39.1762,-37.0845,-38.8781,-43.1247,-40.0525,-40.5099,-37.6031,-43.113,-40.3369,-37.9737,-36.6553,-34.3933,-8.0318,-9.8299,-9.0602,-9.7128,-15.9203,-11.5638,-6.38,-14.8103,-13.425,-16.1324,-15.6207,-13.5625,-12.9321,-10.1521
"B Max Drawdown",-10.1571,-4.7705,-4.4894,-4.4894,-6.9982,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",2.8071,-3.3881,-2.2792,-2.2295,-2.9384,-2.6511,-5.0799,-7.9149,-9.51,-8.0601,-1.9095,-5.5978,-6.4797,-2.0145,-1.6886,-3.9471,-5.0375,-7.4854,-4.7351,-3.5983,-4.9136,-3.4049,-5.7082,-2.2247,-2.5684,-3.4928,-5.2675,-3.3308,0.274799999999999,-0.870699999999999,1.221,-0.572600000000001,-4.8192,-1.747,-2.2044,0.702400000000004,-4.8075,-2.0314,0.331800000000001,0.951500000000003,1.0592,-0.6847,-2.4828,-2.1584,-2.811,-9.0185,-4.662,-0.0424999999999995,-8.4728,-7.0875,-5.8902,-5.3785,-1.0625,1.4013,4.1812
