"","1 Y 2016-10-24 to 2017-10-25","1 Y 2016-11-24 to 2017-11-25","1 Y 2016-12-26 to 2017-12-25","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.34,1.25,1.29,1.02,0.96,1.07,1.3,1.11,1.18,0.91,1.02,0.97,1.04,1.31,1.09,1.23,1.07,1.21,0.98,1.12,1.1,1.04,0.97,0.74,0.45,0.8,0.94,1.22,0.81,1.34,1.33,1.43,1.45,1.15,0.64,0.76,1,1.38,1.3,1.38,1.33,0.63,0.24,0.49,0.8,1.47,1.83,0.99,1.08,1.02,2.05,1.71,0.7,1.35,1.25
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",67,57.03,39.76,14.78,33.66,53.99,61.59,58.12,50.42,20.81,52.11,51.96,32.46,37.97,33.8,63.18,45.75,57.95,60.47,72.23,72.2,51.09,34.53,36.91,12.15,26.22,25.85,58.89,49.15,63.11,80.77,83.73,92.66,75.36,72.8,51.54,53.76,69.07,69.71,72.37,82.96,10.63,-6.01,5.97,2.87,17.19,40.71,31.63,8.56,6.59,23.75,16.08,-5.75,31.82,45.27
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-10.7821,-8.2047,-8.1625,-8.502,-9.6572,-14.2351,-11.9565,-13.1364,-15.7467,-13.7557,-12.9452,-10.9382,-17.8468,-16.5074,-17.2661,-15.6075,-20.4921,-19.1439,-17.9271,-18.1836,-17.391,-18.4832,-18.2553,-11.5606,-10.8121,-7.6754,-8.7142,-10.7062,-9.242,-45.8668,-41.7327,-39.3055,-44.3122,-33.9285,-28.9365,-28.8118,-35.7567,-42.3239,-40.9983,-42.7337,-36.1463,-7.7237,-7.389,-8.0256,-13.064,-22.9585,-15.4784,-9.3064,-21.2371,-20.4503,-23.9271,-23.5226,-22.1485,-19.8358,-16.2494
"B Max Drawdown",-10.1571,-4.7705,-4.4894,-4.4894,-6.9982,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",-0.625,-3.4342,-3.6731,-4.0126,-2.659,-4.8668,-2.5882,-3.7681,-6.3784,-4.3874,-3.5769,-1.5699,-4.0975,-2.5285,-3.2872,-1.6286,-6.5132,-5.165,-3.9482,-4.2047,-3.4121,-4.5043,-4.2764,-0.283100000000001,0.465400000000001,3.6021,2.5633,0.571299999999999,2.0355,-7.5613,-3.4272,-1,-6.0067,4.377,9.369,9.4937,2.5488,-4.0184,-2.6928,-5.1269,-0.693799999999996,-0.3766,-0.0419,-1.1238,-6.1622,-16.0567,-8.5766,-2.9689,-14.8996,-14.1128,-13.6849,-13.2804,-9.6485,-5.5024,-1.9161
