"","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"P Information Ratio",0.68,1.7,0.68,-0.23,0.26,0.02,-0.37,0.03,-0.41,-0.35,-0.14,-0.9,-0.39,-0.13,-0.98,-0.93,-0.56,-1,-1.28,-0.96,-0.39,0.71,0.16,1.82,2.6,2.15,1.45,0.16,0.42,1.43,2.06,2.34,3.15,1.8,2.65,1.76,1.4,2.71,5.37,4.17,4.72,3.67,3.54,2.89,2.94,3.05,2.93,2.18,2.39,1.27,1.55,1.07
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.11,0.93,1.31,0.14,0.37,-0.4,-0.3,-0.26,-0.14,-0.95,0.1,-1.09,-0.32,-0.02,-0.41,-0.84,-0.47,-0.65,-0.63,-0.8,0.02,-0.02,0.35,1.6,2.26,2.52,1.9,0.95,1.53,1.55,3.55,2.86,3.86,3.28,2.81,2.5,1.79,2.22,2.61,3.24,2.91,3.13,3.57,1.91,2.49,2.91,2.53,3.29,3.13,2.69,0.71,0.74
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.99,1.01,0.88,0.89,0.98,1.04,1.06,0.84,0.98,1.27,1.08,0.76,0.96,1.13,1.01,1.03,1.09,1.08,1.04,1.22,0.7,0.98,1.01,1.23,1.05,1.03,1.74,1.22,1.28,1.14,1.15,1.27,1.16,1.21,1.1,1.14,1.16,1.21,1.27,1.2,1.23,1.1,1.17,1.22,1.3,1.08,1.1,0.73,1.1,0.76,1.1,0.95
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",38.46,37.6,36.68,39.73,59.31,54.57,42.74,35.53,41.61,60.12,45.81,42.64,47.57,72.71,60.28,66.23,78.04,80.96,76.7,86.16,51.03,63.39,49.97,48.71,30.82,31.79,54.02,90.2,92.21,90.86,85.99,83.74,81.33,79.24,80.55,82.65,85.8,87.33,59.43,45.56,50.94,44.65,39.05,54.22,39.29,28.36,22.01,15.31,23.21,6.15,64.94,71.91
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-5.3501,-8.108,-12.2383,-12.1743,-10.6604,-11.8469,-14.1068,-13.072,-13.6597,-15.5687,-16.0349,-17.938,-15.0182,-17.6323,-16.6106,-18.2036,-19.8183,-19.7756,-17.5302,-19.8016,-10.693,-10.9626,-10.4081,-10.299,-10.0397,-12.6669,-37.6798,-41.1645,-40.0636,-38.1857,-37.1677,-41.0796,-38.1523,-41.5127,-38.6778,-39.7557,-39.3675,-36.5607,-8.2999,-8.6626,-9.0781,-9.0226,-12.0978,-8.4988,-15.0322,-14.0854,-15.1697,-10.9217,-14.1937,-11.7954,-11.7441,-11.2481
"B Max Drawdown",-4.4894,-6.9982,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",-0.8607,-1.1098,-2.87,-2.806,-1.2921,-2.4786,-4.7385,-3.7037,-4.2914,-1.8194,-2.056,-3.9591,-1.0393,-3.6534,-2.6317,-4.2247,-5.8394,-5.7967,-3.5513,-5.8227,0.5845,0.3149,0.869400000000001,0.9785,1.2378,-1.3894,0.625700000000002,-2.85899999999999,-1.7581,0.119800000000005,1.1378,-2.7741,0.153200000000005,-3.2072,-0.372299999999996,-1.4502,-1.7607,-1.1082,-0.952799999999999,-1.3155,-2.1763,-2.1208,-5.196,-1.597,-8.6947,-7.7479,-8.8322,-0.679499999999999,-3.9515,0.704599999999999,2.5893,3.0852
