"","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"P Information Ratio",-0.93,-0.95,-0.76,-0.56,-0.33,-0.52,-0.49,-0.57,-0.71,-0.52,-1.16,-0.25,-0.32,-0.32,-0.73,-0.79,-0.6,-0.26,-0.57,-0.72,-0.22,0.53,0.37,0.31,0.18,2.69,0.68,2.12,1.3,1.11,1.79,1.55,1.4,1.26,1.57,3.79,3.05
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-1.31,-0.83,-0.81,-0.4,-0.62,-0.37,-0.83,-0.64,-0.8,-0.74,-1.03,-0.67,-0.88,-0.6,-0.59,-0.74,-0.74,0.09,-0.63,-1.2,-0.36,0.15,0.33,0.71,0.48,6.48,1.25,4.05,2.29,1.94,1.43,1.77,2.32,2.02,2.96,4.38,3.16
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.78,0.77,0.69,0.74,0.64,0.87,0.7,0.85,0.54,0.72,0.97,0.88,0.9,1.19,1.18,1.31,1.26,1.34,1.33,1.41,1.43,1.35,1.18,1.16,1.05,1.19,1.76,1.33,1.52,1.39,1.44,1.32,1.3,1.33,1.24,1.53,1.46
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",25.29,27.44,19.17,15.27,14.21,29.37,19,28.66,13.77,22.54,50.61,25.1,73.6,71.38,76.47,75.91,83.52,78.46,79.25,76.84,79.18,82.58,63.42,61.38,64.35,29.14,74.19,57.98,69.71,67.25,69.93,69.1,67.39,66.6,61.37,37.64,38.87
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-24.2773,-20.2627,-23.6764,-23.7726,-26.644,-24.5368,-24.5419,-30.6737,-24.8515,-26.2345,-28.3546,-39.7392,-40.5567,-48.5782,-50.6256,-54.5852,-49.3779,-44.5627,-49.4652,-56.715,-49.4696,-46.0328,-46.5468,-43.3618,-44.0261,-44.3206,-57.6086,-45.704,-54.3583,-54.1304,-52.0024,-49.8245,-51.6324,-48.6374,-42.6986,-24.1402,-13.0418
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-10.2984,-6.2838,-9.6975,-9.7937,-12.6651,-10.5579,-10.563,-16.6948,-10.8726,-12.2556,-14.3757,-1.43369999999999,-2.2512,-10.2727,-12.3201,-16.2797,-11.0724,-6.2572,-11.1597,-18.4095,-11.1641,-7.7273,-8.2413,-5.0563,-5.7206,-6.0151,-19.3031,-7.3985,-16.0528,-15.8249,-13.6969,-11.519,-13.3269,-11.0306,-7.2461,-9.8068,1.2916
