"","1 Y 2016-10-24 to 2017-10-25","1 Y 2016-11-24 to 2017-11-25","1 Y 2016-12-26 to 2017-12-25","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"P Information Ratio",2.18,-1.68,-1.08,-1.5,1.74,1.25,1.11,1.6,1.75,0.7,0.84,0.3,0.25,-0.31,-0.8,-0.45,0.46,-0.21,-0.83,-0.68,-0.39,0.15,0.68,0.43,2.38,0.73,1.73,2.65,1.4,1.51,1.02,1.29,3.92,1.89,3.4,1.09,1.29,0.73,0.92,0.72,2.04,4.16,4.64,4.24,4.09,4.58,2.85,2.5,1.66,1.39,2.35,0.96,-0.16,1.59,0.14
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.13,0,-0.53,-0.25,0.46,1.44,0.81,1.09,1.13,0.81,0.23,0.62,0.17,-0.29,-0.89,-0.21,0.61,0.25,-0.54,-0.46,-0.29,-0.16,0.1,0.63,0.4,0.56,1.16,1.61,0.98,0.84,0.99,1.85,3.77,1.84,3.19,1.4,1.38,0.54,0.76,0.86,1.15,0.74,6.37,5.74,4.06,4.03,3.05,2.95,0.78,1.3,3.17,1.69,0.98,0.58,0.61
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.91,0.69,0.94,1.06,0.95,0.93,0.75,0.94,0.86,0.87,1.14,0.86,1.06,0.94,0.94,0.96,1.17,1.06,0.94,0.99,1.02,1.17,1.19,0.8,0.97,0.98,1.01,0.88,0.93,1.26,1.02,1.03,1,1.02,1.17,1.2,1.07,0.96,1.12,1.15,1.08,1.24,0.66,0.63,0.74,1.18,0.91,1.29,1.23,0.83,0.47,0.55,0.41,0.8,0.76
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",53.33,61.58,59.78,62.68,60.45,38.14,46.56,60.66,57.67,58.53,72.43,47.64,66.68,57.34,67.9,65.58,71.14,67.59,73.15,81.44,71.76,87.03,88.54,62.86,73.08,64.17,60.72,39.63,51.3,66.58,88.01,87.48,81.07,93.32,86.68,94.05,92.98,91.89,94.82,91.98,89.71,84.25,7.16,7.75,37.29,45.27,29.6,30.74,54.75,27.82,26.09,30.25,5.04,80.75,60.1
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-10.885,-5.475,-4.982,-5.1627,-5.5466,-8.8495,-6.9099,-7.5163,-8.1893,-6.9752,-9.747,-9.3256,-18.5276,-17.8905,-18.2035,-17.2227,-16.9253,-15.3841,-16.0308,-17.0918,-16.2707,-17.0157,-18.3717,-8.8305,-8.9468,-9.4475,-8.2297,-7.9906,-11.1588,-34.7292,-36.4007,-35.1798,-33.0455,-35.8282,-37.2961,-38.7425,-35.2847,-35.6299,-37.7481,-38.236,-33.0465,-8.1813,-8.8306,-7.7809,-7.442,-9.1343,-11.0928,-14.194,-8.5295,-9.3946,-9.3199,-8.0801,-19.5379,-14.1293,-16.8967
"B Max Drawdown",-10.1571,-4.7705,-4.4894,-4.4894,-6.9982,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",-0.7279,-0.704499999999999,-0.4926,-0.6733,1.4516,0.518799999999999,2.4584,1.852,1.179,2.3931,-0.3787,0.0427,-4.7783,-3.9116,-4.2246,-3.2438,-2.9464,-1.4052,-2.0519,-3.1129,-2.2918,-3.0368,-4.3928,2.447,2.3307,1.83,3.0478,3.2869,0.1187,3.5763,1.9048,3.1257,5.26000000000001,2.4773,1.0094,-0.436999999999998,3.0208,2.6756,0.557400000000001,-0.629199999999997,2.406,-0.8342,-1.4835,-0.8791,-0.5402,-2.2325,-4.191,-7.8565,-2.192,-3.0571,0.9223,2.1621,-7.0379,0.204099999999999,-2.5634
