"","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"P Information Ratio",-0.59,-0.08,-0.76,-0.47,-0.41,0.04,0.35,-0.04,-0.71,-0.39,-1.44,-0.64,-0.24,-0.02,0.34,0.52,0.99,0.83,0.09,-0.18,0.18,-0.09,0.89,2.62,2.02,2.36,1.69,1.22,2.02,4.85,4.81,4.18,4.39,4.23,3.74,5.33,5.41,3.73,2.36,2.12,1.11,1.67,1.75
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-1.05,0.08,-0.97,-0.61,-0.22,0.44,0.2,0.34,-0.74,-0.37,-1.3,-0.18,-0.57,0.27,0.22,-0.16,0.63,0.93,0.43,0.93,0.66,0.94,0.68,5.6,4.53,3.54,3.7,2.22,2.41,2.95,3.69,2.55,5.58,3.13,2.64,2.96,2.33,2.81,3.77,3,2.79,1.11,1.11
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.05,1.06,0.7,0.78,1,1.05,1.03,0.97,0.82,1.08,1.06,0.74,0.9,1.22,1.28,1.21,1.23,1.68,1.14,1.27,1.21,1.31,1.3,1.41,1.35,1.29,1.41,1.42,1.23,1.2,1.11,1.29,0.89,1.1,1.27,1.09,1.58,1.45,1.24,0.92,0.84,1.3,1.19
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",41.73,44.69,30.65,25.01,58.4,63.55,71.71,52.35,38.65,48.55,77.89,37.99,51.7,51,56.89,49.74,49.22,72.5,87.73,90.41,90.05,88.15,83.8,70.69,72.98,73.07,79.71,84.03,83.07,52.11,42.11,47.84,20.35,55.59,55.42,60.41,60.68,28.22,21.5,21.05,2.67,53.23,67.42
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-16.9269,-17.0984,-18.4213,-18.0215,-15.8655,-15.9558,-16.4718,-18.0418,-16.8409,-17.1087,-22.0211,-13.9461,-16.7426,-13.9691,-14.9298,-17.4771,-14.7331,-39.5113,-38.5944,-40.5619,-40.7673,-44.0073,-43.9645,-44.0326,-43.9764,-44.922,-45.7816,-43.1222,-36.0777,-8.4907,-8.7189,-8.7514,-9.2947,-9.4129,-7.7136,-6.751,-9.6179,-14.2267,-13.5126,-11.8274,-13.0735,-12.5836,-11.8008
"B Max Drawdown",-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",-3.1776,-3.1195,-4.4424,-4.0426,-1.8866,-1.9769,-2.4929,-4.0629,-2.862,-3.1298,-8.0422,-2.6686,-5.4651,-2.6916,-3.6523,-6.1996,-3.4556,-1.2058,-0.288899999999998,-2.2564,-2.4618,-5.7018,-5.659,-5.7271,-5.6709,-6.61649999999999,-7.4761,-5.5154,-0.6252,-1.1436,-1.3718,-1.8496,-2.3929,-2.5111,-0.8118,-0.4135,-3.2804,-7.8892,-3.2704,-1.5852,-0.573499999999999,1.7498,2.5325
