"","1 Y 2016-10-24 to 2017-10-25","1 Y 2016-11-24 to 2017-11-25","1 Y 2016-12-26 to 2017-12-25","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"P Information Ratio",0.8,3.27,1.83,-0.95,0.49,-1.28,-1.54,-1.45,-1.33,-1.01,0.25,-0.15,-0.05,-0.64,0.49,0.08,-2.32,-2.61,-0.33,-0.06,-0.43,-0.48,-2.14,-0.82,1.07,-0.07,-0.49,0.67,2.4,2.29,1.1,-0.16,-0.29,-0.71,-0.08,0.5,-0.01,1.51,0.7,-0.5,1.08,5.9,3.81,6.77,4.73,-0.65,-2.93,0.58,2.87,5.15,-1.99,-1.31,0.1,-1.06,-1.55
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.62,1.35,0.96,0.71,0.79,-0.38,-1.93,-0.95,-2.21,-1.75,0.25,-0.84,-1.03,-0.66,0.52,0.18,-2.54,-2.34,-0.63,0.4,-0.46,-0.3,-2.54,-0.64,-0.07,-0.3,-1.7,0.04,3.89,3.58,0.3,0.01,0.07,-0.04,-0.73,2.55,-0.02,1.85,0.57,0.24,1.69,1,1.51,4.89,4.37,2.03,-0.28,0.47,1.51,2.34,-1.01,0,0.42,-1.33,-0.85
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.45,1.41,1.22,0.67,0.93,0.4,0.94,0.83,1.22,1.46,0.52,1.58,1.49,0.84,0.85,1.09,1.07,1.16,1.32,0.99,0.94,0.94,0.84,1.04,1.28,1.75,1.68,1.48,1.5,1.88,0.77,1.03,1.23,1.51,1.53,1.52,1.47,1.19,0.95,0.7,0.83,2.26,2.18,1.89,1.23,0.08,0.64,0.94,1,0.89,0.47,0.64,0.74,0.87,0.8
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",32.61,68.77,37.26,26.12,3.72,2.99,28.69,27.89,38.52,57.71,3.88,62.43,56.44,62.22,53.13,62.1,65.65,70.59,57.36,25.56,41.34,40.19,54.89,55.98,70.56,59.5,30.99,54.24,26,45.81,81.47,85.11,82.04,86.4,81.66,78.25,80.56,83.61,86.8,82.18,70.85,52.5,51.62,45.16,33.65,-10.49,57.68,51.27,71.17,54.95,19.82,26.26,15.74,11.51,54.1
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-10.3679,-8.2413,-8.7692,-8.4866,-14.0538,-15.198,-20.4135,-23.5709,-23.7986,-24.7698,-11.7094,-22.192,-25.0093,-16.9541,-15.5933,-21.711,-31.3695,-29.5402,-20.4201,-21.3904,-21.7665,-19.7555,-33.3576,-17.4872,-21.9088,-26.3038,-31.5861,-19.8992,-16.2818,-35.6209,-32.5906,-40.4227,-45.8825,-51.2089,-53.5698,-50.1148,-52.8708,-39.4299,-35.3995,-30.9128,-33.0764,-12.3853,-13.7296,-11.6038,-10.4048,-10.7433,-9.1307,-9.3772,-6.8724,-9.1037,-15.3597,-13.2347,-12.111,-35.5992,-21.787
"B Max Drawdown",-10.1571,-4.7705,-4.4894,-4.4894,-6.9982,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",-0.210800000000001,-3.4708,-4.2798,-3.9972,-7.0556,-5.8297,-11.0452,-14.2026,-14.4303,-15.4015,-2.3411,-12.8237,-11.26,-2.9752,-1.6144,-7.7321,-17.3906,-15.5613,-6.4412,-7.4115,-7.7876,-5.7766,-19.3787,-6.2097,-10.6313,-15.0263,-20.3086,-8.6217,-5.0043,2.6846,5.7149,-2.1172,-7.577,-12.9034,-15.2643,-11.8093,-14.5653,-1.1244,2.906,6.694,2.3761,-5.0382,-6.3825,-4.702,-3.503,-3.8415,-2.2289,-3.0397,-0.534899999999999,-2.7662,-5.1175,-2.9925,0.388999999999999,-21.2658,-7.4537
