"","2 Y 2016-10-24 to 2018-10-25","2 Y 2016-11-24 to 2018-11-25","2 Y 2016-12-26 to 2018-12-25","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"P Information Ratio",1.39,1.12,1.31,0.92,0.55,0.05,-0.2,0.04,-0.48,-0.11,0.1,-0.06,-0.32,0.35,0.79,1.56,0.23,0.05,0.21,0.41,0.8,0.35,0.36,2.16,1.13,1.31,1.27,1.61,2.89,3.08,2.71,2.8,2.06,2.02,2,2.42,2.39,2.76,2.68,2.02,2.3,3.28,3.41
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.54,1.06,1.06,0.98,0.55,0.2,-0.09,-0.03,-0.5,0.05,-0.16,-0.1,-0.55,0.32,0.63,0.87,0.07,-0.12,0.52,0.92,0.8,0.65,0.12,2.31,1.21,1.06,1.25,1.39,3.99,4.29,3.9,3.72,2.3,3.5,2.32,3.82,2.61,2.89,3.06,1.86,2.56,3.37,2.55
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.2,1.28,1.21,1.04,1.13,1.01,1.07,0.99,1.09,1.17,0.96,1.09,0.96,1.04,1.02,1.1,1.13,1.22,1.2,1.16,1.09,1.18,1.08,1.14,1.18,1.17,1.16,1.17,1.16,1.2,1.13,1.18,1.24,1.19,1.1,1.12,1.24,1.25,1.09,1.04,1.05,1.24,1.09
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",77.82,59.94,60.36,51.38,54.23,67.91,57.21,49.29,60.74,60.82,58.56,62.99,50.2,59.75,62.93,73.84,68.72,71.09,84.88,85.85,85.77,87.9,85.87,75.37,84.58,85.63,83.3,87.44,57.22,60,64.53,62.74,80.56,58.54,67.62,54.87,67.89,68.09,71.23,73.92,74.47,45.47,50.98
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.9536,-19.4788,-19.1371,-17.2238,-18.8628,-15.3888,-17.8302,-17.4234,-19.2835,-18.9919,-14.8845,-16.7177,-16.763,-15.8982,-15.6544,-17.432,-17.4056,-39.7879,-39.5313,-38.4217,-36.2442,-37.1865,-36.7425,-37.6773,-38.5499,-39.7048,-37.1922,-38.9297,-38.0434,-38.42,-36.9173,-38.1272,-40.6683,-39.1105,-39.2888,-37.646,-41.1586,-39.3246,-37.73,-36.9376,-34.1241,-17.7816,-10.426
"B Max Drawdown",-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-2.2043,-5.4999,-5.1582,-3.2449,-4.8839,-1.4099,-3.8513,-3.4445,-5.3046,-5.013,-0.9056,-2.7388,-2.7841,-1.9193,-1.6755,-3.4531,-3.4267,-1.4824,-1.2258,-0.116199999999999,2.0613,1.119,1.563,0.6282,-0.244399999999999,-1.3993,1.1133,-0.624199999999995,0.262100000000004,-0.1145,1.3882,0.1783,-2.3628,-0.805,-0.9833,0.659500000000001,-2.8531,-1.01909999999999,0.575500000000005,0.669199999999996,1.3284,-3.4482,3.9074
