"","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"P Information Ratio",-0.01,-0.01,-0.33,-0.14,0.14,0.07,0.09,0.2,0.2,0.17,0.02,0.39,0.49,0.27,0.23,0.02,0.47,0.63,0.42,0.42,0.76,1.35,2.05,2.96,1.97,2.79,1.7,2.27,2.05,2,2.2,2.5,2.3,2.28,2.44,3.2,3.61
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.08,-0.07,-0.32,0.1,-0.17,0.1,-0.08,0.31,0.21,-0.01,0.03,0.27,0.22,0.45,0.25,0.34,0.2,0.69,0.4,0.38,0.53,0.84,1.07,4.38,1.84,4.29,2.12,2.77,2.31,2.55,2.5,2.69,2.76,2.38,2.86,3.32,2.73
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.09,1.04,1,1.1,1.14,1.16,1.06,1.09,0.96,0.91,1.09,1.14,0.98,1.12,1.1,1.12,1.04,1.11,1.08,1.02,1.1,1.09,1.13,1.15,1.16,1.25,1.39,1.26,1.21,1.25,1.24,1.27,1.22,1.18,1.14,1.15,1.08
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",53.3,55.12,51.6,51.28,57.61,57.24,52.89,56.66,51.77,56.98,64.69,57.4,83.06,87.61,88.82,90.5,89.35,87.81,88.44,87.72,88.99,88.19,85.4,57.41,83.43,56.61,82.57,75.62,71.31,72.26,66.94,68.21,74.26,72.09,74.03,42.78,49.97
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-19.0723,-17.6201,-17.251,-18.3501,-16.6101,-17.4204,-17.1503,-17.4785,-16.6084,-15.996,-17.4712,-38.2772,-35.6794,-37.5055,-38.4269,-37.6247,-36.0383,-37.8741,-37.5854,-36.2898,-37.0473,-37.1644,-38.3506,-37.053,-37.9863,-39.7636,-43.2302,-40.2285,-41.764,-42.5812,-41.0758,-41.8033,-42.1583,-40.0132,-36.81,-17.9166,-10.7919
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-5.0934,-3.6412,-3.2721,-4.3712,-2.6312,-3.4415,-3.1714,-3.4996,-2.6295,-2.0171,-3.4923,0.0283000000000015,2.6261,0.800000000000004,-0.121400000000001,0.680800000000005,2.2672,0.431400000000004,0.720100000000002,2.0157,1.2582,1.1411,-0.0450999999999979,1.2525,0.319200000000002,-1.45809999999999,-4.9247,-1.92299999999999,-3.4585,-4.2757,-2.7703,-3.4978,-3.85279999999999,-2.4064,-1.3575,-3.5832,3.5415
