"","2 Y 2016-10-24 to 2018-10-25","2 Y 2016-11-24 to 2018-11-25","2 Y 2016-12-26 to 2018-12-25","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"P Information Ratio",0.26,0.66,1.33,1.07,0.61,0.72,0.7,0.71,0,0.05,-0.35,0.02,-0.81,0.58,0.69,1.38,0.32,0.53,0.76,1.01,1.43,0.79,1.12,3.03,1,1.62,1.83,0.58,1.13,1.53,3,3.38,1.52,2.41,1.17,1.88,2.27,2.51,2.98,2.35,2.37,1.04,1.01
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.06,0.76,1.93,1.7,0.72,0.74,1.03,0.54,-0.09,0.23,-0.52,-0.24,-1.05,1.02,1.1,1.27,0.4,0.55,0.9,1.41,1.05,1.07,1.11,4.51,1.61,1.71,1.58,0.74,0.93,1.1,6.38,6.19,2.57,5.66,2.34,4.49,4.41,3.41,4.77,3.16,3.52,2.96,2.18
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.32,1.29,1.26,1.17,1.25,1.35,1.44,1.24,1.28,1.25,1.13,1.08,0.95,1.27,1.26,1.16,1.1,1.23,1.13,1.06,0.97,1.08,1.07,1.09,1.09,0.97,0.97,1.08,1.08,1.44,1.38,1.36,1.42,1.07,0.62,0.81,1.13,1.39,1.24,1.32,1.26,0.71,0.46
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",66.58,45.82,37.41,33.03,46.85,58.37,55.08,43.08,50.29,48.14,59.39,64.63,42,36.67,39.36,49.93,47.03,54.07,83.6,85.75,85.55,83.91,75.49,53.15,66.24,74.24,78.78,83.15,86.52,81.22,51.16,49.09,72.91,34.28,23.42,22.91,40.75,60.4,56.07,61.91,64.01,18.98,5.6
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-21.5627,-26.3668,-21.3582,-20.28,-19.1349,-19.6828,-24.0776,-22.0976,-20.9545,-24.2576,-21.1928,-20.5888,-25.5542,-16.5074,-17.2661,-15.6075,-20.4921,-40.0061,-35.9263,-33.9437,-30.2083,-36.2809,-35.326,-35.2061,-33.5027,-34.0315,-32.9174,-37.1239,-37.2771,-45.8668,-41.7327,-39.3055,-44.3122,-33.9285,-28.9365,-28.8118,-35.7567,-42.3239,-40.9983,-42.7337,-36.1463,-10.3149,-14.1287
"B Max Drawdown",-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-7.8134,-12.3879,-7.3793,-6.3011,-5.156,-5.7039,-10.0987,-8.1187,-6.9756,-10.2787,-7.2139,-6.6099,-11.5753,-2.5285,-3.2872,-1.6286,-6.5132,-1.7006,2.3792,4.3618,8.0972,2.0246,2.9795,3.0994,4.8028,4.274,5.3881,1.1816,1.0284,-7.5613,-3.4272,-1,-6.0067,4.377,9.369,9.4937,2.5488,-4.0184,-2.6928,-5.1269,-0.693799999999996,4.0185,0.204699999999999
