"","2 Y 2018-01-23 to 2020-01-24","2 Y 2018-02-23 to 2020-02-24","2 Y 2018-03-23 to 2020-03-24","2 Y 2018-04-23 to 2020-04-24","2 Y 2018-05-23 to 2020-05-24","2 Y 2018-06-25 to 2020-06-24","2 Y 2018-07-23 to 2020-07-24","2 Y 2018-08-23 to 2020-08-24","2 Y 2018-09-24 to 2020-09-24","2 Y 2018-10-23 to 2020-10-24","2 Y 2018-11-26 to 2020-11-24","2 Y 2018-12-24 to 2020-12-24","2 Y 2019-01-23 to 2021-01-24","2 Y 2019-02-25 to 2021-02-24","2 Y 2019-03-25 to 2021-03-24","2 Y 2019-04-23 to 2021-04-24","2 Y 2019-05-23 to 2021-05-24","2 Y 2019-06-24 to 2021-06-24","2 Y 2019-07-23 to 2021-07-24","2 Y 2019-08-23 to 2021-08-24","2 Y 2019-09-23 to 2021-09-24","2 Y 2019-10-23 to 2021-10-24","2 Y 2019-11-25 to 2021-11-24","2 Y 2019-12-23 to 2021-12-24","2 Y 2020-01-23 to 2022-01-24","2 Y 2020-02-24 to 2022-02-24","2 Y 2020-03-23 to 2022-03-24","2 Y 2020-04-23 to 2022-04-24"
"P Information Ratio",0.33,0.16,0.11,0.46,0.69,0.54,0.46,0.4,0.31,0.4,0.31,0.45,0.98,1.9,1.65,1.85,1.66,1.98,1.48,1.5,2.1,2.22,1.99,2.03,1.96,1.95,3.46,3.94
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.33,0.21,0.1,0.53,1.06,0.73,0.84,0.22,0.65,0.43,0.21,0.33,0.68,1.18,1.44,1.8,1.89,1.85,1.32,1.4,2.33,2.15,2.19,3.2,2.71,3.44,3.28,3.2
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.96,0.93,1.05,1.06,1.18,1.19,1.1,1.22,1.2,1.12,1.16,1.23,1.07,1.17,1.35,1.17,1.25,1.22,1.13,1.19,1.23,1.31,1.37,1.36,1.17,1.23,1.04,0.91
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",43.19,46.66,45.86,78.69,85.67,87.55,83.3,88.46,85.03,86.37,84.81,84.42,82.26,83.87,84.62,83.78,79.5,80.95,83.54,80.62,76.83,72.27,72.89,65.59,60.78,65.35,49.43,40.82
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.3585,-13.7926,-39.7027,-37.7552,-38.226,-38.3191,-35.7911,-39.1872,-38.1122,-38.3479,-39.7608,-40.7218,-36.0772,-38.147,-40.7414,-38.5809,-40.4356,-39.5628,-39.0689,-41.91,-42.686,-45.0565,-44.9158,-45.7832,-42.58,-41.4835,-10.8211,-13.3389
"B Max Drawdown",-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-14.3334,-14.3334
"MD DIFF(P-B)",-1.3796,0.186299999999999,-1.3972,0.5503,0.079500000000003,-0.0135999999999967,2.5144,-0.881699999999995,0.193300000000001,-0.0424000000000007,-1.4553,-2.4163,2.2283,0.158500000000004,-2.4359,-0.275399999999998,-2.1301,-1.2573,-0.763399999999997,-3.60449999999999,-4.3805,-6.751,-6.6103,-7.4777,-4.9732,-5.8252,3.5123,0.994499999999999
