"","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"P Information Ratio",0.33,0.41,0.15,-0.13,0.36,0.17,-0.18,0.08,-0.23,-0.05,-0.06,-0.43,0.18,0.93,0.2,0.26,0.61,0.59,0.01,0.12,0.82,0.67,0.7,2.61,2.56,2.56,2.69,2.09,1.97,1.83,1.96,2.3,2.48,2.46,2.84,2.11,2.1,2.21,3.58,3.42
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.39,0.4,0.3,-0.02,0.17,0.03,0.04,-0.19,-0.19,-0.25,0.03,-0.37,0.04,0.59,-0.03,0.26,0.75,0.59,0.26,0.08,0.61,0.61,0.66,3.86,4.22,4.27,4.37,2.5,2.34,2.25,3.36,3.24,3.23,2.49,2.34,2.67,2.14,2.51,3.02,2.56
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.03,1.12,1.07,1.03,1.03,1.12,1.14,1.08,1.04,0.99,1.08,0.85,0.98,1.18,1.14,1.06,1.04,1.09,1.09,1.1,1.05,1.1,1.2,1.19,1.07,1,1.15,1.29,1.23,1.11,1.1,1.26,1.15,1.21,1.12,1.11,1.16,1.16,1.1,1.12
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",52.18,55.12,45.53,51.46,62.58,65.72,60.74,56.56,56.55,49.85,52.29,50.44,48.63,71.14,60.95,81.63,84.28,86.74,91.27,89.77,89.31,88.85,88.97,67.99,51.77,43.3,52.58,78.21,74.68,74.33,56.54,60.82,64.49,71.6,73.68,68.9,71.76,75.85,57.6,51.03
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-17.9645,-18.7819,-17.5792,-17.9934,-16.9007,-18.7563,-18.965,-17.6738,-18.1701,-15.5687,-17.0191,-18.0584,-15.5699,-17.6323,-38.0513,-37.2934,-35.9228,-37.0889,-35.7893,-37.6933,-37.0383,-37.4196,-39.0141,-37.4738,-36.0395,-35.9904,-37.6798,-41.1645,-40.0636,-38.1857,-37.1677,-41.0796,-38.1523,-41.5127,-38.6778,-39.7557,-39.3675,-36.5607,-11.1555,-12.105
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-3.9856,-4.803,-3.6003,-4.0145,-2.9218,-4.7774,-4.9861,-3.6949,-4.1912,-1.5898,-3.0402,-4.0795,-1.591,-3.6534,0.254200000000004,1.0121,2.3827,1.2166,2.5162,0.612200000000001,1.2672,0.885899999999999,-0.708599999999997,0.831700000000005,2.26600000000001,2.3151,0.625700000000002,-2.85899999999999,-1.7581,0.119800000000005,1.1378,-2.7741,0.153200000000005,-3.2072,-0.372299999999996,-1.4502,-1.7607,-1.1082,3.1779,2.2284
