"","2 Y 2016-10-24 to 2018-10-25","2 Y 2016-11-24 to 2018-11-25","2 Y 2016-12-26 to 2018-12-25","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"P Information Ratio",0.09,-0.61,-0.69,-0.62,0.38,0.53,0.16,0.61,1.05,0.11,0.43,0.34,0.9,-0.07,-0.73,0.06,1.15,1.47,0.69,0.62,0.45,0.51,0.81,0.92,2.15,2.67,2.41,2.28,1.67,1.72,1.99,2.44,2.99,2.2,2.35,2.02,1.18,0.99,0.79,1.67,1.74,2.24,3.03
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.06,-0.03,-0.33,-0.33,0.31,0.58,0.39,0.32,0.61,0.19,0.03,0.34,0.54,0.09,-0.56,-0.19,0.78,0.83,0.23,0.59,0.51,0.62,0.62,0.63,2.68,2.5,3.17,3.2,0.69,0.82,1.92,2.08,4.41,2.14,3.09,1.99,1.48,0.97,1.13,2.19,2.54,1.99,3.26
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.13,0.81,0.91,1.03,1,1.14,0.9,1,0.92,0.83,1.18,1.01,1.01,0.98,0.96,0.97,1,0.93,0.85,1.01,1.08,1.01,1.05,0.98,1,1.01,1.13,1.04,1.05,1.03,1.03,0.96,0.97,1,1.18,1.23,1.05,0.97,1.07,1.13,1.06,1.03,1.18
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",51.75,67.69,66.33,68.77,71.6,57.84,66.09,74.81,71.1,68.99,68.27,62.89,67.6,65.15,62.54,66.58,64.05,62.99,84.88,84.9,89.72,89.01,90.05,90.48,67.27,73.23,72.94,60.58,90.19,91.84,77.58,77.91,56.9,77.26,61.26,82.61,69.47,73.33,67.16,67.1,63.85,58.17,36.37
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-20.5184,-16.0909,-17.1724,-19.3875,-17.477,-19.599,-15.9058,-17.0443,-15.7461,-14.6379,-19.196,-18.4039,-18.5276,-17.8905,-20.4906,-17.2227,-16.9253,-33.1135,-33.0751,-35.3965,-37.295,-35.9281,-36.7426,-35.0665,-35.2553,-34.455,-36.7113,-35.1684,-36.2678,-34.7292,-36.4007,-35.1798,-33.0455,-35.8282,-37.2961,-38.7425,-35.2847,-35.6299,-37.7481,-38.236,-33.0465,-14.1515,-16.4412
"B Max Drawdown",-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-6.7691,-2.112,-3.1935,-5.4086,-3.4981,-5.6201,-1.9269,-3.0654,-1.7672,-0.659000000000001,-5.2171,-4.425,-4.5487,-3.9116,-6.5117,-3.2438,-2.9464,5.192,5.2304,2.909,1.0105,2.3774,1.5629,3.239,3.0502,3.8505,1.5942,3.1371,2.0377,3.5763,1.9048,3.1257,5.26000000000001,2.4773,1.0094,-0.436999999999998,3.0208,2.6756,0.557400000000001,-0.629199999999997,2.406,0.181899999999999,-2.1078
