"","2 Y 2016-11-29 to 2018-12-04","2 Y 2016-12-29 to 2019-01-03","2 Y 2017-01-30 to 2019-02-03","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-03-29 to 2019-04-03","2 Y 2017-05-01 to 2019-05-04","2 Y 2017-05-29 to 2019-06-03","2 Y 2017-06-29 to 2019-07-04","2 Y 2017-07-31 to 2019-08-03","2 Y 2017-08-29 to 2019-09-03","2 Y 2017-09-29 to 2019-10-04","2 Y 2017-10-30 to 2019-11-03","2 Y 2017-11-29 to 2019-12-04","2 Y 2017-12-29 to 2020-01-03","2 Y 2018-01-29 to 2020-02-03","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-03-29 to 2020-04-03","2 Y 2018-04-30 to 2020-05-04","2 Y 2018-05-29 to 2020-06-03","2 Y 2018-06-29 to 2020-07-04","2 Y 2018-07-30 to 2020-08-03","2 Y 2018-08-29 to 2020-09-03","2 Y 2018-10-01 to 2020-10-04","2 Y 2018-10-29 to 2020-11-03","2 Y 2018-11-29 to 2020-12-04","2 Y 2018-12-31 to 2021-01-03","2 Y 2019-01-29 to 2021-02-03","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-03-29 to 2021-04-03","2 Y 2019-04-29 to 2021-05-04","2 Y 2019-05-29 to 2021-06-03","2 Y 2019-07-02 to 2021-07-04","2 Y 2019-07-29 to 2021-08-03","2 Y 2019-08-29 to 2021-09-03","2 Y 2019-09-30 to 2021-10-04","2 Y 2019-10-29 to 2021-11-03","2 Y 2019-11-29 to 2021-12-04","2 Y 2019-12-30 to 2022-01-03","2 Y 2020-01-29 to 2022-02-03","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-03","2 Y 2020-04-29 to 2022-05-04","2 Y 2020-05-29 to 2022-06-03","2 Y 2020-06-29 to 2022-07-04","2 Y 2020-07-29 to 2022-08-03","2 Y 2020-08-31 to 2022-09-03"
"P Information Ratio",1.06,1.24,1.27,1.37,1.51,1.4,1.15,1.29,1.21,0.9,0.89,1.11,1.07,0.86,0.87,0.8,0.68,1.75,1.52,1.54,1.81,1.63,1.68,1.54,1.12,1.6,1.28,0.99,0.95,0.9,1.06,0.61,0.85,0.76,1.05,0.43,0.85,0.4,0.41,0.58,2.42,2.04,2.26,1.18,0.78,1.14
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.04,1.05,0.68,1.14,1.35,1.21,1.33,1.25,1.06,0.99,0.77,0.93,0.64,0.79,0.77,0.46,0.43,0.6,1.16,1.51,1.66,2.08,1.86,1.71,1.31,0.95,0.9,0.91,0.92,0.79,0.73,0.51,0.49,0.66,0.52,0.05,0.38,0.23,0.47,0.13,0.95,0.82,1.1,0.86,0.7,0.61
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.73,0.86,0.87,1.11,1.2,1.24,1.27,1.33,1.2,1.32,1.32,1.04,1.07,0.81,0.81,0.88,0.99,1,1.07,1.18,1.15,1.04,1.1,1.21,1.16,1.12,1.15,1.08,1.16,1.16,1.27,1.41,1.36,1.35,1.14,1.45,1.34,1.23,1.41,1.48,1.45,1.02,1.11,1.04,1.19,1.2
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",23.84,35.15,37.33,57.58,60.67,56.35,53.52,57.08,58.23,61.04,61.31,54.53,61.43,49.99,49.77,54.77,79.53,80.07,83.41,86.15,80.14,63.25,66.25,72.6,65.92,85.57,79.91,70,74.49,72.32,83.09,90.1,88.43,81.3,90.02,88.77,88.81,79.45,81.87,65,64.99,71.35,70.17,70.54,72.5,75.67
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-14.3003,-17.8927,-15.9455,-15.548,-16.6581,-18.7042,-18.7653,-20.1825,-17.7628,-19.2097,-17.5559,-13.5509,-15.667,-15.3747,-15.4105,-17.0338,-33.4331,-31.5719,-29.6301,-31.6985,-31.4682,-28.7173,-29.6378,-31.746,-31.9545,-30.9607,-32.1945,-29.2877,-31.305,-30.5905,-35.2502,-38.2714,-36.9597,-38.0668,-34.3307,-39.6819,-37.5849,-34.9502,-39.7311,-33.8875,-8.7011,-8.086,-10.9882,-15.081,-19.9681,-20.0503
"B Max Drawdown",-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-3.4374,-4.4481,-2.5009,-2.1034,-3.2135,-5.2596,-5.3207,-6.7379,-4.3182,-5.7651,-4.1113,-0.106200000000001,-2.2224,-1.9301,-1.9659,-3.5892,2.2934,4.1546,6.0964,4.028,4.2583,7.0092,6.0887,3.9805,3.772,4.7658,3.532,6.4388,4.4215,5.136,0.476300000000002,-2.5449,-1.2332,-2.3403,1.3958,-3.9554,-1.8584,0.776299999999999,-4.0046,-2.5349,-0.9333,-0.3182,-0.7201,-0.286299999999999,-3.1842,-3.2664
