"","1 Y 2016-05-30 to 2017-06-04","1 Y 2016-06-30 to 2017-07-05","1 Y 2016-08-02 to 2017-08-04","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"P Information Ratio",0.03,-0.22,1.83,-0.82,-1.09,-0.4,0.77,0.32,-0.52,-0.7,-0.27,0.38,0.12,0.26,-0.36,-0.3,-0.32,0.85,0.35,0.48,0.23,0.65,0.47,0.72,1.36,1.68,1.55,2.5,1.91,1.14,0.77,0.44,-0.37,-0.78,-0.58,-0.03,-0.59,-0.77,-0.65,-0.33,-0.68,-0.86,0.14,-0.23,0.53,2.06,3.02,2.89,1.3,1.8,1.03,1.37,2.18,2.75,1.19,1.4,1.55,1.34,0.51,-0.16,0.01,-0.03,-1.55,-0.57
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.26,-0.41,1.55,-0.11,-0.43,0.12,0.97,0.92,-0.23,-0.76,-0.44,-0.08,0.17,0.17,-0.54,0.04,-0.25,0.66,-0.24,0.34,0.12,0.88,0.55,1.38,1.32,1.93,2.25,3.83,2.58,1.72,1.34,0.39,-0.36,-0.85,-0.47,0.5,-1.54,-0.64,-0.21,-0.13,-1.73,-0.86,-0.2,-0.22,1.46,2.55,1.92,2.01,0.66,1.28,-0.41,0.09,-0.4,2.53,1.75,1.67,2.79,1.08,0.39,-0.08,0.22,-0.31,-1.1,-0.13
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.76,0.71,-0.12,0.86,1.33,0.28,0.08,0.09,0.61,1.01,0.87,1.24,1.17,1.24,0.92,1.18,1.18,0.72,0.61,0.51,0.45,0.28,0.42,0.25,0.27,0.39,0.25,-0.12,0.04,0.13,0.44,0.94,0.79,0.96,1.16,1.45,1.89,1.92,1.7,1.63,1.65,1.47,1.5,1.32,1.61,1.5,2.25,1.71,1.95,2.3,2.42,1.98,2.41,0.65,0.8,0.97,0.48,0.52,0.71,1.02,1.08,1.12,1.13,1.1
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",19.94,1.86,-10.74,34.71,47.2,-0.31,-10.68,-10.73,4.84,25.19,12.32,22.54,33.67,20.78,10.71,31.52,16.78,8.59,18.08,15.54,6.37,4.53,26.64,4.31,8.11,43.28,15.21,-7.26,-10.9,-7.07,8.42,33.95,6.12,28.49,82.68,84.3,82.23,83.92,80.25,73.51,75.9,78.29,75.41,86.87,81.91,60.02,61.37,41.34,50.25,69.42,64.54,52.19,50.82,-3.99,4.18,9.6,-6.27,11.88,22.41,27.79,46.53,62.44,69.1,71.1
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-14.5656,-12.982,-4.9382,-7.4181,-12.4796,-6.3457,-5.914,-6.597,-8.4033,-12.8,-13.5743,-16.084,-13.1187,-17.4911,-15.1593,-14.1026,-15.5623,-16.0748,-14.5573,-11.5771,-12.4233,-12.4242,-9.8472,-9.0243,-8.7304,-5.859,-7.6655,-6.1254,-6.1253,-6.4563,-10.5998,-9.4742,-12.7388,-12.7156,-36.4927,-39.8103,-53.4934,-54.2749,-50.2172,-51.7969,-52.3311,-49.3548,-47.4076,-42.6014,-46.9197,-40.875,-14.7538,-12.2587,-16.0363,-11.923,-12.2113,-12.5526,-14.0161,-13.4789,-11.5488,-10.8496,-11.8437,-5.9681,-6.1871,-8.8741,-9.1228,-17.065,-21.5253,-20.4818
"B Max Drawdown",-5.0055,-5.2471,-5.3589,-6.2126,-6.3052,-6.3052,-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-11.5827,-10.6565,-7.2553,-7.0974,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7678,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-9.5601,-7.7349,0.4207,-1.2055,-6.1744,-0.0404999999999998,0.3912,-0.2918,-2.0981,-4.1572,-4.9315,-7.4412,-4.4759,-8.8483,-6.5165,-5.4598,-6.9195,-5.2119,-3.6944,1.8675,1.0213,1.0204,3.5974,4.4203,4.7142,7.5856,5.3226,5.4573,4.5312,0.799,-3.5024,-5.0611,-8.3257,-4.3119,-0.766199999999998,-4.0838,-17.7669,-18.5484,-14.4907,-16.0704,-16.6046,-13.6283,-11.6811,-6.8749,-11.1932,-9.5224,-6.986,-4.4909,-8.2685,-4.1552,-4.4435,-5.441,-7.925,-9.6551,-6.3706,-5.6714,-6.6655,-0.789899999999999,-1.0089,-2.5783,1.1453,-2.2703,-4.7414,-3.6979
