"","1 Y 2015-08-28 to 2016-09-02","1 Y 2015-09-28 to 2016-10-03","1 Y 2015-10-28 to 2016-11-02","1 Y 2015-11-30 to 2016-12-03","1 Y 2015-12-29 to 2017-01-02","1 Y 2016-01-28 to 2017-02-02","1 Y 2016-02-29 to 2017-03-05","1 Y 2016-03-28 to 2017-04-02","1 Y 2016-04-28 to 2017-05-03","1 Y 2016-05-30 to 2017-06-02","1 Y 2016-06-28 to 2017-07-03","1 Y 2016-07-28 to 2017-08-02","1 Y 2016-08-29 to 2017-09-02","1 Y 2016-09-28 to 2017-10-03","1 Y 2016-10-28 to 2017-11-02","1 Y 2016-11-28 to 2017-12-03","1 Y 2016-12-28 to 2018-01-02","1 Y 2017-01-30 to 2018-02-02","1 Y 2017-02-28 to 2018-03-05","1 Y 2017-03-28 to 2018-04-02","1 Y 2017-04-28 to 2018-05-03","1 Y 2017-05-29 to 2018-06-02","1 Y 2017-06-28 to 2018-07-03","1 Y 2017-07-28 to 2018-08-02","1 Y 2017-08-28 to 2018-09-02","1 Y 2017-09-28 to 2018-10-03","1 Y 2017-10-30 to 2018-11-02","1 Y 2017-11-28 to 2018-12-03","1 Y 2017-12-28 to 2019-01-02","1 Y 2018-01-29 to 2019-02-02","1 Y 2018-02-28 to 2019-03-05","1 Y 2018-03-28 to 2019-04-02","1 Y 2018-04-30 to 2019-05-03","1 Y 2018-05-28 to 2019-06-02","1 Y 2018-06-28 to 2019-07-03","1 Y 2018-07-30 to 2019-08-02","1 Y 2018-08-28 to 2019-09-02","1 Y 2018-09-28 to 2019-10-03","1 Y 2018-10-29 to 2019-11-02","1 Y 2018-11-28 to 2019-12-03","1 Y 2018-12-28 to 2020-01-02","1 Y 2019-01-28 to 2020-02-02","1 Y 2019-02-28 to 2020-03-04","1 Y 2019-03-28 to 2020-04-02","1 Y 2019-04-29 to 2020-05-03","1 Y 2019-05-28 to 2020-06-02","1 Y 2019-06-28 to 2020-07-03","1 Y 2019-07-29 to 2020-08-02","1 Y 2019-08-28 to 2020-09-02","1 Y 2019-09-30 to 2020-10-03","1 Y 2019-10-28 to 2020-11-02","1 Y 2019-11-28 to 2020-12-03","1 Y 2019-12-30 to 2021-01-02","1 Y 2020-01-28 to 2021-02-02","1 Y 2020-02-28 to 2021-03-05","1 Y 2020-03-30 to 2021-04-02","1 Y 2020-04-28 to 2021-05-03","1 Y 2020-05-28 to 2021-06-02","1 Y 2020-06-29 to 2021-07-03","1 Y 2020-07-28 to 2021-08-02","1 Y 2020-08-28 to 2021-09-02","1 Y 2020-09-28 to 2021-10-03","1 Y 2020-10-28 to 2021-11-02","1 Y 2020-11-30 to 2021-12-03","1 Y 2020-12-29 to 2022-01-02","1 Y 2021-01-28 to 2022-02-02","1 Y 2021-03-01 to 2022-03-05","1 Y 2021-03-29 to 2022-04-02","1 Y 2021-04-28 to 2022-05-03","1 Y 2021-05-28 to 2022-06-02","1 Y 2021-06-28 to 2022-07-03","1 Y 2021-07-28 to 2022-08-02","1 Y 2021-08-30 to 2022-09-02"
"P Information Ratio",0.45,1.34,-0.35,0.55,1.31,0.64,0.22,0.17,0.74,0.28,1.95,0.83,-0.03,0.88,1.67,1.43,0.88,0.67,1.29,1.03,-0.49,-0.11,-0.13,0.91,-0.49,-0.08,0.32,0.46,0.58,0.72,1.27,0.07,0.74,1.88,0.76,0.69,1.89,0.85,1.55,1.12,1.38,0.31,1.47,1.24,-0.79,0.72,-1.37,-2.03,-1.58,0.25,0.76,-1.1,-0.66,0.08,-0.36,2.47,2.47,1.3,0.94,0.63,0.9,0.2,-1.29,0.24,-0.41,-0.57,0.24,-0.38,-0.12,2.14,1.3,2.15,1.31
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.55,1.11,0.05,0.84,1.56,0.86,0.46,0.91,0.55,0.64,1.73,0.83,0.37,0.47,0.47,0.8,0.78,0.16,0.49,0.28,-0.28,0.04,0,0.77,0.08,-0.07,-0.01,-0.07,0.02,0.22,0.41,0.1,0.36,0.55,0.55,0.67,0.63,0.19,0.59,1,0.89,0.38,0.11,0.26,-0.55,0.44,-0.36,-0.44,-0.59,0.35,0.57,-0.24,-0.2,0.21,-0.5,-0.07,0.74,1.11,0.42,0.29,-0.25,-0.07,0.04,0.5,-0.07,0.12,-0.16,-0.09,-0.15,0.91,0.48,1.11,0.65
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.5,0.64,0.61,0.61,0.55,0.68,0.76,0.33,0.64,0.45,0.48,0.21,0.18,0.79,0.75,0.66,0.64,0.85,1.08,0.69,0.82,0.73,0.66,0.63,0.7,0.67,0.62,0.57,0.68,0.68,0.78,0.68,0.77,0.79,0.66,0.65,0.82,0.8,0.82,0.56,0.55,0.7,0.79,0.92,1.03,0.97,1.09,0.97,1.08,1.23,1.12,0.95,1.1,1.05,1.12,1.13,1.04,0.87,1.07,1.13,1.4,1.1,0.68,0.78,0.87,0.92,0.79,0.9,1,0.9,0.87,0.91,0.98
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",34.45,51.31,40.4,24.55,28.2,2.81,35.9,-2.35,16.51,6.76,0.01,-8.99,-8.9,47.39,54.97,26.11,13.55,47.18,61.55,46.3,65.97,67.48,70.48,24.74,45.74,60.48,86.24,84.6,69.22,76.68,93.09,92.03,85.42,90.02,82.29,93.7,94.31,94.94,90.08,63.44,43.82,70.09,67.26,89.24,98.2,91.85,98.97,98,97.14,97.47,94.25,97.98,97.35,93.53,93.36,94.64,85.79,82.76,82.49,72.84,73.85,67.09,19.34,45.92,49.46,49.06,52.82,67.87,74.67,73.15,73.03,72.76,73.61
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-10.3485,-10.312,-10.4378,-10.1679,-6.5938,-4.5755,-3.6365,-2.9177,-3.5776,-4.483,-3.1567,-4.9434,-4.698,-4.1845,-3.9872,-4.601,-5.1165,-4.4858,-8.8667,-6.3725,-7.9071,-7.0248,-7.2268,-9.7653,-8.215,-7.7136,-9.8704,-9.4749,-11.2482,-10.9773,-10.7943,-11.8987,-10.0493,-11.4066,-10.8615,-10.004,-10.4085,-8.7721,-7.7444,-6.305,-3.0992,-3.9511,-9.2075,-29.8895,-32.8335,-28.7759,-32.4611,-30.6855,-33.3007,-34.9688,-32.3309,-29.6463,-33.0947,-32.8776,-29.0667,-6.3988,-6.085,-6.4271,-5.2922,-6.2448,-7.2459,-6.393,-4.2496,-4.6678,-4.9107,-5.354,-4.4403,-4.3278,-4.9906,-8.8473,-10.9609,-14.3751,-15.0163
"B Max Drawdown",-15.2268,-15.2268,-13.6512,-12.3466,-10.1448,-5.5519,-5.0055,-5.0055,-5.0055,-5.0055,-4.9554,-5.3589,-6.2126,-6.3052,-6.3052,-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-12.5618,-10.6565,-7.2553,-7.2553,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",4.8783,4.9148,3.2134,2.1787,3.551,0.9764,1.369,2.0878,1.4279,0.5225,1.7987,0.415500000000001,1.5146,2.1207,2.318,1.7042,1.1887,1.8194,-0.2239,2.2703,0.7357,1.618,1.416,-1.1225,0.4278,0.9292,0.9925,1.388,2.1964,2.4673,2.6503,1.5459,3.3953,2.038,2.5831,2.9841,2.1533,1.8844,-0.4891,0.9503,1.3139,0.462,-0.803799999999999,5.837,2.893,6.9506,3.2654,5.041,2.4258,0.7577,3.3956,6.0802,2.6318,2.8489,2.2859,1.369,1.6828,1.3407,2.4755,1.523,-0.1343,-0.3019,-0.4258,0.510400000000001,0.2675,-0.1758,0.737900000000001,0.8504,1.3052,1.4208,3.8338,2.4088,1.7676
