"","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-04-01 to 2018-04-06","2 Y 2016-05-02 to 2018-05-06","2 Y 2016-06-01 to 2018-06-06","2 Y 2016-07-04 to 2018-07-06","2 Y 2016-08-02 to 2018-08-06","2 Y 2016-09-01 to 2018-09-06","2 Y 2016-10-03 to 2018-10-06","2 Y 2016-11-01 to 2018-11-06","2 Y 2016-12-01 to 2018-12-06","2 Y 2017-01-03 to 2019-01-06","2 Y 2017-02-01 to 2019-02-06","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-04-03 to 2019-04-06","2 Y 2017-05-01 to 2019-05-06","2 Y 2017-06-01 to 2019-06-06","2 Y 2017-07-04 to 2019-07-06","2 Y 2017-08-01 to 2019-08-06","2 Y 2017-09-01 to 2019-09-06","2 Y 2017-10-02 to 2019-10-06","2 Y 2017-11-01 to 2019-11-06","2 Y 2017-12-01 to 2019-12-06","2 Y 2018-01-02 to 2020-01-06","2 Y 2018-02-01 to 2020-02-06","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-04-02 to 2020-04-06","2 Y 2018-05-01 to 2020-05-06","2 Y 2018-06-01 to 2020-06-06","2 Y 2018-07-03 to 2020-07-06","2 Y 2018-08-01 to 2020-08-06","2 Y 2018-09-04 to 2020-09-06","2 Y 2018-10-01 to 2020-10-06","2 Y 2018-11-01 to 2020-11-06","2 Y 2018-12-03 to 2020-12-06","2 Y 2019-01-02 to 2021-01-06","2 Y 2019-02-01 to 2021-02-06","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-04-01 to 2021-04-06","2 Y 2019-05-01 to 2021-05-06","2 Y 2019-06-03 to 2021-06-06","2 Y 2019-07-02 to 2021-07-06","2 Y 2019-08-01 to 2021-08-06","2 Y 2019-09-03 to 2021-09-06","2 Y 2019-10-01 to 2021-10-06","2 Y 2019-11-01 to 2021-11-06","2 Y 2019-12-02 to 2021-12-06","2 Y 2020-01-02 to 2022-01-06","2 Y 2020-02-03 to 2022-02-06","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-04-01 to 2022-04-06","2 Y 2020-05-01 to 2022-05-06","2 Y 2020-06-01 to 2022-06-06","2 Y 2020-07-02 to 2022-07-06","2 Y 2020-08-04 to 2022-08-06","2 Y 2020-09-01 to 2022-09-06"
"P Information Ratio",1.68,1.77,2.01,2.01,2.17,1.08,1.54,1.55,1.45,1.39,1.42,1.52,1.54,1.48,1.37,1.16,1.32,1.18,1.06,1.11,0.99,1.13,0.95,1.01,0.91,0.9,1.18,1.2,1.51,1.81,1.67,1.6,1.55,1,1.08,0.84,0.81,0.76,0.84,0.67,0.53,0.54,0.61,0.78,0.63,0.27,0.22,0.22,0.21,2.46,1.72,1.17,0.86,0.87,1.22
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.61,1.81,1.86,1.78,1.94,1.31,2.01,1.86,1.16,0.98,0.91,1.13,1.04,1.12,0.91,1.04,1.06,0.88,0.85,0.74,0.83,0.57,0.64,0.68,0.44,0.34,0.89,1.23,1.28,1.4,1.9,1.71,1.35,0.78,0.63,0.42,0.43,0.48,0.45,0.46,0.29,0.41,0.53,0.37,0.35,0.02,0.21,0.21,0,0.9,0.73,0.63,0.56,0.67,0.68
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.08,0.68,0.53,0.92,0.69,0.71,0.4,0.38,0.72,0.77,0.86,1.14,1.11,1.12,1.14,1.32,1.29,1.18,1.28,1.05,1,0.94,0.89,0.82,0.85,0.98,1.08,1.03,1.08,1.04,0.99,1.03,1.07,1.11,1.18,1.3,1.21,1.28,1.15,1.28,1.29,1.24,1.25,1.23,1.2,1.22,1.09,1.21,1.26,1.11,1.02,1.02,1.35,1.19,1.26
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",16.13,6.78,4.62,13.26,6.57,6.36,-1.83,-1.5,20.97,42.31,46.44,64.56,67.97,61.92,62.63,65.13,68.24,67.3,66.96,59.45,58.7,64.52,69.78,64.8,66.34,87.87,80.07,74.8,85.8,79.79,67.17,65.98,76.14,79.88,86.19,88.03,90.79,92.53,83.15,78.48,79.62,81.2,80.48,88.14,82.55,82.12,80.63,81.01,70.51,70.08,72.06,72.51,75.67,77.78,74.95
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-14.2589,-14.2346,-14.5151,-15.8624,-14.7235,-15.1273,-13.6651,-12.9853,-14.0235,-12.4505,-15.5904,-14.7014,-14.7959,-15.5337,-16.8807,-19.6325,-18.1975,-16.5419,-18.2419,-13.3541,-14.3623,-12.4533,-14.9211,-13.8819,-13.8131,-33.1364,-32.5587,-30.0985,-31.9155,-30.4909,-28.7999,-27.764,-29.867,-32.2139,-33.5708,-36.0811,-34.1436,-34.8796,-32.7853,-35.3312,-36.1603,-35.8492,-36.3836,-35.4689,-34.704,-34.9809,-32.7322,-36.2285,-31.2156,-7.6185,-7.981,-10.6855,-19.23,-18.9694,-21.3533
"B Max Drawdown",-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-5.6161,-5.5918,-5.8723,-7.2196,-6.0807,-6.4845,-5.0223,-4.3425,-3.1606,-1.5876,-2.1458,-1.2568,-1.3513,-2.0891,-3.4361,-6.1879,-4.7529,-3.0973,-4.7973,0.0904999999999987,-0.9177,0.991299999999999,-1.4765,-0.4373,-0.368500000000001,2.5901,3.1678,5.628,3.811,5.2356,6.9266,7.9625,5.8595,3.5126,2.1557,-0.354599999999998,1.5829,0.846899999999998,2.9412,0.395299999999999,-0.433799999999998,-0.122700000000002,-0.6571,0.257600000000004,1.0225,0.745600000000003,2.9943,-0.501999999999995,0.137,0.1493,-0.2132,-0.417399999999999,-4.4353,-2.1855,-4.5694
