"","1 Y 2015-08-28 to 2016-09-02","1 Y 2015-09-28 to 2016-10-03","1 Y 2015-10-28 to 2016-11-02","1 Y 2015-11-30 to 2016-12-03","1 Y 2015-12-29 to 2017-01-02","1 Y 2016-01-28 to 2017-02-02","1 Y 2016-02-29 to 2017-03-05","1 Y 2016-03-28 to 2017-04-02","1 Y 2016-04-28 to 2017-05-03","1 Y 2016-05-30 to 2017-06-02","1 Y 2016-06-28 to 2017-07-03","1 Y 2016-07-28 to 2017-08-02","1 Y 2016-08-29 to 2017-09-02","1 Y 2016-09-28 to 2017-10-03","1 Y 2016-10-28 to 2017-11-02","1 Y 2016-11-28 to 2017-12-03","1 Y 2016-12-28 to 2018-01-02","1 Y 2017-01-30 to 2018-02-02","1 Y 2017-02-28 to 2018-03-05","1 Y 2017-03-28 to 2018-04-02","1 Y 2017-04-28 to 2018-05-03","1 Y 2017-05-29 to 2018-06-02","1 Y 2017-06-28 to 2018-07-03","1 Y 2017-07-28 to 2018-08-02","1 Y 2017-08-28 to 2018-09-02","1 Y 2017-09-28 to 2018-10-03","1 Y 2017-10-30 to 2018-11-02","1 Y 2017-11-28 to 2018-12-03","1 Y 2017-12-28 to 2019-01-02","1 Y 2018-01-29 to 2019-02-02","1 Y 2018-02-28 to 2019-03-05","1 Y 2018-03-28 to 2019-04-02","1 Y 2018-04-30 to 2019-05-03","1 Y 2018-05-28 to 2019-06-02","1 Y 2018-06-28 to 2019-07-03","1 Y 2018-07-30 to 2019-08-02","1 Y 2018-08-28 to 2019-09-02","1 Y 2018-09-28 to 2019-10-03","1 Y 2018-10-29 to 2019-11-02","1 Y 2018-11-28 to 2019-12-03","1 Y 2018-12-28 to 2020-01-02","1 Y 2019-01-28 to 2020-02-02","1 Y 2019-02-28 to 2020-03-04","1 Y 2019-03-28 to 2020-04-02","1 Y 2019-04-29 to 2020-05-03","1 Y 2019-05-28 to 2020-06-02","1 Y 2019-06-28 to 2020-07-03","1 Y 2019-07-29 to 2020-08-02","1 Y 2019-08-28 to 2020-09-02","1 Y 2019-09-30 to 2020-10-03","1 Y 2019-10-28 to 2020-11-02","1 Y 2019-11-28 to 2020-12-03","1 Y 2019-12-30 to 2021-01-02","1 Y 2020-01-28 to 2021-02-02","1 Y 2020-02-28 to 2021-03-05","1 Y 2020-03-30 to 2021-04-02","1 Y 2020-04-28 to 2021-05-03","1 Y 2020-05-28 to 2021-06-02","1 Y 2020-06-29 to 2021-07-03","1 Y 2020-07-28 to 2021-08-02","1 Y 2020-08-28 to 2021-09-02","1 Y 2020-09-28 to 2021-10-03","1 Y 2020-10-28 to 2021-11-02","1 Y 2020-11-30 to 2021-12-03","1 Y 2020-12-29 to 2022-01-02","1 Y 2021-01-28 to 2022-02-02","1 Y 2021-03-01 to 2022-03-05","1 Y 2021-03-29 to 2022-04-02","1 Y 2021-04-28 to 2022-05-03","1 Y 2021-05-28 to 2022-06-02","1 Y 2021-06-28 to 2022-07-03","1 Y 2021-07-28 to 2022-08-02","1 Y 2021-08-30 to 2022-09-02"
"P Information Ratio",2.29,1.92,2.71,3.4,3.18,2.67,0.6,-0.75,-0.79,0.6,0.14,-0.5,-0.22,-0.09,-0.8,0.48,0.66,-0.77,0.91,0.12,2.72,3.39,3.54,-0.44,0.66,0.6,0.7,-0.01,1.24,0.65,0.26,1.35,0.94,0.51,1.2,1.38,1.48,1.33,0.51,-0.64,0.13,-0.64,0.3,0.24,2.57,-0.17,-1.01,-0.73,-0.31,-0.46,0.18,1.24,1.08,0.76,3.31,3.01,1.56,1.08,-0.7,-0.45,-0.41,1.75,2.07,-0.26,-0.41,-0.65,0.41,-0.48,-0.98,-1.1,-2.44,-1.54,0.22
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",5.64,4.33,4.21,3.05,3.2,3.89,0.17,-1.39,-0.62,1.5,0.51,-0.48,-0.32,0.35,1.01,1.13,1.39,-0.23,0.64,-0.02,3.1,2.99,3.64,-0.26,0.75,0.39,0.3,-0.2,0.69,0.4,0.56,0.84,0.8,0.23,1.06,1.48,1.95,2.33,0.44,-2.11,-2,0.07,-0.19,-0.29,1.34,-0.41,-0.34,-0.52,-0.38,-0.78,-0.19,2.84,0.7,0.64,2.67,2.11,0.71,-0.2,0.64,-0.14,0.23,-0.07,2.1,-0.31,-0.4,0.03,-0.3,-0.89,-1.02,-1.05,-2.26,-1.24,0.5
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.91,2.01,1.29,1.26,0.85,1.48,1.3,1.77,0.97,0.99,0.49,0.93,1.67,0.21,-0.35,-0.3,-0.47,0.85,0.78,1.47,0.97,1.06,0.99,0.9,0.96,0.96,0.42,0.26,0.45,0.41,0.2,0.71,0.61,0.73,0.52,0.46,0.18,-0.01,0.68,2.03,2.06,1.22,0.83,0.91,0.66,1.71,1.37,1.71,1.48,1.4,1.35,1.22,0.85,1.03,1.37,2.27,2.02,2.28,0.51,0.99,0.78,1.92,0.9,1.14,0.84,1.25,0.96,1.06,0.96,1,1.19,1.5,1.46
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",13.08,15.13,16.62,17.52,22.21,-6.09,22.77,31,16.11,-4.72,-1.71,18.53,42.19,-9.16,-7.09,-8.58,-5.54,16.24,27.07,52.61,11.69,13.52,13.69,24.72,48.25,33.4,-1.26,-4.29,17.48,28.6,-3.4,52.66,70.53,87.9,73,49.22,-6.57,-11.11,29.28,86.04,53.66,46.9,48.95,80.57,46.86,72.16,83.45,79.22,71.11,78.95,90.46,51.04,92.26,87.98,76.1,56.96,52.81,54.61,6.51,64.24,17.55,51.26,3.21,18.21,0.68,22.82,23.25,29.31,34.68,61.63,67.47,81.22,79.99
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-20.2324,-27.6896,-16.0115,-14.3012,-8.2794,-11.7015,-7.802,-10.7566,-7.7939,-13.0021,-6.8677,-12.897,-9.5714,-7.3457,-10.3395,-9.4159,-8.7474,-8.8853,-11.0546,-13.7754,-17.9589,-18.7261,-17.7734,-10.7328,-10.0931,-9.9654,-14.1049,-15.7576,-11.3164,-9.6006,-13.9919,-11.8481,-9.3704,-10.8893,-7.3929,-7.4488,-10.9812,-9.0144,-9.5798,-17.9214,-21.1089,-11.2281,-7.8456,-31.2205,-25.3952,-48.2199,-42.368,-51.3104,-49.833,-44.9806,-42.9885,-32.4805,-31.0372,-34.6939,-34.418,-15.8959,-18.0713,-17.5681,-5.3805,-6.6013,-9.149,-13.7098,-13.6224,-8.688,-12.3837,-8.6848,-10.2796,-12.314,-11.177,-17.881,-24.588,-26.112,-23.4069
"B Max Drawdown",-15.2268,-15.2268,-13.6512,-12.3466,-10.1448,-5.5519,-5.0055,-5.0055,-5.0055,-5.0055,-4.9554,-5.3589,-6.2126,-6.3052,-6.3052,-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-12.5618,-10.6565,-7.2553,-7.2553,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-5.0056,-12.4628,-2.3603,-1.9546,1.8654,-6.1496,-2.7965,-5.7511,-2.7884,-7.9966,-1.9123,-7.5381,-3.3588,-1.0405,-4.0343,-3.1107,-2.4422,-2.5801,-2.4118,-5.1326,-9.3161,-10.0833,-9.1306,-2.09,-1.4503,-1.3226,-3.242,-4.8947,2.1282,3.844,-0.5473,1.5965,4.0742,2.5553,6.0517,5.5393,1.5806,1.6421,-2.3245,-10.6661,-16.6958,-6.815,0.5581,4.506,10.3313,-12.4934,-6.6415,-15.5839,-14.1065,-9.2541,-7.262,3.246,4.6893,1.0326,-3.0654,-8.1281,-10.3035,-9.8003,2.3872,1.1665,-2.0374,-7.6187,-9.7986,-3.5098,-7.2055,-3.5066,-5.1014,-7.1358,-4.8812,-7.6129,-9.7933,-9.3281,-6.623
