"","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"P Information Ratio",1.81,3.23,2.45,3.01,1.78,0.96,1.06,1.17,0.51,0.52,0.28,1.62,0.42,0.56,0.77,-0.03,0.36,0.62,0.59,0.17,0.73,1.83,3.28,2.7,2.34,1.4,0.5,0.93,1.36,0.83,0.21,0.36,0.37,1.16,1.24,2.16,1.14,0.85,0.75,1.33
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.74,1.17,1.05,1,0.54,0.28,0.24,0.93,0.85,0.16,0.16,0.2,0.82,1.04,1.14,0.6,0.58,0.88,0.5,0.23,0.73,1.04,1.1,0.87,0.86,0.42,0.06,-0.15,-0.18,0.63,0.31,0.15,0.83,0.44,0.62,0.49,0.77,0.75,0.82,0.81
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.93,0.97,0.92,0.94,0.88,1.03,1.04,0.38,0.42,0.72,1.05,1.01,1.37,1.26,1.3,1.34,1.34,1.32,1.34,1.31,1.3,1.38,1.56,1.2,1.22,1.22,1.27,1.27,1.35,0.87,0.96,1.03,0.82,0.76,0.8,0.95,0.9,0.89,1.14,1.18
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",84.45,96.07,90.98,94.41,78.15,83.5,76.12,5.94,11.53,47.51,89.21,83.4,82.12,82.69,83.43,91.12,92.32,91.68,93.2,94.84,94.8,83.86,80.87,80.65,78.89,85.67,80.46,75.98,76.51,29.31,44.56,46.82,37.52,39.94,52.32,70.78,71.39,71.56,81.9,80.95
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-12.9959,-13.3678,-10.7556,-11.0621,-8.0783,-8.6651,-8.5983,-5.0521,-4.6399,-9.6226,-33.2799,-32.4164,-35.468,-33.5981,-33.9466,-37.3821,-36.0754,-36.6316,-36.431,-36.1262,-36.0688,-31.2438,-7.2718,-6.6777,-6.394,-6.741,-7.2236,-6.0442,-6.1686,-6.1619,-6.1108,-6.2051,-5.9998,-6.5088,-6.5039,-7.2329,-10.9619,-14.924,-17.5171,-18.5007
"B Max Drawdown",-13.4446,-13.4446,-12.9881,-12.5618,-10.6565,-7.2553,-7.2553,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",0.448699999999999,0.0767999999999986,2.2325,1.4997,2.5782,-1.4098,-1.343,-0.639,-0.2268,-1.2189,2.4466,3.3101,0.258499999999998,2.1284,1.7799,-1.6556,-0.3489,-0.905099999999997,-0.704499999999996,-0.399699999999996,-0.342300000000002,0.108799999999999,0.496,1.0901,1.3738,1.0267,0.5442,1.0674,-0.0774999999999997,-2.3381,-0.9326,-1.0269,-0.821599999999999,-1.3306,-1.3257,-0.9371,-0.6938,-0.129299999999999,-0.7332,-1.7168
