"","3 Y 2016-03-01 to 2019-03-06","3 Y 2016-04-01 to 2019-04-06","3 Y 2016-05-02 to 2019-05-06","3 Y 2016-06-01 to 2019-06-06","3 Y 2016-07-04 to 2019-07-06","3 Y 2016-08-02 to 2019-08-06","3 Y 2016-09-01 to 2019-09-06","3 Y 2016-10-03 to 2019-10-06","3 Y 2016-11-01 to 2019-11-06","3 Y 2016-12-01 to 2019-12-06","3 Y 2017-01-03 to 2020-01-06","3 Y 2017-02-01 to 2020-02-06","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-04-03 to 2020-04-06","3 Y 2017-05-01 to 2020-05-06","3 Y 2017-06-01 to 2020-06-06","3 Y 2017-07-04 to 2020-07-06","3 Y 2017-08-01 to 2020-08-06","3 Y 2017-09-01 to 2020-09-06","3 Y 2017-10-02 to 2020-10-06","3 Y 2017-11-01 to 2020-11-06","3 Y 2017-12-01 to 2020-12-06","3 Y 2018-01-02 to 2021-01-06","3 Y 2018-02-01 to 2021-02-06","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-04-02 to 2021-04-06","3 Y 2018-05-01 to 2021-05-06","3 Y 2018-06-01 to 2021-06-06","3 Y 2018-07-03 to 2021-07-06","3 Y 2018-08-01 to 2021-08-06","3 Y 2018-09-04 to 2021-09-06","3 Y 2018-10-01 to 2021-10-06","3 Y 2018-11-01 to 2021-11-06","3 Y 2018-12-03 to 2021-12-06","3 Y 2019-01-02 to 2022-01-06","3 Y 2019-02-01 to 2022-02-06","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-04-01 to 2022-04-06","3 Y 2019-05-01 to 2022-05-06","3 Y 2019-06-03 to 2022-06-06","3 Y 2019-07-02 to 2022-07-06","3 Y 2019-08-01 to 2022-08-06","3 Y 2019-09-03 to 2022-09-06"
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.22,1.19,1.1,1,1.03,1.15,1.08,0.99,0.69,0.47,0.52,0.43,0.55,0.58,0.9,1.19,1.16,1.18,1.64,1.03,1.12,0.77,0.68,0.5,0.49,0.68,0.58,0.43,0.66,0.6,0.42,0.61,0.87,1.18,1.39,1.6,1.5,1.7,1.43,1.81,1.85,1.74,1.78
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",31.98,38.2,48.27,69.22,40.49,63.85,63.3,67.58,50.56,22.21,23.25,11.63,20.55,25.03,32.38,52.88,65.42,54.83,60.04,55.92,48.21,56.7,65.19,36.35,21.74,58.32,35.4,12.4,65.06,30.69,6.52,14.24,38.13,60.59,79.31,80.52,72.4,75.87,72.75,68.46,69.06,67.77,67.22
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-28.0135,-26.2391,-19.5839,-17.4425,-18.6437,-22.1332,-20.093,-17.5113,-8.5357,-12.7076,-11.6924,-13.5239,-13.287,-28.4034,-29.3178,-37.2481,-38.2333,-37.3066,-57.1922,-32.9239,-35.368,-32.0369,-29.7541,-26.1939,-26.5898,-28.258,-26.6946,-23.4282,-29.5023,-28.5528,-25.9317,-23.9826,-30.6958,-36.3057,-42.067,-46.6214,-50.315,-51.6513,-41.0606,-53.5257,-54.5518,-52.2388,-53.3948
"B Max Drawdown",-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-14.5688,-12.7945,-6.1393,-3.9979,-5.1991,-8.6886,-6.6484,-4.0667,4.9089,0.737,1.7522,-0.0792999999999999,0.157599999999999,7.3231,6.4087,-1.5216,-2.5068,-1.5801,-21.4657,2.8026,0.358499999999999,3.6896,5.9724,9.5326,9.1367,7.4685,9.0319,12.2983,6.2242,7.1737,9.7948,11.7439,5.0307,-0.5792,-6.3405,-10.8949,-14.5885,-15.9248,-5.3341,-17.7992,-18.8253,-16.5123,-17.6683
