"","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"P Information Ratio",1.3,0.79,0.17,0.52,1.29,0.79,1.75,1.43,2.01,2.32,2.67,1.18,2.52,1.43,1.45,1.1,0.54,0.9,1.01,0.96,1.67,1.37,3.15,4.46,3.36,1.52,1.16,1.28,1.76,0.96,1.64,0.71,0.66,0.24,-0.16,-0.22,0.44,0.43,0.75,1.04,1.01,0.88,1.16,2.72,2.78,2.73,1.62,0.19,0.84,1.7,0.97,0.97,0.79,0.55,2.12,0.26,0.71,-0.19,1.29,-0.33,-0.11
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.06,0.4,0.51,0.94,0.84,0.87,0.88,1.23,1.12,1.32,1.86,1.26,1.58,1.77,1.22,0.45,0.24,0.07,0.61,0.61,0.94,0.97,1.6,1.63,2.39,1.4,0.75,1.15,0.49,0.65,0.6,0.35,1.05,0.38,0.46,0.43,1.88,0.83,2.13,1.28,1.34,1.3,0.79,0.77,0.6,0.72,0.61,-0.26,-0.05,-0.05,0.37,0.4,0.4,0.62,0.64,0.05,0.31,0.02,1.05,0.26,-0.01
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.54,0.48,0.66,0.23,0.8,0.71,0.74,0.71,0.62,0.62,0.83,0.54,0.64,0.54,0.81,0.7,0.72,0.69,0.87,0.93,0.96,0.92,1.01,0.97,0.69,0.62,0.84,0.81,0.93,0.59,0.89,1.05,1.32,1.38,1.44,1.6,1.53,1.29,1.51,1.18,1.17,1.3,1.39,1.77,1.27,1.24,1.25,1.39,1.28,1.22,0.95,1.14,1.08,0.94,0.83,0.85,1.01,1.1,1.1,1.3,1.29
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",-5.3,-3.42,13.04,-7.54,7.45,9.06,21.14,18.22,15.3,13.02,27.88,1.33,11.19,-1.49,27.62,29.17,46.72,47.72,70.76,75.3,74.35,73.41,92.58,90.52,63.11,25.29,53.63,32.6,42.35,21.98,65.87,94.42,85.98,89.74,92.45,90.29,76.8,85.82,79.59,75.55,79.01,79.73,63.04,77.94,84.8,80.35,83.56,77.62,66.3,63.32,30.68,48.68,41.62,31.84,52.26,35.39,75.13,82.9,77.17,79.69,78.49
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-9.486,-11.2576,-6.388,-6.5513,-8.4737,-9.6709,-10.9321,-11.8606,-12.1179,-12.5939,-12.3939,-11.368,-12.5989,-10.9954,-12.6682,-13.5047,-16.7277,-17.3882,-15.1641,-15.1711,-13.6496,-12.4282,-12.6045,-9.3983,-7.88,-6.8223,-7.5066,-6.8192,-6.9162,-5.2642,-9.4619,-31.8726,-34.1059,-35.9567,-38.4994,-43.074,-39.1305,-37.3236,-37.34,-33.1719,-33.138,-35.9515,-29.8887,-8.5404,-8.0441,-7.4152,-7.7881,-7.7095,-8.5722,-8.8271,-10.1864,-6.5355,-7.928,-8.7714,-6.0157,-8.6083,-7.5935,-11.083,-14.9782,-21.1411,-21.8103
"B Max Drawdown",-6.2126,-6.3052,-6.3052,-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-11.5827,-10.6565,-7.2553,-7.0974,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7678,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-3.2734,-4.9524,-0.0827999999999998,-0.2461,-2.1685,-3.3657,-2.2893,-3.2178,-3.4751,-3.9511,-3.7511,-2.7252,-3.9561,-2.3526,-1.8053,-2.6418,-3.2831,-3.9436,-1.7195,-1.7265,-0.205,1.0164,0.8401,3.5898,3.7027,3.8342,-0.2513,0.2782,-2.5031,-0.8511,-1.0582,3.8539,1.6206,-0.230199999999996,-2.7729,-7.3475,-3.404,-1.5971,-1.6135,2.5546,2.5885,-0.225000000000001,1.4639,-0.7726,-0.2763,0.352600000000001,-0.0202999999999998,0.0583,-1.4606,-2.736,-6.3626,-1.3573,-2.7498,-3.5932,-0.837499999999999,-3.4301,-1.2977,-0.8149,-0.183499999999999,-4.3572,-5.0264
