"","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-04-01 to 2018-04-06","2 Y 2016-05-02 to 2018-05-06","2 Y 2016-06-01 to 2018-06-06","2 Y 2016-07-04 to 2018-07-06","2 Y 2016-08-02 to 2018-08-06","2 Y 2016-09-01 to 2018-09-06","2 Y 2016-10-03 to 2018-10-06","2 Y 2016-11-01 to 2018-11-06","2 Y 2016-12-01 to 2018-12-06","2 Y 2017-01-03 to 2019-01-06","2 Y 2017-02-01 to 2019-02-06","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-04-03 to 2019-04-06","2 Y 2017-05-01 to 2019-05-06","2 Y 2017-06-01 to 2019-06-06","2 Y 2017-07-04 to 2019-07-06","2 Y 2017-08-01 to 2019-08-06","2 Y 2017-09-01 to 2019-09-06","2 Y 2017-10-02 to 2019-10-06","2 Y 2017-11-01 to 2019-11-06","2 Y 2017-12-01 to 2019-12-06","2 Y 2018-01-02 to 2020-01-06","2 Y 2018-02-01 to 2020-02-06","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-04-02 to 2020-04-06","2 Y 2018-05-01 to 2020-05-06","2 Y 2018-06-01 to 2020-06-06","2 Y 2018-07-03 to 2020-07-06","2 Y 2018-08-01 to 2020-08-06","2 Y 2018-09-04 to 2020-09-06","2 Y 2018-10-01 to 2020-10-06","2 Y 2018-11-01 to 2020-11-06","2 Y 2018-12-03 to 2020-12-06","2 Y 2019-01-02 to 2021-01-06","2 Y 2019-02-01 to 2021-02-06","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-04-01 to 2021-04-06","2 Y 2019-05-01 to 2021-05-06","2 Y 2019-06-03 to 2021-06-06","2 Y 2019-07-02 to 2021-07-06","2 Y 2019-08-01 to 2021-08-06","2 Y 2019-09-03 to 2021-09-06","2 Y 2019-10-01 to 2021-10-06","2 Y 2019-11-01 to 2021-11-06","2 Y 2019-12-02 to 2021-12-06","2 Y 2020-01-02 to 2022-01-06","2 Y 2020-02-03 to 2022-02-06","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-04-01 to 2022-04-06","2 Y 2020-05-01 to 2022-05-06","2 Y 2020-06-01 to 2022-06-06","2 Y 2020-07-02 to 2022-07-06","2 Y 2020-08-04 to 2022-08-06","2 Y 2020-09-01 to 2022-09-06"
"P Information Ratio",1.55,1.78,2.05,1.94,2.18,1.02,1.54,1.57,1.42,1.36,1.37,1.45,1.47,1.43,1.33,1.12,1.28,1.13,1.01,1.09,0.99,1.09,0.89,0.91,0.84,0.8,1.18,1.26,1.63,1.89,1.81,1.67,1.61,1.02,1.07,0.82,0.75,0.74,0.86,0.68,0.54,0.61,0.65,0.88,0.69,0.3,0.25,0.23,0.19,2.68,1.78,1.21,0.81,0.85,1.2
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.81,2.09,2.2,2.02,2.27,1.49,2.35,2.17,1.36,1.13,1.06,1.36,1.23,1.36,1.08,1.22,1.25,1.03,0.97,0.88,1,0.64,0.69,0.73,0.48,0.38,1.01,1.51,1.53,1.65,2.33,2.12,1.67,0.94,0.73,0.48,0.52,0.53,0.54,0.58,0.4,0.58,0.71,0.51,0.51,0.07,0.31,0.25,-0.07,1.09,0.9,0.71,0.67,0.78,0.85
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.23,0.68,0.5,1,0.68,0.77,0.38,0.33,0.72,0.81,0.89,1.23,1.19,1.19,1.22,1.45,1.43,1.28,1.4,1.11,1.07,0.99,0.95,0.85,0.87,1.01,1.1,1.04,1.1,1.06,0.98,1.03,1.08,1.14,1.22,1.42,1.29,1.37,1.18,1.36,1.39,1.31,1.3,1.28,1.24,1.27,1.09,1.27,1.33,1.13,1,1.02,1.46,1.22,1.33
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",13.28,3.42,1.31,10,3.26,4.02,-2.98,-3,13.76,35.16,38.44,58.35,62.08,54.82,56.25,60.44,63.71,61.93,62.16,52.9,52.16,57.68,64.55,57.31,58.84,84.29,76.24,69.08,83.56,75.31,59.58,57.31,69.63,75.18,83.32,86.93,89.41,91.64,79.78,72.4,74.16,75.91,73.82,85.28,76.68,76.24,73.03,74.38,63.74,64.2,64.82,66.51,70.14,72.93,68.22
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.8715,-15.7939,-16.3032,-18.159,-16.6254,-17.6002,-15.0916,-14.3465,-15.4984,-13.9196,-16.7837,-15.6134,-15.9939,-16.7548,-18.4791,-21.9542,-20.1912,-18.0939,-20.219,-13.9409,-15.2237,-12.592,-16.4216,-15.0071,-14.9658,-33.8572,-33.1581,-29.8179,-32.2395,-30.3606,-28.0087,-26.5454,-29.2119,-32.6012,-34.1795,-38.1307,-35.3057,-36.2303,-33.3686,-36.6805,-37.9882,-37.1092,-37.5175,-36.3909,-35.2274,-35.6736,-32.5525,-37.3979,-32.0194,-8.8601,-8.6344,-10.7203,-20.9857,-20.2163,-23.4149
"B Max Drawdown",-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-7.2287,-7.1511,-7.6604,-9.5162,-7.9826,-8.9574,-6.4488,-5.7037,-4.6355,-3.0567,-3.3391,-2.1688,-2.5493,-3.3102,-5.0345,-8.5096,-6.7466,-4.6493,-6.7744,-0.4963,-1.7791,0.852599999999999,-2.977,-1.5625,-1.5212,1.8693,2.5684,5.9086,3.487,5.3659,7.7178,9.1811,6.5146,3.1253,1.547,-2.4042,0.4208,-0.503799999999998,2.3579,-0.954000000000001,-2.2617,-1.3827,-1.791,-0.664400000000001,0.499099999999999,0.0529000000000011,3.174,-1.6714,-0.666799999999999,-1.0923,-0.866599999999999,-0.452199999999999,-6.191,-3.4324,-6.631
