"","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"P Information Ratio",0.1,0.95,1.45,1.32,1.15,1.31,1.25,0.95,0.65,-0.36,-0.23,0.16,-1.23,-0.18,0.36,0.86,1.32,1.24,1.01,1.23,0.16,0.5,0.3,0.2,0.37,1.46,0.55,-0.75,0.2,0.75,0.1,0.31,1.37,0.38,0.66,0.97,-2.26,0.18,-0.71,-0.94,-1.31,-1.39,0.08,1.95,0.83,0.49,0.98,0.82,1.24,1.18,0.47,-0.84,-0.54,0.14,-0.06,-0.05,-0.73,0.54,-0.45,1.12,1.21
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.39,0.89,0.88,0.76,0.89,0.26,0.29,0.16,0.02,0,0.12,0.11,-0.09,-0.07,-0.01,0.22,0.35,0.49,0.38,0.52,0.14,0.14,0.28,0.36,0.25,0.28,0.48,0.24,0.73,0.73,-0.15,0,0.61,0.49,0.48,0.47,-0.61,0.14,-0.45,-0.35,-0.4,-0.23,-0.09,0.04,0.44,0.51,0.67,0.42,0.22,-0.14,0.4,-0.13,-0.14,0.54,-0.11,0.21,-0.07,0.57,-0.4,0.54,0.6
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.37,0.52,0.49,0.74,0.5,0.89,0.86,0.81,0.83,0.84,0.73,0.76,0.74,0.74,0.65,0.66,0.68,0.71,0.76,0.74,0.68,0.65,0.65,0.66,0.73,0.78,0.73,0.72,0.35,0.45,0.73,0.95,1.03,1,0.97,0.89,0.94,1.1,0.97,1.1,1.08,1.01,1.04,1.02,0.95,0.99,1.08,1.05,1.1,1.32,0.85,0.83,0.84,0.83,0.74,0.76,0.8,0.81,0.94,0.86,0.87
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",-1.23,13.53,18.86,25.66,8.31,57.33,67.73,74.24,78.57,77.29,65.35,84.65,69.17,79.12,90.75,75.32,83.68,84.76,92.49,94.61,88.9,87.56,86.36,94.76,93.15,92.47,92.63,96.06,16.65,35.73,53.43,90.82,90.52,87.96,86.25,87.97,96.9,96.11,96.83,97.89,98.02,97.76,92.76,92.35,72.08,72.31,79.15,74.72,69.63,75.24,25.43,46.54,47.56,40.44,42.04,46.31,59.07,71.53,86.91,70.73,73.81
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-3.8951,-3.7633,-3.7014,-4.0159,-3.7791,-4.4162,-7.0571,-7.2695,-7.1056,-7.5782,-7.5332,-7.5456,-7.365,-7.795,-8.559,-7.9618,-9.2343,-8.9654,-9.7667,-9.9979,-10.4292,-11.0183,-10.9347,-11.6904,-8.9257,-7.2082,-7.1761,-7.1711,-4.5599,-4.1073,-9.2474,-32.1224,-30.3752,-30.4476,-29.2991,-27.16,-30.9623,-31.1457,-31.5218,-33.9928,-33.386,-32.3268,-27.96,-5.983,-6.3557,-6.4554,-5.2833,-5.4686,-6.2064,-5.6135,-4.0034,-6.2295,-5.9232,-4.7607,-5.7313,-4.6291,-5.808,-9.2647,-13.6823,-13.4662,-12.8237
"B Max Drawdown",-6.2126,-6.3052,-6.3052,-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-11.5827,-10.6565,-7.2553,-7.0974,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7678,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",2.3175,2.5419,2.6038,2.2893,2.5261,1.889,1.5857,1.3733,1.5372,1.0646,1.1096,1.0972,1.2778,0.847799999999999,2.3039,2.9011,4.2103,4.4792,3.6779,3.4467,3.0154,2.4263,2.5099,1.2977,2.657,3.4483,0.0792000000000002,-0.0736999999999997,-0.1468,0.3058,-0.8437,3.6041,5.3513,5.2789,6.4274,8.5665,4.7642,4.5808,4.2047,1.7337,2.3405,3.3997,3.3926,1.7848,1.4121,1.3124,2.4845,2.2992,0.9052,0.4776,-0.1796,-1.0513,-0.744999999999999,0.4175,-0.5531,0.5491,0.4878,1.0034,1.1124,3.3177,3.9602
