"","2 Y 2016-11-29 to 2018-12-04","2 Y 2016-12-29 to 2019-01-03","2 Y 2017-01-30 to 2019-02-03","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-03-29 to 2019-04-03","2 Y 2017-05-01 to 2019-05-04","2 Y 2017-05-29 to 2019-06-03","2 Y 2017-06-29 to 2019-07-04","2 Y 2017-07-31 to 2019-08-03","2 Y 2017-08-29 to 2019-09-03","2 Y 2017-09-29 to 2019-10-04","2 Y 2017-10-30 to 2019-11-03","2 Y 2017-11-29 to 2019-12-04","2 Y 2017-12-29 to 2020-01-03","2 Y 2018-01-29 to 2020-02-03","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-03-29 to 2020-04-03","2 Y 2018-04-30 to 2020-05-04","2 Y 2018-05-29 to 2020-06-03","2 Y 2018-06-29 to 2020-07-04","2 Y 2018-07-30 to 2020-08-03","2 Y 2018-08-29 to 2020-09-03","2 Y 2018-10-01 to 2020-10-04","2 Y 2018-10-29 to 2020-11-03","2 Y 2018-11-29 to 2020-12-04","2 Y 2018-12-31 to 2021-01-03","2 Y 2019-01-29 to 2021-02-03","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-03-29 to 2021-04-03","2 Y 2019-04-29 to 2021-05-04","2 Y 2019-05-29 to 2021-06-03","2 Y 2019-07-02 to 2021-07-04","2 Y 2019-07-29 to 2021-08-03","2 Y 2019-08-29 to 2021-09-03","2 Y 2019-09-30 to 2021-10-04","2 Y 2019-10-29 to 2021-11-03","2 Y 2019-11-29 to 2021-12-04","2 Y 2019-12-30 to 2022-01-03","2 Y 2020-01-29 to 2022-02-03","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-03","2 Y 2020-04-29 to 2022-05-04","2 Y 2020-05-29 to 2022-06-03","2 Y 2020-06-29 to 2022-07-04","2 Y 2020-07-29 to 2022-08-03","2 Y 2020-08-31 to 2022-09-03"
"P Information Ratio",1.29,1.37,1.07,1.37,1.15,1.27,1.11,1.29,1.16,0.79,0.69,0.78,0.85,0.8,0.7,0.28,0.3,1.13,0.77,1.29,1.42,1.31,1.33,1.42,1.59,1.89,1.56,1.43,1.21,1.02,0.82,0.81,1.26,0.59,1.08,0.78,1.01,0.33,-0.37,-0.39,-0.57,-1.34,-1.07,-1.12,-1.14,-0.99
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.99,1.78,0.97,1.89,1.91,2.09,2.28,2.13,1.72,1.62,1.06,1.27,0.82,0.87,0.63,0.17,0.64,0.66,1.51,2.35,2.27,2.01,1.7,1.71,1.75,1.52,1.48,1.49,1.62,0.96,0.65,0.47,0.9,1.2,1.33,0.36,1.1,0.68,-0.11,-1.32,-0.94,-1.11,-1.21,-1.42,-0.81,-1.06
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.69,0.85,0.78,1.27,1.4,1.45,1.56,1.58,1.57,1.77,1.81,1.49,1.54,1.41,1.39,1.48,1.26,1.32,1.53,1.57,1.56,1.43,1.48,1.49,1.41,1.28,1.4,1.36,1.31,1.34,1.23,1.27,1.17,1.1,0.79,1.27,0.9,0.93,0.99,1.44,1.12,0.91,0.91,1.07,0.66,0.75
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",6.2,13.8,10.26,35.84,38.23,33.89,33.66,36.97,40.26,44.53,46.1,47.09,51.95,57.19,60.58,68.58,78.52,80.46,79.45,80.74,80.96,81.05,83.04,81.93,80.41,75.48,77.91,79.55,71.95,75.99,79.89,80.95,73.8,56.96,67.27,79.43,66.67,45.42,56.13,36.39,33.57,31.03,30.49,43.21,27.26,32.03
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-18.0234,-21.3742,-21.4376,-20.9489,-22.6204,-24.0596,-24.3975,-25.301,-25.4677,-28.2673,-26.8149,-22.4006,-24.2456,-22.1684,-22.0375,-22.9663,-33.6907,-33.5918,-34.1987,-33.5257,-34.1627,-32.6321,-34.2085,-33.656,-32.5155,-31.0275,-33.4644,-31.4753,-30.1225,-31.8383,-31.6648,-31.3709,-29.6392,-28.3415,-23.9406,-31.7315,-24.0879,-24.8052,-26.5104,-25.5593,-15.9119,-15.7846,-20.5615,-22.5703,-21.1022,-19.4654
"B Max Drawdown",-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-7.1605,-7.9296,-7.993,-7.5043,-9.1758,-10.615,-10.9529,-11.8564,-12.0231,-14.8227,-13.3703,-8.9559,-10.801,-8.7238,-8.5929,-9.5217,2.0358,2.1347,1.5278,2.2008,1.5638,3.0944,1.518,2.0705,3.211,4.699,2.2621,4.2512,5.604,3.8882,4.0617,4.3556,6.0873,7.385,11.7859,3.995,11.6386,10.9213,9.2161,5.7933,-8.1441,-8.0168,-10.2934,-7.7756,-4.3183,-2.6815
