"","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-04-01 to 2018-04-06","2 Y 2016-05-02 to 2018-05-06","2 Y 2016-06-01 to 2018-06-06","2 Y 2016-07-04 to 2018-07-06","2 Y 2016-08-02 to 2018-08-06","2 Y 2016-09-01 to 2018-09-06","2 Y 2016-10-03 to 2018-10-06","2 Y 2016-11-01 to 2018-11-06","2 Y 2016-12-01 to 2018-12-06","2 Y 2017-01-03 to 2019-01-06","2 Y 2017-02-01 to 2019-02-06","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-04-03 to 2019-04-06","2 Y 2017-05-01 to 2019-05-06","2 Y 2017-06-01 to 2019-06-06","2 Y 2017-07-04 to 2019-07-06","2 Y 2017-08-01 to 2019-08-06","2 Y 2017-09-01 to 2019-09-06","2 Y 2017-10-02 to 2019-10-06","2 Y 2017-11-01 to 2019-11-06","2 Y 2017-12-01 to 2019-12-06","2 Y 2018-01-02 to 2020-01-06","2 Y 2018-02-01 to 2020-02-06","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-04-02 to 2020-04-06","2 Y 2018-05-01 to 2020-05-06","2 Y 2018-06-01 to 2020-06-06","2 Y 2018-07-03 to 2020-07-06","2 Y 2018-08-01 to 2020-08-06","2 Y 2018-09-04 to 2020-09-06","2 Y 2018-10-01 to 2020-10-06","2 Y 2018-11-01 to 2020-11-06","2 Y 2018-12-03 to 2020-12-06","2 Y 2019-01-02 to 2021-01-06","2 Y 2019-02-01 to 2021-02-06","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-04-01 to 2021-04-06","2 Y 2019-05-01 to 2021-05-06","2 Y 2019-06-03 to 2021-06-06","2 Y 2019-07-02 to 2021-07-06","2 Y 2019-08-01 to 2021-08-06","2 Y 2019-09-03 to 2021-09-06","2 Y 2019-10-01 to 2021-10-06","2 Y 2019-11-01 to 2021-11-06","2 Y 2019-12-02 to 2021-12-06","2 Y 2020-01-02 to 2022-01-06","2 Y 2020-02-03 to 2022-02-06","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-04-01 to 2022-04-06","2 Y 2020-05-01 to 2022-05-06","2 Y 2020-06-01 to 2022-06-06","2 Y 2020-07-02 to 2022-07-06","2 Y 2020-08-04 to 2022-08-06","2 Y 2020-09-01 to 2022-09-06"
"P Information Ratio",1.81,1.4,1.48,1.88,1.5,1.04,1.72,1.74,1.17,1.09,1.24,1.4,1.41,1.36,1.45,1.23,1.27,1.14,1.42,1.1,0.99,1.04,0.76,0.57,0.1,-0.11,0.44,0.55,1.24,1.39,1.31,1.51,1.84,1.51,1.41,1.45,1.28,1.35,0.89,0.61,0.68,0.56,0.39,0.75,0.6,0.35,0.14,-0.19,-0.48,-0.7,-1.24,-1.15,-0.7,-1.12,-0.53
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.26,2.73,3.1,3.02,2.97,2.83,4.18,3.71,2.12,1.81,1.72,2.28,2.08,2.2,2.21,2.38,2.25,1.77,1.58,1.41,1.56,1,0.94,0.44,0.11,0.14,0.68,1.48,2.41,1.73,1.97,1.8,1.85,1.44,1.21,1.19,1.19,1.18,0.87,1.37,0.99,0.92,1.39,0.97,1.06,0.7,0.56,-0.13,-1.4,-0.56,-0.68,-1.26,-1.18,-0.9,-0.86
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.16,0.93,0.66,1.12,1.06,0.61,-0.14,-0.11,0.88,1.04,1.17,1.73,1.68,1.73,1.78,2.03,1.9,1.74,0.57,1.48,1.47,1.42,1.38,1.43,1.53,1.37,1.58,1.66,1.53,1.42,1.43,1.34,1.19,1.13,1.09,1.23,1.1,1.09,0.99,0.92,0.97,0.94,0.83,1.05,0.88,1.03,0.82,0.97,1.45,0.76,0.86,1.1,1.41,0.75,1.17
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",7.46,1.55,-2.22,2.2,0.34,-2.86,-4.68,-4.69,4.89,19,26.05,49.89,53.93,49.19,48.34,49.06,48.13,48.38,29.91,41.88,49.36,49.56,53.67,54.74,63.59,79.47,74,79.9,75,74.42,82.09,78.45,75.42,75.9,71.63,74.04,76.24,74.51,64.82,28.55,33.2,41.21,32.88,63.89,35.85,41.61,33.37,37.7,42.86,20.14,29.73,54.09,62.59,29.61,46.03
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-23.1753,-24.9772,-24.7024,-24.2666,-25.5963,-24.1708,-20.036,-18.9343,-22.2802,-21.1647,-26.166,-25.6097,-25.1861,-26.9887,-27.9405,-30.0187,-27.3392,-25.907,-13.9757,-20.9497,-20.1598,-20.3758,-24.5865,-23.7971,-24.1183,-39.931,-40.6925,-39.0526,-34.8572,-34.4963,-33.2202,-31.1031,-28.862,-29.5221,-28.0427,-31.0558,-28.6779,-28.4469,-27.4619,-26.2337,-26.9915,-26.5303,-23.8989,-27.9644,-23.764,-27.0813,-24.8386,-27.4254,-24.9849,-16.5322,-20.3673,-22.8929,-28.2197,-21.3439,-26.9113
"B Max Drawdown",-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-14.5325,-16.3344,-16.0596,-15.6238,-16.9535,-15.528,-11.3932,-10.2915,-11.4173,-10.3018,-12.7214,-12.1651,-11.7415,-13.5441,-14.4959,-16.5741,-13.8946,-12.4624,-0.5311,-7.5051,-6.7152,-6.9312,-11.1419,-10.3525,-10.6737,-4.2045,-4.966,-3.3261,0.869300000000003,1.2302,2.5063,4.6234,6.8645,6.2044,7.6838,4.6707,7.0486,7.2796,8.2646,9.4928,8.735,9.1962,11.8276,7.7621,11.9625,8.6452,10.8879,8.3011,6.3677,-8.7644,-12.5995,-12.6248,-13.425,-4.56,-10.1274
