"","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"P Information Ratio",-0.15,-0.18,0.55,0.5,0.65,0.37,0.44,0.67,0.44,0.34,-0.1,0.25,0.08,0.36,0.7,0.68,0.29,0.52,0.52,0.83,1.15,1.12,1.08,1.23,1.48,1.52,1.09,0.74,-0.23,-0.26,0.2,0.73,0.73,0.9,0.17,0.28,0.34,0.32,0.21,0.21,0.21,0.57,1.13,2.54,2.15,1.9,1.17,1.11,1.43
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.01,-0.05,0.33,0.39,0.56,0.29,0.43,0.54,0.35,0.28,0.09,0.66,0.07,0.8,0.91,0.87,0.85,1.17,0.53,0.19,1.26,0.82,1.04,1.19,2.79,2.53,1.86,1.29,-0.37,-0.37,-0.13,0.35,0.52,0.71,0.56,0.48,0.2,0.15,0.23,-0.12,0.09,0.8,1.58,2.04,2.2,2.44,1.9,1.92,2.2
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.07,1.02,0.67,0.65,0.83,0.92,0.83,0.83,0.8,0.76,0.73,0.39,0.8,0.34,0.4,0.4,0.36,0.32,0.39,0.67,0.78,0.7,0.65,0.54,0.6,0.64,0.88,0.89,1.44,1.29,1.2,1.17,1.28,1.49,1.53,1.71,1.94,1.85,1.86,1.56,1.53,1.54,1.29,1.8,1.42,1.42,1.83,1.72,1.45
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",41.44,36.51,36.01,26.81,42.72,41.86,54.79,48.72,42.3,44.2,47.47,5.57,45.97,2.37,4.84,8.84,6.44,6.83,16.13,68.9,55.42,72.67,71.76,46.45,18.11,20.22,39.92,35.71,85.15,89.95,91.04,88.15,81.71,79.23,76.12,66.02,66.63,68.57,69.92,68.69,70.07,72.7,42.64,42.69,34.45,32.5,52.83,47.48,40.67
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-16.1816,-14.9447,-11.854,-12.9952,-12.1816,-13.3607,-13.9981,-12.8551,-15.1634,-14.2508,-12.3201,-16.0002,-14.3259,-16.6754,-16.1439,-14.3631,-15.2602,-14.8133,-12.501,-32.4025,-29.3729,-27.633,-25.6018,-24.8515,-23.2285,-22.5785,-28.5112,-30.2824,-43.9445,-38.8396,-36.7348,-34.7453,-37.3232,-40.9673,-45.5221,-50.9053,-56.0432,-55.2106,-55.6732,-49.9221,-48.1431,-47.0561,-40.6962,-14.7538,-13.639,-13.0202,-23.508,-26.048,-25.2616
"B Max Drawdown",-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-7.5388,-6.3019,-0.991099999999999,-2.1323,1.263,0.0838999999999999,-0.553500000000001,0.589499999999999,-1.7188,-0.8062,1.1245,-2.5556,-0.881300000000001,-3.2308,-2.6992,-0.9185,-1.8156,-1.3687,0.9436,3.324,6.3536,8.0935,10.1247,10.875,12.498,13.148,7.2153,5.4441,-8.218,-3.1131,-1.0083,0.981200000000001,-1.5967,-5.2408,-9.7956,-15.1788,-20.3167,-19.4841,-19.9467,-14.1956,-12.4166,-11.3296,-9.3436,-6.986,-5.8712,-2.7521,-8.7133,-9.2641,-8.4777
