"","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"P Alpha Stat",-0.21,-0.1,0.05,0.35,0.51,-0.36,-0.22,0.09,-0.05,-0.17,0.01,-0.44,0.15,-0.07,0.34,-0.09,0.11,-0.04,0.82,0.55,1.17,1.06,1.53,2.31,3.74,2.97,1.54,1.66,0.16,0.29,0.1,0.02,0.49,-0.23,-0.59,-0.22,-0.15,-1.44,-0.03,-0.18,0.26,1.54,2.91,1.92,1.71,1.4,1.48,-0.84,-0.33,-0.18,2.6,2.08,2.08,2.91,2.21,2.18,1.74,0.9,0.55,-0.33,-0.26
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.15,1.07,0.43,0.25,0.35,0.92,1.15,0.94,1.26,1.24,1.22,0.86,1.16,1.1,0.48,0.42,0.29,0.4,0.32,0.42,0.3,0.43,0.45,0.27,-0.07,-0.17,0.2,0.31,1.24,0.59,0.93,1.12,1.33,1.51,1.48,1.72,1.88,1.85,1.82,1.58,1.56,1.62,1.38,2.25,1.79,1.96,2.31,2.65,2.2,2.32,0.43,0.75,0.73,0.43,0.38,0.35,0.57,0.68,0.69,1.11,1.04
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",16.09,26.51,10.19,-8.08,-7.21,13.09,42.96,17.4,32.22,36.94,43.16,3.77,24.34,8.75,-2.81,-1.22,-5.62,-0.48,6.91,26.64,10.43,45.53,58.77,22.79,-9.93,-8.27,-5.39,-4.16,46.77,22.57,63.71,86.4,81.49,79.48,85.29,80.07,73.28,76.16,70.93,74.13,76.42,82.59,51.42,61.37,42.88,44.34,66.2,67.92,54.67,50.51,-7.25,7.93,8.22,-6.46,1.4,-7.71,17.55,39.24,45.99,66.15,67.37
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-16.1816,-13.1282,-7.1876,-6.595,-7.9696,-10.5339,-12.4615,-12.8551,-15.1634,-14.2508,-12.3201,-15.8149,-14.3259,-16.6754,-16.1439,-14.3631,-15.2602,-14.8133,-12.501,-9.8472,-9.2378,-8.2077,-7.9041,-5.96,-5.6826,-7.4029,-8.2796,-9.2027,-13.5262,-7.0057,-10.1116,-34.7453,-37.3232,-40.9673,-45.5221,-50.9053,-56.0432,-55.2106,-55.6732,-49.9221,-48.1431,-47.0561,-39.4022,-14.7538,-12.4567,-12.7417,-13.4924,-13.7388,-13.4324,-14.3902,-14.6599,-7.6745,-6.8312,-11.1239,-5.7338,-12.3974,-6.8726,-5.6817,-12.0485,-19.9793,-21.2381
"B Max Drawdown",-6.2126,-6.3052,-6.3052,-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-11.5827,-10.6565,-7.2553,-7.0974,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7678,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-9.969,-6.823,-0.8824,-0.2898,-1.6644,-4.2287,-3.8187,-4.2123,-6.5206,-5.608,-3.6773,-7.1721,-5.6831,-8.0326,-5.281,-3.5002,-1.8156,-1.3687,0.9436,3.5974,4.2068,5.2369,5.5405,7.0281,5.9001,3.2536,-1.0243,-2.1053,-9.1131,-2.5926,-1.7079,0.981200000000001,-1.5967,-5.2408,-9.7956,-15.1788,-20.3167,-19.4841,-19.9467,-14.1956,-12.4166,-11.3296,-8.0496,-6.986,-4.6889,-4.9739,-5.7246,-5.971,-6.3208,-8.2991,-10.8361,-2.4963,-1.653,-5.9457,-0.555599999999999,-7.2192,-0.5768,4.5864,2.7462,-3.1954,-4.4542
