"","1 Y 2015-08-28 to 2016-09-02","1 Y 2015-09-28 to 2016-10-03","1 Y 2015-10-28 to 2016-11-02","1 Y 2015-11-30 to 2016-12-03","1 Y 2015-12-29 to 2017-01-02","1 Y 2016-01-28 to 2017-02-02","1 Y 2016-02-29 to 2017-03-05","1 Y 2016-03-28 to 2017-04-02","1 Y 2016-04-28 to 2017-05-03","1 Y 2016-05-30 to 2017-06-02","1 Y 2016-06-28 to 2017-07-03","1 Y 2016-07-28 to 2017-08-02","1 Y 2016-08-29 to 2017-09-02","1 Y 2016-09-28 to 2017-10-03","1 Y 2016-10-28 to 2017-11-02","1 Y 2016-11-28 to 2017-12-03","1 Y 2016-12-28 to 2018-01-02","1 Y 2017-01-30 to 2018-02-02","1 Y 2017-02-28 to 2018-03-05","1 Y 2017-03-28 to 2018-04-02","1 Y 2017-04-28 to 2018-05-03","1 Y 2017-05-29 to 2018-06-02","1 Y 2017-06-28 to 2018-07-03","1 Y 2017-07-28 to 2018-08-02","1 Y 2017-08-28 to 2018-09-02","1 Y 2017-09-28 to 2018-10-03","1 Y 2017-10-30 to 2018-11-02","1 Y 2017-11-28 to 2018-12-03","1 Y 2017-12-28 to 2019-01-02","1 Y 2018-01-29 to 2019-02-02","1 Y 2018-02-28 to 2019-03-05","1 Y 2018-03-28 to 2019-04-02","1 Y 2018-04-30 to 2019-05-03","1 Y 2018-05-28 to 2019-06-02","1 Y 2018-06-28 to 2019-07-03","1 Y 2018-07-30 to 2019-08-02","1 Y 2018-08-28 to 2019-09-02","1 Y 2018-09-28 to 2019-10-03","1 Y 2018-10-29 to 2019-11-02","1 Y 2018-11-28 to 2019-12-03","1 Y 2018-12-28 to 2020-01-02","1 Y 2019-01-28 to 2020-02-02","1 Y 2019-02-28 to 2020-03-04","1 Y 2019-03-28 to 2020-04-02","1 Y 2019-04-29 to 2020-05-03","1 Y 2019-05-28 to 2020-06-02","1 Y 2019-06-28 to 2020-07-03","1 Y 2019-07-29 to 2020-08-02","1 Y 2019-08-28 to 2020-09-02","1 Y 2019-09-30 to 2020-10-03","1 Y 2019-10-28 to 2020-11-02","1 Y 2019-11-28 to 2020-12-03","1 Y 2019-12-30 to 2021-01-02","1 Y 2020-01-28 to 2021-02-02","1 Y 2020-02-28 to 2021-03-05","1 Y 2020-03-30 to 2021-04-02","1 Y 2020-04-28 to 2021-05-03","1 Y 2020-05-28 to 2021-06-02","1 Y 2020-06-29 to 2021-07-03","1 Y 2020-07-28 to 2021-08-02","1 Y 2020-08-28 to 2021-09-02","1 Y 2020-09-28 to 2021-10-03","1 Y 2020-10-28 to 2021-11-02","1 Y 2020-11-30 to 2021-12-03","1 Y 2020-12-29 to 2022-01-02","1 Y 2021-01-28 to 2022-02-02","1 Y 2021-03-01 to 2022-03-05","1 Y 2021-03-29 to 2022-04-02","1 Y 2021-04-28 to 2022-05-03","1 Y 2021-05-28 to 2022-06-02","1 Y 2021-06-28 to 2022-07-03","1 Y 2021-07-28 to 2022-08-02","1 Y 2021-08-30 to 2022-09-02"
"P Information Ratio",2.82,2.12,2.39,4.67,2.21,2.16,1.52,1.29,1.36,1.5,-0.52,0.31,1.2,1.29,0.58,0.55,1.64,1.26,1.49,2.7,2.94,2.57,3.45,0.29,2.47,2.02,1.59,0.96,1.14,1.57,0.95,2.4,1.49,0.09,2.68,3.43,2.11,1.61,0.54,0.51,0.61,0.71,0.93,-0.11,2.78,0.33,0.82,0.73,0.73,0.43,0.37,0.89,1.19,0.84,1.45,2.6,1.87,0.91,0.75,0.84,0.37,1.43,1.61,-0.46,0.3,0.57,0.82,0.28,0.84,-1.67,-0.89,-1.69,-0.47
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",3.29,2.7,3.16,3.3,2.5,2.78,2.15,1.4,1.95,1.65,0.03,0.5,1.03,0.98,1.16,0.65,0.94,0.96,0.64,0.96,1.66,1.38,2.2,0.29,1.35,1.84,1.21,1.05,0.65,0.47,0.57,1.2,0.61,0.27,1.2,1.18,1.41,1.43,0.53,-0.07,0.12,1.26,0.23,-0.08,0.98,0.5,1.64,1.68,1.73,0.54,0.14,1.3,1.08,0.62,1.29,0.95,0.38,-0.24,0.78,0.38,0.45,0.29,0.65,-0.69,0.07,0.95,0.52,0.25,0.33,-0.54,-0.02,-1.07,-0.08
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.27,1.27,1.27,1.04,1.14,0.96,0.82,1.36,0.44,0.87,0.74,0.78,0.86,0.08,0.23,0.24,0.4,0.76,0.38,1.08,0.65,0.75,0.9,0.72,0.69,0.63,0.85,0.85,0.62,0.7,0.83,1.01,0.84,0.77,0.98,0.99,0.6,0.61,0.73,1.12,0.7,0.3,0.79,1.12,0.92,1.45,1.22,1.46,1.3,1.07,1.24,1.4,1.11,1.2,1.28,1.63,1.23,1.46,1.03,1.14,0.84,1.33,1.17,1.22,1.02,0.87,0.79,0.68,0.73,0.97,1.04,1.22,1.18
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",28.2,25.66,19.16,26.21,22.54,-6.06,-3.99,3.32,-7.39,-0.46,7.61,-2.69,-0.22,-10.84,-7.81,-7.14,-3.61,17.87,23.58,61.23,21.88,23.2,34.51,33.19,18.95,2.48,34.38,38.67,37.48,65.75,74.46,80.59,84.26,71.7,93.29,90.82,64.58,26.24,52.79,73.33,30.28,-3.67,33.82,88.65,81.14,83.64,75.8,71.15,75.36,80.1,93.25,82.79,88.48,92.47,61.46,71.75,82.7,81.27,66.82,74.15,62.46,59.1,28.87,50.74,35.42,23.03,24.8,30.49,35.25,83.99,76.45,86.7,88.7
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-13.1272,-16.4541,-9.705,-9.3896,-7.2304,-8.2212,-5.2475,-7.0033,-6.6606,-6.1473,-7.5196,-13.4324,-7.6905,-6.6464,-7.1944,-6.8739,-8.2241,-9.9457,-7.9632,-12.3228,-11.9603,-13.0079,-13.1664,-8.7953,-11.3438,-11.5071,-12.3349,-12.0571,-14.1516,-14.0425,-13.5334,-12.4416,-14.5063,-12.9665,-13.0814,-12.6113,-7.5247,-6.4443,-6.6945,-8.5295,-6.8597,-5.9891,-9.3856,-36.2632,-30.5159,-38.9368,-32.8881,-37.121,-35.4011,-31.3818,-35.3865,-38.4087,-32.7895,-34.6797,-28.0426,-8.5659,-9.3706,-9.7737,-8.312,-6.5752,-5.0065,-8.7959,-7.8873,-7.8412,-8.5028,-8.0182,-8.3642,-8.2788,-8.4079,-12.4184,-20.0544,-20.0219,-17.7301
"B Max Drawdown",-15.2268,-15.2268,-13.6512,-12.3466,-10.1448,-5.5519,-5.0055,-5.0055,-5.0055,-5.0055,-4.9554,-5.3589,-6.2126,-6.3052,-6.3052,-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-12.5618,-10.6565,-7.2553,-7.2553,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",2.0996,-1.2273,3.9462,2.957,2.9144,-2.6693,-0.242,-1.9978,-1.6551,-1.1418,-2.5642,-8.0735,-1.4779,-0.3412,-0.8892,-0.5687,-1.9189,-3.6405,0.6796,-3.68,-3.3175,-4.3651,-4.5236,-0.1525,-2.701,-2.8643,-1.472,-1.1942,-0.707000000000001,-0.597900000000001,-0.0888000000000009,1.003,-1.0617,0.4781,0.363199999999999,0.376799999999999,5.0371,4.2122,0.5608,-1.2742,-2.4466,-1.576,-0.9819,-0.536699999999996,5.2106,-3.2103,2.8384,-1.3945,0.325400000000002,4.3447,0.340000000000003,-2.6822,2.937,1.0468,3.31,-0.798099999999999,-1.6028,-2.0059,-0.5443,1.1926,2.1051,-2.7048,-4.0635,-2.663,-3.3246,-2.84,-3.186,-3.1006,-2.1121,-2.1503,-5.2597,-3.238,-0.946200000000001
