"","3 Y 2016-03-01 to 2019-03-06","3 Y 2016-04-01 to 2019-04-06","3 Y 2016-05-02 to 2019-05-06","3 Y 2016-06-01 to 2019-06-06","3 Y 2016-07-04 to 2019-07-06","3 Y 2016-08-02 to 2019-08-06","3 Y 2016-09-01 to 2019-09-06","3 Y 2016-10-03 to 2019-10-06","3 Y 2016-11-01 to 2019-11-06","3 Y 2016-12-01 to 2019-12-06","3 Y 2017-01-03 to 2020-01-06","3 Y 2017-02-01 to 2020-02-06","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-04-03 to 2020-04-06","3 Y 2017-05-01 to 2020-05-06","3 Y 2017-06-01 to 2020-06-06","3 Y 2017-07-04 to 2020-07-06","3 Y 2017-08-01 to 2020-08-06","3 Y 2017-09-01 to 2020-09-06","3 Y 2017-10-02 to 2020-10-06","3 Y 2017-11-01 to 2020-11-06","3 Y 2017-12-01 to 2020-12-06","3 Y 2018-01-02 to 2021-01-06","3 Y 2018-02-01 to 2021-02-06","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-04-02 to 2021-04-06","3 Y 2018-05-01 to 2021-05-06","3 Y 2018-06-01 to 2021-06-06","3 Y 2018-07-03 to 2021-07-06","3 Y 2018-08-01 to 2021-08-06","3 Y 2018-09-04 to 2021-09-06","3 Y 2018-10-01 to 2021-10-06","3 Y 2018-11-01 to 2021-11-06","3 Y 2018-12-03 to 2021-12-06","3 Y 2019-01-02 to 2022-01-06","3 Y 2019-02-01 to 2022-02-06","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-04-01 to 2022-04-06","3 Y 2019-05-01 to 2022-05-06","3 Y 2019-06-03 to 2022-06-06","3 Y 2019-07-02 to 2022-07-06","3 Y 2019-08-01 to 2022-08-06","3 Y 2019-09-03 to 2022-09-06"
"P Information Ratio",1.13,1.28,1.4,0.94,1.21,0.63,0.86,0.83,0.85,1.28,1.18,1.26,1.15,0.98,1.07,0.81,1.05,1.12,0.84,1.11,1.33,1.23,1.33,1.28,1,1.17,0.89,0.9,1.31,1.27,1.03,0.81,0.89,0.79,0.58,0.33,0.32,0.36,0.39,0.33,0.11,0.21,0.32
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.4,1.47,1.76,1.2,1.56,0.83,0.98,0.71,0.82,0.79,0.87,0.83,0.72,0.81,1.09,1.05,1.11,1.03,0.94,1.16,1.29,0.93,0.95,0.85,0.7,0.64,0.6,0.77,0.82,0.86,1.06,0.76,0.7,0.43,0.29,0.07,0.03,0.1,0.14,0.13,0.03,0.18,0.26
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.52,1.56,1.57,1.69,1.67,1.66,1.55,1.42,1.09,1.02,1.05,1.06,1.07,1.05,1.23,1.34,1.35,1.26,1.29,1.22,1.24,1.09,1.09,0.98,0.98,1.09,1.04,0.97,1.03,0.99,0.9,0.95,1.01,1.11,1.16,1.28,1.2,1.27,1.17,1.27,1.31,1.28,1.31
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",43.85,39.77,41.13,43,43.65,45.01,48.07,45.46,48.39,60.59,55.31,56.95,62.88,71.16,68.14,73.34,76.33,74.54,76.53,74.54,74.02,78.06,80.12,76.23,76.79,84.91,80.05,73.19,85.47,78.27,60.59,59.8,72.7,78.5,84.51,86.12,88.35,90,82.51,78.73,82.44,83.85,83.08
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-24.0838,-25.4584,-24.7471,-25.9447,-25.6563,-25.0785,-23.2577,-22.0459,-17.0522,-14.7304,-15.5904,-14.7014,-14.7959,-32.5199,-31.97,-35.0743,-35.3261,-34.2321,-34.2821,-31.8068,-32.2945,-31.9369,-32.8244,-30.3891,-30.9817,-33.1364,-32.5587,-30.0985,-31.9155,-30.4909,-28.7999,-27.764,-29.867,-32.2139,-33.5708,-36.0811,-34.1436,-34.8796,-32.7853,-35.3312,-36.1603,-35.8492,-36.3836
"B Max Drawdown",-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-10.6391,-12.0138,-11.3025,-12.5001,-12.2117,-11.6339,-9.8131,-8.6013,-3.6076,-1.2858,-2.1458,-1.2568,-1.3513,3.2066,3.7565,0.652200000000001,0.400400000000005,1.4944,1.4444,3.9197,3.432,3.7896,2.9021,5.3374,4.7448,2.5901,3.1678,5.628,3.811,5.2356,6.9266,7.9625,5.8595,3.5126,2.1557,-0.354599999999998,1.5829,0.846899999999998,2.9412,0.395299999999999,-0.433799999999998,-0.122700000000002,-0.6571
