"","1 Y 2016-05-30 to 2017-06-04","1 Y 2016-06-30 to 2017-07-05","1 Y 2016-08-02 to 2017-08-04","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"P Information Ratio",1.2,1.69,0.56,0.16,1.22,1.41,0.84,0.44,1.2,0.68,0.81,0.32,-1.17,-0.4,0.05,-1.05,0.14,0.11,0.87,1.06,0.43,0.62,0.31,0.21,0.65,0.55,0.32,-0.05,1.36,0.3,-0.09,0.66,0.78,0.98,0.8,1.63,0.92,0.71,-0.18,-2.53,-1.34,-0.54,-1.06,-0.5,-1.49,-0.24,2.01,0.7,1.65,1.29,0.77,0.63,1.18,0.27,-0.19,-0.26,0.04,1.16,-1.19,-0.73,-1.64,-0.32,0.53,0.49
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.26,1.11,0.38,0.46,1.2,1.03,0.44,0.45,0.21,0.13,0.19,-0.04,-0.25,0.14,0.09,-0.05,0.08,-0.1,0.15,0.16,0.05,0.25,0.29,0.22,0.23,0.39,0.39,0.1,0.19,0.34,0.41,0.7,0.84,0.3,0.29,0.76,0.94,0.53,-0.09,-0.46,-0.41,-0.22,-0.37,-0.15,-0.26,-0.14,0.01,0.19,0.78,0.64,0.34,0.03,-0.05,0.39,0.05,0,0.47,0.4,-0.46,0.01,-0.53,-0.36,0.18,0.26
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.3,0.24,0.53,0.32,0.46,0.58,0.85,0.77,0.98,0.9,0.82,0.77,0.85,0.64,0.78,0.73,0.72,0.58,0.65,0.67,0.65,0.74,0.65,0.7,0.68,0.69,0.66,0.77,0.79,0.78,0.68,0.48,0.38,0.73,0.95,0.94,0.92,0.9,0.94,1.05,1.13,1.06,1.06,1.07,1.01,1,1.04,1.08,1.02,1.15,1.07,1.08,1.2,0.75,0.91,0.81,0.88,0.7,0.89,0.82,1.02,0.84,0.86,0.83
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",-0.79,-7.34,17.19,-3.67,2.05,15.43,37.8,36.11,60.02,57.64,62.26,78.83,70.3,80.34,79.55,71.95,72.91,78.42,71.68,88.07,86.44,92.87,90.28,90.89,92.07,85.85,96.05,94.5,96.46,95.32,86.9,27.86,22.49,55,91.4,89.05,81.96,83.63,96.01,98.28,97.9,97.64,97.57,97.8,97.79,94.3,92.71,74.08,79.7,86.45,76.1,63.76,75.75,22.89,42.34,33.56,38.96,43.98,60.69,65.19,79.76,78.59,75.16,69.41
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-3.6769,-3.4464,-3.5748,-3.9002,-4.575,-4.2445,-4.4952,-4.271,-4.2843,-7.7229,-7.7652,-7.6964,-7.7196,-6.7565,-7.9181,-7.819,-7.5247,-9.8555,-9.4547,-10.754,-11.3307,-11.0893,-10.3562,-11.1857,-11.0166,-11.2521,-11.0633,-10.1968,-7.9824,-7.0652,-6.3939,-4.4102,-3.953,-8.7469,-31.6832,-29.211,-27.8839,-27.6638,-29.0645,-32.3153,-33.9998,-32.994,-33.1666,-33.5072,-32.5257,-26.8169,-6.1097,-6.5859,-6.0107,-6.1011,-5.5998,-5.735,-5.1569,-4.4352,-6.1503,-4.6025,-4.4353,-4.882,-5.2752,-5.9432,-10.0788,-13.4254,-12.8408,-13.4563
"B Max Drawdown",-5.0055,-5.2471,-5.3589,-6.2126,-6.3052,-6.3052,-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-11.5827,-10.6565,-7.2553,-7.0974,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7678,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",1.3286,1.8007,1.7841,2.3124,1.7302,2.0607,1.81,2.0342,2.0209,0.919899999999999,0.877599999999999,0.9464,0.9232,1.8863,0.724699999999999,0.823799999999999,1.1181,1.0074,1.4082,2.6906,2.1139,2.3553,3.0884,2.2589,2.428,2.1925,1.9248,1.3859,2.6741,0.1901,0.7035,0.00290000000000035,0.4601,-0.3432,4.0433,6.5155,7.8426,8.0627,6.662,3.4112,1.7267,2.7325,2.5599,2.2193,3.2008,4.5357,1.6581,1.1819,1.7571,1.6667,2.168,1.3766,0.9342,-0.6114,-0.972099999999999,0.5757,0.742900000000001,0.296200000000001,-0.0969999999999995,0.3526,0.189300000000001,1.3693,3.9431,3.3276
