"","1 Y 2016-05-30 to 2017-06-04","1 Y 2016-06-30 to 2017-07-05","1 Y 2016-08-02 to 2017-08-04","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"P Information Ratio",1.6,0.64,0.1,1.5,0.66,0.1,0.68,2.1,1.17,3.51,2,2.26,3,2.71,1.88,2.78,1.79,1.24,1.11,0.7,1.69,0.71,1.12,0.88,0.09,0.23,1.34,1.77,0.81,0.79,1.02,1.46,1.5,0.99,0.49,0.7,0.3,1.04,1.35,1.2,2.28,2.19,1.2,1,0.68,0.14,-0.03,-1.42,-0.77,-1.29,-1.37,-0.05,-1.49,-2.65,-1.63,-1.57,-1.78,-2.38,1.33,0.86,1.82,1.04,1.29,0.96
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.81,0.74,1.02,2,0.38,0.55,1.86,1.89,1.95,2.68,2.65,2.41,3.02,3.39,2.84,2.89,3.16,2.13,1.32,0.77,1.39,0.85,1.45,0.44,0.48,1.11,1.08,1.32,0.31,0.28,0.48,0.67,1.25,0.62,0.3,1.23,0.91,1.46,2.55,3.49,4.16,3.9,2.93,2.22,1.48,-0.64,-0.6,-0.28,-0.28,-0.21,0.22,0.49,-0.4,-2.6,-1.72,-1.41,-1.75,-1.63,1.46,0.3,2.51,2.15,2.27,1.05
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.5,0.83,0.67,0.35,-0.14,0.76,0.06,0.65,0.51,0.48,0.64,0.36,0.27,0.79,0.24,0.28,0.03,1.05,0.79,0.95,1.06,1.52,1.68,1.62,1.57,1.58,1.7,1.48,1.26,1.38,1.37,0.58,0.62,0.83,0.98,1.49,1.27,1.26,1.32,1.04,0.81,1.19,1.04,1.04,1,1.39,1.19,0.38,0.48,0.04,0.19,0.6,0.38,1.74,1.34,1.31,1.38,1.32,0.62,0.99,0.58,1.3,1.37,1.49
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",-8.02,-6.82,-8.01,-10.39,-10.94,-5.51,-11.06,-6.53,-6.96,-1.58,0.64,-7.15,-9.51,2.4,-9.91,-9.56,-11.1,17.34,13.52,38.5,38.14,66.59,71.51,69.67,73.69,78.26,90.73,93.49,66.74,69.55,56.64,12.13,6.67,28.48,78.18,84.67,84.71,83.01,61.28,49.16,38.88,57.88,44.31,52.43,39.85,36.34,33.46,-1.52,1.71,-12.29,-7.7,13.92,-3.26,62.67,53.84,60.03,55.95,83.56,5.38,68.28,6.29,53.01,53.97,61.78
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-11.8384,-12.0328,-16.2632,-13.1968,-19.8175,-16.1425,-10.3106,-10.3598,-11.7318,-11.2776,-11.8208,-11.2532,-13.4143,-13.6623,-11.8908,-12.4179,-11.8673,-16.5512,-15.3473,-20.2627,-18.0259,-20.7025,-21.3049,-24.1451,-24.1624,-23.4792,-21.7541,-19.7371,-13.5487,-13.8271,-10.6269,-8.2718,-7.5057,-9.6701,-29.4951,-33.263,-30.8603,-30.8584,-30.4343,-24.3082,-20.0287,-25.4507,-26.425,-25.7691,-27.3019,-25.2064,-13.2046,-15.7118,-15.2075,-14.847,-13.6476,-10.4493,-11.6918,-10.2858,-11.1942,-10.5588,-14.4713,-11.8544,-12.1354,-9.2437,-11.6157,-19.1104,-23.8229,-24.7179
"B Max Drawdown",-5.0055,-5.2471,-5.3589,-6.2126,-6.3052,-6.3052,-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-11.5827,-10.6565,-7.2553,-7.0974,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7678,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-6.8329,-6.7857,-10.9043,-6.9842,-13.5123,-9.8373,-4.0054,-4.0546,-5.4266,-2.6348,-3.178,-2.6104,-4.7715,-5.0195,-3.248,-3.7751,-3.2245,-5.6883,-4.4844,-6.8181,-4.5813,-7.2579,-7.8603,-10.7005,-10.7178,-10.0346,-8.766,-8.1544,-2.8922,-6.5718,-3.5295,-3.8587,-3.0926,-1.2664,6.2314,2.4635,4.8662,4.8681,5.2922,11.4183,15.6978,10.2758,9.3015,9.9574,8.4246,6.1462,-5.4368,-7.944,-7.4397,-7.0792,-5.8798,-3.3377,-5.6007,-6.462,-6.016,-5.3806,-9.2931,-6.6762,-6.9572,-2.9479,-1.3476,-4.3157,-7.039,-7.934
