"","1 Y 2015-08-28 to 2016-09-02","1 Y 2015-09-28 to 2016-10-03","1 Y 2015-10-28 to 2016-11-02","1 Y 2015-11-30 to 2016-12-03","1 Y 2015-12-29 to 2017-01-02","1 Y 2016-01-28 to 2017-02-02","1 Y 2016-02-29 to 2017-03-05","1 Y 2016-03-28 to 2017-04-02","1 Y 2016-04-28 to 2017-05-03","1 Y 2016-05-30 to 2017-06-02","1 Y 2016-06-28 to 2017-07-03","1 Y 2016-07-28 to 2017-08-02","1 Y 2016-08-29 to 2017-09-02","1 Y 2016-09-28 to 2017-10-03","1 Y 2016-10-28 to 2017-11-02","1 Y 2016-11-28 to 2017-12-03","1 Y 2016-12-28 to 2018-01-02","1 Y 2017-01-30 to 2018-02-02","1 Y 2017-02-28 to 2018-03-05","1 Y 2017-03-28 to 2018-04-02","1 Y 2017-04-28 to 2018-05-03","1 Y 2017-05-29 to 2018-06-02","1 Y 2017-06-28 to 2018-07-03","1 Y 2017-07-28 to 2018-08-02","1 Y 2017-08-28 to 2018-09-02","1 Y 2017-09-28 to 2018-10-03","1 Y 2017-10-30 to 2018-11-02","1 Y 2017-11-28 to 2018-12-03","1 Y 2017-12-28 to 2019-01-02","1 Y 2018-01-29 to 2019-02-02","1 Y 2018-02-28 to 2019-03-05","1 Y 2018-03-28 to 2019-04-02","1 Y 2018-04-30 to 2019-05-03","1 Y 2018-05-28 to 2019-06-02","1 Y 2018-06-28 to 2019-07-03","1 Y 2018-07-30 to 2019-08-02","1 Y 2018-08-28 to 2019-09-02","1 Y 2018-09-28 to 2019-10-03","1 Y 2018-10-29 to 2019-11-02","1 Y 2018-11-28 to 2019-12-03","1 Y 2018-12-28 to 2020-01-02","1 Y 2019-01-28 to 2020-02-02","1 Y 2019-02-28 to 2020-03-04","1 Y 2019-03-28 to 2020-04-02","1 Y 2019-04-29 to 2020-05-03","1 Y 2019-05-28 to 2020-06-02","1 Y 2019-06-28 to 2020-07-03","1 Y 2019-07-29 to 2020-08-02","1 Y 2019-08-28 to 2020-09-02","1 Y 2019-09-30 to 2020-10-03","1 Y 2019-10-28 to 2020-11-02","1 Y 2019-11-28 to 2020-12-03","1 Y 2019-12-30 to 2021-01-02","1 Y 2020-01-28 to 2021-02-02","1 Y 2020-02-28 to 2021-03-05","1 Y 2020-03-30 to 2021-04-02","1 Y 2020-04-28 to 2021-05-03","1 Y 2020-05-28 to 2021-06-02","1 Y 2020-06-29 to 2021-07-03","1 Y 2020-07-28 to 2021-08-02","1 Y 2020-08-28 to 2021-09-02","1 Y 2020-09-28 to 2021-10-03","1 Y 2020-10-28 to 2021-11-02","1 Y 2020-11-30 to 2021-12-03","1 Y 2020-12-29 to 2022-01-02","1 Y 2021-01-28 to 2022-02-02","1 Y 2021-03-01 to 2022-03-05","1 Y 2021-03-29 to 2022-04-02","1 Y 2021-04-28 to 2022-05-03","1 Y 2021-05-28 to 2022-06-02","1 Y 2021-06-28 to 2022-07-03","1 Y 2021-07-28 to 2022-08-02","1 Y 2021-08-30 to 2022-09-02"
"P Information Ratio",2.84,2.2,2.39,4.42,2.32,2.2,1.52,1.34,1.44,1.52,-0.08,0.45,1.21,1.33,0.72,0.77,1.83,1.33,1.74,2.79,2.66,2.39,3.27,0.49,2.21,1.93,1.54,0.97,1.17,1.55,1.05,2.26,1.46,0.37,2.92,3.37,2.21,1.61,0.66,0.71,0.78,0.7,1.07,0.14,2.52,0.38,0.72,0.68,0.63,0.43,0.45,0.84,1.02,0.8,1.42,2.65,2.13,1.02,0.87,0.89,0.61,1.41,1.33,-0.37,0.21,0.45,0.85,0.21,0.79,-0.78,-0.52,-1.13,-0.05
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.79,2.39,2.59,2.87,2.32,2.43,1.84,1.3,1.67,1.45,0.38,0.56,0.89,0.88,1.02,0.68,0.9,0.8,0.6,0.82,1.3,1.12,1.79,0.38,1.11,1.49,0.97,0.83,0.52,0.42,0.54,0.99,0.56,0.32,1.06,1.08,1.25,1.19,0.54,0.14,0.27,1.08,0.2,-0.02,0.68,0.47,1.25,1.25,1.27,0.5,0.23,1,0.83,0.53,0.98,0.76,0.45,0.02,0.7,0.36,0.32,0.2,0.53,-0.45,0.04,0.78,0.38,0.18,0.23,-0.23,0.08,-0.6,0.07
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.13,1.15,1.15,0.96,1.03,0.9,0.79,1.15,0.48,0.78,0.69,0.66,0.72,0.22,0.33,0.33,0.45,0.78,0.52,1,0.68,0.75,0.86,0.7,0.69,0.63,0.81,0.8,0.63,0.7,0.82,0.95,0.83,0.77,0.92,0.93,0.65,0.65,0.75,1.01,0.67,0.38,0.79,1.08,0.94,1.35,1.2,1.36,1.26,1.1,1.21,1.31,1.11,1.17,1.24,1.54,1.19,1.34,1.04,1.14,0.95,1.29,1.08,1.13,0.99,0.88,0.79,0.73,0.79,0.95,1.01,1.16,1.14
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",32.88,30.69,25.28,29.9,26.86,-4.42,-1,5.42,-4.41,1.97,12.89,-1.01,1.24,-8.16,-1.83,-0.61,3.55,28.29,46.74,65.65,31.56,31.06,41.91,40.57,25.97,7.84,41.68,46.07,50.12,73.31,80.07,83.84,87.19,79.29,95.52,92.61,77.48,39.66,62.44,74,35.69,4.71,43.36,91.62,85.81,85.93,81.47,78.05,82.24,85.86,94.04,86.76,91.34,94.04,70.34,76.87,85.67,82.71,75.11,78.06,71.79,66.83,34.32,51.81,41.42,31.73,36.02,41.76,49.51,83.94,79.25,89.58,89.37
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-12.3429,-14.6567,-9.4634,-9.2146,-6.962,-7.0483,-4.7144,-5.9091,-4.9925,-5.3007,-5.6139,-9.9355,-6.2974,-5.7248,-6.0656,-5.1162,-6.0356,-8.6496,-7.9869,-11.1334,-11.0708,-11.9145,-11.9356,-8.6136,-10.6206,-10.6315,-11.0715,-11.253,-13.4163,-13.2155,-13.0017,-12.3148,-13.5859,-12.3749,-12.5992,-11.4642,-7.2224,-5.9175,-6.6478,-8.0945,-6.025,-5.2383,-9.3255,-34.8514,-30.7497,-36.8336,-32.8026,-35.8206,-34.9581,-32.0346,-34.6672,-36.7106,-32.7906,-34.1668,-28.1585,-7.5475,-8.0198,-8.1537,-7.2006,-5.7357,-4.6073,-6.9128,-6.5525,-7.1968,-6.678,-6.7678,-7.2411,-7.4489,-6.9143,-11.1968,-18.0632,-17.4292,-16.9973
"B Max Drawdown",-15.2268,-15.2268,-13.6512,-12.3466,-10.1448,-5.5519,-5.0055,-5.0055,-5.0055,-5.0055,-4.9554,-5.3589,-6.2126,-6.3052,-6.3052,-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-12.5618,-10.6565,-7.2553,-7.2553,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",2.8839,0.5701,4.1878,3.132,3.1828,-1.4964,0.291099999999999,-0.9036,0.0129999999999999,-0.2952,-0.6585,-4.5766,-0.0847999999999995,0.5804,0.2396,1.189,0.269600000000001,-2.3444,0.655899999999999,-2.4906,-2.428,-3.2717,-3.2928,0.0291999999999994,-1.9778,-1.9887,-0.208600000000001,-0.3901,0.0282999999999998,0.229099999999999,0.4429,1.1298,-0.141300000000001,1.0697,0.8454,1.5239,5.3394,4.739,0.6075,-0.8392,-1.6119,-0.8252,-0.921799999999999,0.875100000000003,4.9768,-1.1071,2.9239,-0.0940999999999974,0.7684,3.6919,1.0593,-0.984099999999998,2.9359,1.5597,3.1941,0.2203,-0.252,-0.3859,0.5671,2.0321,2.5043,-0.8217,-2.7287,-2.0186,-1.4998,-1.5896,-2.0629,-2.2707,-0.6185,-0.928699999999999,-3.2685,-0.645300000000002,-0.2134
