"","2 Y 2016-11-29 to 2018-12-04","2 Y 2016-12-29 to 2019-01-03","2 Y 2017-01-30 to 2019-02-03","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-03-29 to 2019-04-03","2 Y 2017-05-01 to 2019-05-04","2 Y 2017-05-29 to 2019-06-03","2 Y 2017-06-29 to 2019-07-04","2 Y 2017-07-31 to 2019-08-03","2 Y 2017-08-29 to 2019-09-03","2 Y 2017-09-29 to 2019-10-04","2 Y 2017-10-30 to 2019-11-03","2 Y 2017-11-29 to 2019-12-04","2 Y 2017-12-29 to 2020-01-03","2 Y 2018-01-29 to 2020-02-03","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-03-29 to 2020-04-03","2 Y 2018-04-30 to 2020-05-04","2 Y 2018-05-29 to 2020-06-03","2 Y 2018-06-29 to 2020-07-04","2 Y 2018-07-30 to 2020-08-03","2 Y 2018-08-29 to 2020-09-03","2 Y 2018-10-01 to 2020-10-04","2 Y 2018-10-29 to 2020-11-03","2 Y 2018-11-29 to 2020-12-04","2 Y 2018-12-31 to 2021-01-03","2 Y 2019-01-29 to 2021-02-03","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-03-29 to 2021-04-03","2 Y 2019-04-29 to 2021-05-04","2 Y 2019-05-29 to 2021-06-03","2 Y 2019-07-02 to 2021-07-04","2 Y 2019-07-29 to 2021-08-03","2 Y 2019-08-29 to 2021-09-03","2 Y 2019-09-30 to 2021-10-04","2 Y 2019-10-29 to 2021-11-03","2 Y 2019-11-29 to 2021-12-04","2 Y 2019-12-30 to 2022-01-03","2 Y 2020-01-29 to 2022-02-03","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-03","2 Y 2020-04-29 to 2022-05-04","2 Y 2020-05-29 to 2022-06-03","2 Y 2020-06-29 to 2022-07-04","2 Y 2020-07-29 to 2022-08-03","2 Y 2020-08-31 to 2022-09-03"
"P Information Ratio",0.86,0.67,1.51,1.09,0.58,0.63,0.57,0.35,0.6,0.82,0.64,0.5,0.43,0.66,0.73,0.82,0.81,0.37,0.31,0.31,0.48,-0.4,0,0.31,-0.61,0.13,-0.17,-0.11,-0.31,-0.07,-0.36,-0.2,-0.32,-0.57,-0.11,-0.08,-0.64,-0.4,-0.66,-0.42,0.02,0.39,-0.51,0.31,0.47,0.61
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.42,0.3,0.56,0.36,0.12,0.17,0.12,0.28,0.32,0.39,0.3,0.16,0.27,0.37,0.38,0.3,0.16,0.03,0.2,0.26,0.16,-0.03,-0.09,-0.06,-0.17,0.06,-0.08,-0.21,-0.14,-0.08,-0.08,0.07,-0.19,-0.15,-0.17,0.02,-0.36,-0.22,-0.06,0.14,-0.11,0.05,-0.02,0.19,0.25,0.19
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.69,0.76,0.78,0.81,0.78,0.81,0.81,0.73,0.78,0.72,0.61,0.74,0.66,0.73,0.71,0.75,0.87,0.85,0.96,0.9,0.91,0.95,0.95,0.94,0.96,1.06,1,1.02,1,1,0.97,0.9,0.93,0.99,1.12,0.9,0.97,1.01,0.91,0.91,1.07,1.06,0.97,0.99,1.06,1.05
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",68.85,78.6,73.05,87.92,87.08,88.48,88.88,85.75,90.82,84.91,72.05,89.53,83.13,88.99,85.54,84.22,91,94.46,85.28,87.78,91.44,95.15,95.59,95.36,96.88,90.09,92.09,95.35,96.29,93.5,84.05,73.65,79.22,89.79,86.01,82.85,83.06,90.97,86,74.11,78.64,78.81,71.46,74.08,81.57,80.4
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-8.6899,-11.9251,-13.4363,-12.2275,-12.7939,-11.73,-12.0768,-10.273,-11.4825,-11.3301,-11.5923,-12.1361,-10.6397,-10.595,-10.6756,-9.0604,-30.5019,-31.2356,-32.261,-30.9254,-31.2399,-32.6511,-31.886,-31.6985,-31.8265,-33.4749,-31.7882,-33.5662,-32.8514,-32.7627,-30.7222,-29.1902,-30.513,-31.0077,-32.9906,-29.6719,-30.8421,-32.053,-29.6745,-26.8203,-6.7922,-6.2726,-10.5668,-15.292,-15.7766,-14.3406
"B Max Drawdown",-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",2.173,1.5195,0.0083000000000002,1.2171,0.650699999999999,1.7146,1.3678,3.1716,1.9621,2.1145,1.8523,1.3086,2.8049,2.8496,2.769,4.3842,5.2246,4.4909,3.4655,4.8011,4.4866,3.0754,3.8405,4.028,3.9,2.2516,3.9383,2.1603,2.8751,2.9638,5.0043,6.5363,5.2135,4.7188,2.7359,6.0546,4.8844,3.6735,6.052,4.5323,0.9756,1.4952,-0.2987,-0.497299999999999,1.0073,2.4433
