"","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-04-01 to 2018-04-06","2 Y 2016-05-02 to 2018-05-06","2 Y 2016-06-01 to 2018-06-06","2 Y 2016-07-04 to 2018-07-06","2 Y 2016-08-02 to 2018-08-06","2 Y 2016-09-01 to 2018-09-06","2 Y 2016-10-03 to 2018-10-06","2 Y 2016-11-01 to 2018-11-06","2 Y 2016-12-01 to 2018-12-06","2 Y 2017-01-03 to 2019-01-06","2 Y 2017-02-01 to 2019-02-06","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-04-03 to 2019-04-06","2 Y 2017-05-01 to 2019-05-06","2 Y 2017-06-01 to 2019-06-06","2 Y 2017-07-04 to 2019-07-06","2 Y 2017-08-01 to 2019-08-06","2 Y 2017-09-01 to 2019-09-06","2 Y 2017-10-02 to 2019-10-06","2 Y 2017-11-01 to 2019-11-06","2 Y 2017-12-01 to 2019-12-06","2 Y 2018-01-02 to 2020-01-06","2 Y 2018-02-01 to 2020-02-06","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-04-02 to 2020-04-06","2 Y 2018-05-01 to 2020-05-06","2 Y 2018-06-01 to 2020-06-06","2 Y 2018-07-03 to 2020-07-06","2 Y 2018-08-01 to 2020-08-06","2 Y 2018-09-04 to 2020-09-06","2 Y 2018-10-01 to 2020-10-06","2 Y 2018-11-01 to 2020-11-06","2 Y 2018-12-03 to 2020-12-06","2 Y 2019-01-02 to 2021-01-06","2 Y 2019-02-01 to 2021-02-06","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-04-01 to 2021-04-06","2 Y 2019-05-01 to 2021-05-06","2 Y 2019-06-03 to 2021-06-06","2 Y 2019-07-02 to 2021-07-06","2 Y 2019-08-01 to 2021-08-06","2 Y 2019-09-03 to 2021-09-06","2 Y 2019-10-01 to 2021-10-06","2 Y 2019-11-01 to 2021-11-06","2 Y 2019-12-02 to 2021-12-06","2 Y 2020-01-02 to 2022-01-06","2 Y 2020-02-03 to 2022-02-06","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-04-01 to 2022-04-06","2 Y 2020-05-01 to 2022-05-06","2 Y 2020-06-01 to 2022-06-06","2 Y 2020-07-02 to 2022-07-06","2 Y 2020-08-04 to 2022-08-06","2 Y 2020-09-01 to 2022-09-06"
"P Information Ratio",0.81,1.25,1.23,0.81,1.58,0.25,-0.32,-0.05,1.27,0.57,0.51,0.27,0.25,0.32,-0.16,-0.21,0.05,0.05,0.44,0.22,0.34,0.28,0.27,0.55,0.91,1.33,1.37,1.15,0.63,1.31,1.52,1.41,0.98,0.42,0.38,-0.02,-0.02,-0.05,0.49,0.26,0.04,0.24,0.42,0.4,0.23,0.03,0.21,0.49,0.9,2.17,2.05,1.48,1.27,1.24,1.55
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.42,1.48,1.3,0.57,1.61,0.02,-0.19,0.07,0.62,0.48,0.35,0.34,0.33,0.52,-0.16,-0.06,0.18,0.33,0.57,0.37,0.5,0.33,0.48,1.11,0.94,0.66,1.46,1.71,0.65,1.67,2.78,2.47,1.54,0.44,0.23,-0.28,-0.18,-0.08,0.22,0,0.04,0.46,0.37,0.2,0.18,-0.41,0.18,0.75,1.23,2.07,1.9,2.11,2.13,1.96,2.17
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.28,0.45,0.4,0.96,0.36,1.1,1.22,1.01,0.49,0.45,0.48,0.5,0.51,0.42,0.4,0.6,0.73,0.61,1.99,0.63,0.6,0.47,0.51,0.28,0.24,0.68,0.71,0.51,0.69,0.71,0.59,0.75,0.98,1.16,1.39,1.64,1.55,1.76,1.44,1.94,1.93,1.74,1.76,1.53,1.66,1.56,1.42,1.58,1.24,1.5,1.24,1.06,1.63,1.67,1.6
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",9.22,-1.35,1.13,42.49,-1.19,34.66,42.67,41.74,25.49,10.35,12.79,15.73,19.97,7.4,7.74,27.58,39.44,23.26,47.41,25.66,15.13,24.98,34.09,9.44,2.25,68.96,52.97,22.74,76.74,50.84,18.82,25.99,47.57,62.38,81.71,86.05,77.42,81.21,79.42,76.21,73.18,66.7,65.68,67.79,69.93,72.28,78.57,72.65,47.29,30.96,30.19,26.57,45.78,49.45,48.23
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-22.9691,-12.1854,-8.9291,-8.4488,-8.9519,-12.4859,-11.8595,-10.0762,-8.5357,-12.7076,-11.6924,-13.5239,-13.287,-16.1351,-17.2103,-15.7503,-17.6354,-16.8516,-28.6259,-15.3476,-17.5512,-11.653,-11.0639,-10.8025,-12.2952,-28.258,-26.6946,-23.4282,-29.5023,-28.5528,-24.6463,-23.9826,-30.6958,-36.3057,-42.067,-46.6214,-50.315,-51.6513,-41.0606,-53.5257,-54.5518,-52.2388,-53.3948,-48.0741,-52.5496,-49.5039,-46.1434,-50.2468,-42.5306,-15.7624,-15.2234,-14.0998,-22.4513,-25.3872,-25.2198
"B Max Drawdown",-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-14.3263,-3.5426,-0.286300000000001,0.193999999999999,-0.309100000000001,-3.8431,-3.2167,-1.4334,2.3272,-1.8447,1.7522,-0.0792999999999999,0.157599999999999,-2.6905,-3.7657,-2.3057,-4.1908,-3.407,-15.1813,-1.903,-4.1066,1.7916,2.3807,2.6421,1.1494,7.4685,9.0319,12.2983,6.2242,7.1737,11.0802,11.7439,5.0307,-0.5792,-6.3405,-10.8949,-14.5885,-15.9248,-5.3341,-17.7992,-18.8253,-16.5123,-17.6683,-12.3476,-16.8231,-13.7774,-10.4169,-14.5203,-11.178,-7.9946,-7.4556,-3.8317,-7.6566,-8.6033,-8.4359
